problem,learner,aut,bbo,property,size,realsymbols,learnsymbols,eqsymbols,emsymbols,emosymbols,insymbols,realqueries,learnqueries,eqqueries,emqueries,emoqueries,inqueries,length,multiplier,refinements
1,ADT,buchi,none,2,21,3076,1483,1593,0,61,0,556,217,339,0,3,0,23,5.000000,6
1,ADT,buchi,none,3,21,3076,1483,1593,0,73,0,556,217,339,0,5,0,8,5.000000,6
1,ADT,buchi,none,4,21,3076,1483,1593,0,97,0,556,217,339,0,7,0,14,5.000000,6
1,ADT,buchi,none,5,21,3076,1483,1593,0,119,0,556,217,339,0,10,0,10,5.000000,6
1,ADT,buchi,none,12,21,3076,1483,1593,0,141,0,556,217,339,0,13,0,10,5.000000,6
1,ADT,buchi,none,15,21,3076,1483,1593,0,166,0,556,217,339,0,16,0,11,5.000000,6
1,ADT,buchi,none,17,21,3076,1483,1593,0,180,0,556,217,339,0,18,0,9,5.000000,6
1,ADT,buchi,none,18,21,3076,1483,1593,0,199,0,556,217,339,0,20,0,10,5.000000,6
1,ADT,buchi,none,19,21,3076,1483,1593,0,245,0,556,217,339,0,23,0,18,5.000000,6
1,ADT,buchi,none,20,21,3076,1483,1593,0,259,0,556,217,339,0,25,0,9,5.000000,6
1,ADT,buchi,none,23,21,3076,1483,1593,0,281,0,556,217,339,0,28,0,10,5.000000,6
1,ADT,buchi,none,25,21,3076,1483,1593,0,303,0,556,217,339,0,31,0,10,5.000000,6
1,ADT,buchi,none,26,21,3076,1483,1593,0,325,0,556,217,339,0,34,0,10,5.000000,6
1,ADT,buchi,none,27,21,3076,1483,1593,0,368,0,556,217,339,0,37,0,17,5.000000,6
1,ADT,buchi,none,29,21,3076,1483,1593,0,390,0,556,217,339,0,40,0,10,5.000000,6
1,ADT,buchi,none,31,21,3076,1483,1593,0,402,0,556,217,339,0,42,0,8,5.000000,6
1,ADT,buchi,none,32,21,3076,1483,1593,0,451,0,556,217,339,0,45,0,19,5.000000,6
1,ADT,buchi,none,33,21,3076,1483,1593,0,503,0,556,217,339,0,48,0,20,5.000000,6
1,ADT,buchi,none,34,21,3076,1483,1593,0,515,0,556,217,339,0,50,0,8,5.000000,6
1,ADT,buchi,none,37,21,3076,1483,1593,0,533,0,556,217,339,0,52,0,11,5.000000,6
1,ADT,buchi,none,38,21,3076,1483,1593,0,555,0,556,217,339,0,55,0,10,5.000000,6
1,ADT,buchi,none,39,21,3076,1483,1593,0,571,0,556,217,339,0,57,0,10,5.000000,6
1,ADT,buchi,none,42,21,3076,1483,1593,0,635,0,556,217,339,0,60,0,24,5.000000,6
1,ADT,buchi,none,44,21,3076,1483,1593,0,649,0,556,217,339,0,62,0,9,5.000000,6
1,ADT,buchi,none,47,21,3076,1483,1593,0,663,0,556,217,339,0,64,0,9,5.000000,6
1,ADT,buchi,none,48,21,3076,1483,1593,0,698,0,556,217,339,0,66,0,18,5.000000,6
1,ADT,buchi,none,49,21,3076,1483,1593,0,722,0,556,217,339,0,69,0,10,5.000000,6
1,ADT,buchi,none,50,21,3076,1483,1593,0,744,0,556,217,339,0,72,0,10,5.000000,6
1,ADT,buchi,none,53,21,3076,1483,1593,0,766,0,556,217,339,0,75,0,10,5.000000,6
1,ADT,buchi,none,54,21,3076,1483,1593,0,791,0,556,217,339,0,78,0,11,5.000000,6
1,ADT,buchi,none,56,21,3076,1483,1593,0,834,0,556,217,339,0,81,0,17,5.000000,6
1,ADT,buchi,none,57,21,3076,1483,1593,0,856,0,556,217,339,0,84,0,10,5.000000,6
1,ADT,buchi,none,58,21,3076,1483,1593,0,881,0,556,217,339,0,87,0,11,5.000000,6
1,ADT,buchi,none,59,21,3076,1483,1593,0,900,0,556,217,339,0,89,0,10,5.000000,6
1,ADT,buchi,none,61,21,3076,1483,1593,0,925,0,556,217,339,0,92,0,11,5.000000,6
1,ADT,buchi,none,62,21,3076,1483,1593,0,944,0,556,217,339,0,94,0,10,5.000000,6
1,ADT,buchi,none,63,21,3076,1483,1593,0,966,0,556,217,339,0,97,0,10,5.000000,6
1,ADT,buchi,none,64,21,3076,1483,1593,0,984,0,556,217,339,0,99,0,14,5.000000,6
1,ADT,buchi,none,65,21,3076,1483,1593,0,1036,0,556,217,339,0,102,0,20,5.000000,6
1,ADT,buchi,none,66,21,3076,1483,1593,0,1076,0,556,217,339,0,105,0,16,5.000000,6
1,ADT,buchi,none,73,21,3076,1483,1593,0,1098,0,556,217,339,0,108,0,10,5.000000,6
1,ADT,buchi,none,75,21,3076,1483,1593,0,1110,0,556,217,339,0,110,0,8,5.000000,6
1,ADT,buchi,none,81,21,3076,1483,1593,0,1136,0,556,217,339,0,112,0,15,5.000000,6
1,ADT,buchi,none,84,21,3076,1483,1593,0,1185,0,556,217,339,0,115,0,19,5.000000,6
1,ADT,buchi,none,87,21,3076,1483,1593,0,1194,0,556,217,339,0,117,0,5,5.000000,6
1,ADT,buchi,none,88,21,3076,1483,1593,0,1206,0,556,217,339,0,119,0,8,5.000000,6
1,ADT,buchi,none,89,21,3076,1483,1593,0,1218,0,556,217,339,0,121,0,8,5.000000,6
1,ADT,buchi,none,90,21,3076,1483,1593,0,1240,0,556,217,339,0,124,0,10,5.000000,6
1,ADT,buchi,none,91,21,3076,1483,1593,0,1283,0,556,217,339,0,127,0,17,5.000000,6
1,ADT,buchi,none,93,21,3076,1483,1593,0,1305,0,556,217,339,0,130,0,10,5.000000,6
1,ADT,buchi,none,94,21,3076,1483,1593,0,1319,0,556,217,339,0,132,0,9,5.000000,6
1,ADT,buchi,none,98,21,3076,1483,1593,0,1328,0,556,217,339,0,134,0,5,5.000000,6
