problem,learner,aut,bbo,property,size,realsymbols,learnsymbols,eqsymbols,emsymbols,emosymbols,insymbols,realqueries,learnqueries,eqqueries,emqueries,emoqueries,inqueries,length,multiplier,refinements
1,DHC,buchi,disprove-first,2,21,3230,3230,0,0,61,0,531,531,0,0,3,0,23,5.000000,1
1,DHC,buchi,disprove-first,3,21,3230,3230,0,0,73,0,531,531,0,0,5,0,8,5.000000,1
1,DHC,buchi,disprove-first,4,21,3230,3230,0,0,97,0,531,531,0,0,7,0,14,5.000000,1
1,DHC,buchi,disprove-first,5,21,3230,3230,0,0,119,0,531,531,0,0,10,0,10,5.000000,1
1,DHC,buchi,disprove-first,12,21,3230,3230,0,0,141,0,531,531,0,0,13,0,10,5.000000,1
1,DHC,buchi,disprove-first,15,21,3230,3230,0,0,166,0,531,531,0,0,16,0,11,5.000000,1
1,DHC,buchi,disprove-first,17,21,3230,3230,0,0,180,0,531,531,0,0,18,0,9,5.000000,1
1,DHC,buchi,disprove-first,18,21,3230,3230,0,0,199,0,531,531,0,0,20,0,10,5.000000,1
1,DHC,buchi,disprove-first,19,21,3230,3230,0,0,245,0,531,531,0,0,23,0,18,5.000000,1
1,DHC,buchi,disprove-first,20,21,3230,3230,0,0,259,0,531,531,0,0,25,0,9,5.000000,1
1,DHC,buchi,disprove-first,23,21,3230,3230,0,0,281,0,531,531,0,0,28,0,10,5.000000,1
1,DHC,buchi,disprove-first,25,21,3230,3230,0,0,303,0,531,531,0,0,31,0,10,5.000000,1
1,DHC,buchi,disprove-first,26,21,3230,3230,0,0,325,0,531,531,0,0,34,0,10,5.000000,1
1,DHC,buchi,disprove-first,27,21,3230,3230,0,0,368,0,531,531,0,0,37,0,17,5.000000,1
1,DHC,buchi,disprove-first,29,21,3230,3230,0,0,390,0,531,531,0,0,40,0,10,5.000000,1
1,DHC,buchi,disprove-first,31,21,3230,3230,0,0,402,0,531,531,0,0,42,0,8,5.000000,1
1,DHC,buchi,disprove-first,32,21,3230,3230,0,0,451,0,531,531,0,0,45,0,19,5.000000,1
1,DHC,buchi,disprove-first,33,21,3230,3230,0,0,503,0,531,531,0,0,48,0,20,5.000000,1
1,DHC,buchi,disprove-first,34,21,3230,3230,0,0,515,0,531,531,0,0,50,0,8,5.000000,1
1,DHC,buchi,disprove-first,37,21,3230,3230,0,0,533,0,531,531,0,0,52,0,11,5.000000,1
