problem,learner,aut,bbo,property,size,realsymbols,learnsymbols,eqsymbols,emsymbols,emosymbols,insymbols,realqueries,learnqueries,eqqueries,emqueries,emoqueries,inqueries,length,multiplier,refinements
1,DHC,monitor-buchi,none,2,21,3237,3230,0,7,0,0,532,531,0,1,0,0,7,5.000000,1
1,DHC,monitor-buchi,none,3,21,3240,3230,0,10,0,0,533,531,0,2,0,0,3,5.000000,1
1,DHC,monitor-buchi,none,4,21,3246,3230,0,16,0,0,534,531,0,3,0,0,6,5.000000,1
1,DHC,monitor-buchi,none,5,21,3247,3230,0,17,0,0,535,531,0,4,0,0,1,5.000000,1
1,DHC,monitor-buchi,none,12,21,3249,3230,0,19,0,0,536,531,0,5,0,0,2,5.000000,1
1,DHC,monitor-buchi,none,15,21,3252,3230,0,22,0,0,537,531,0,6,0,0,3,5.000000,1
1,DHC,monitor-buchi,none,17,21,3256,3230,0,26,0,0,538,531,0,7,0,0,4,5.000000,1
1,DHC,monitor-buchi,none,18,21,3256,3230,0,26,19,0,538,531,0,7,2,0,10,5.000000,1
1,DHC,monitor-buchi,none,19,21,3260,3230,0,30,19,0,539,531,0,8,2,0,4,5.000000,1
1,DHC,monitor-buchi,none,20,21,3265,3230,0,35,19,0,540,531,0,9,2,0,5,5.000000,1
1,DHC,monitor-buchi,none,23,21,3265,3230,0,35,41,0,540,531,0,9,5,0,10,5.000000,1
1,DHC,monitor-buchi,none,25,21,3266,3230,0,36,41,0,541,531,0,10,5,0,1,5.000000,1
1,DHC,monitor-buchi,none,26,21,3267,3230,0,37,41,0,542,531,0,11,5,0,1,5.000000,1
1,DHC,monitor-buchi,none,27,21,3272,3230,0,42,41,0,543,531,0,12,5,0,5,5.000000,1
1,DHC,monitor-buchi,none,29,21,3273,3230,0,43,41,0,544,531,0,13,5,0,1,5.000000,1
1,DHC,monitor-buchi,none,31,21,3277,3230,0,47,41,0,545,531,0,14,5,0,4,5.000000,1
1,DHC,monitor-buchi,none,32,21,3282,3230,0,52,41,0,546,531,0,15,5,0,5,5.000000,1
1,DHC,monitor-buchi,none,33,21,3287,3230,0,57,41,0,547,531,0,16,5,0,5,5.000000,1
1,DHC,monitor-buchi,none,34,21,3291,3230,0,61,41,0,548,531,0,17,5,0,4,5.000000,1
1,DHC,monitor-buchi,none,37,21,3298,3230,0,68,41,0,549,531,0,18,5,0,7,5.000000,1
1,DHC,monitor-buchi,none,38,21,3299,3230,0,69,41,0,550,531,0,19,5,0,1,5.000000,1
1,DHC,monitor-buchi,none,39,21,3304,3230,0,74,41,0,551,531,0,20,5,0,5,5.000000,1
1,DHC,monitor-buchi,none,42,21,3310,3230,0,80,41,0,552,531,0,21,5,0,6,5.000000,1
1,DHC,monitor-buchi,none,44,21,3310,3230,0,80,55,0,552,531,0,21,7,0,9,5.000000,1
1,DHC,monitor-buchi,none,47,21,3315,3230,0,85,55,0,553,531,0,22,7,0,5,5.000000,1
1,DHC,monitor-buchi,none,48,21,3321,3230,0,91,55,0,554,531,0,23,7,0,6,5.000000,1
1,DHC,monitor-buchi,none,49,21,3325,3230,0,95,55,0,555,531,0,24,7,0,4,5.000000,1
1,DHC,monitor-buchi,none,50,21,3326,3230,0,96,55,0,556,531,0,25,7,0,1,5.000000,1
1,DHC,monitor-buchi,none,53,21,3327,3230,0,97,55,0,557,531,0,26,7,0,1,5.000000,1
1,DHC,monitor-buchi,none,54,21,3330,3230,0,100,55,0,558,531,0,27,7,0,3,5.000000,1
1,DHC,monitor-buchi,none,56,21,3336,3230,0,106,55,0,559,531,0,28,7,0,6,5.000000,1
1,DHC,monitor-buchi,none,57,21,3337,3230,0,107,55,0,560,531,0,29,7,0,1,5.000000,1
1,DHC,monitor-buchi,none,58,21,3340,3230,0,110,55,0,561,531,0,30,7,0,3,5.000000,1
1,DHC,monitor-buchi,none,59,21,3340,3230,0,110,74,0,561,531,0,30,9,0,10,5.000000,1
1,DHC,monitor-buchi,none,61,21,3340,3230,0,110,99,0,561,531,0,30,12,0,11,5.000000,1
1,DHC,monitor-buchi,none,62,21,3340,3230,0,110,118,0,561,531,0,30,14,0,10,5.000000,1
1,DHC,monitor-buchi,none,63,21,3342,3230,0,112,118,0,562,531,0,31,14,0,2,5.000000,1
1,DHC,monitor-buchi,none,64,21,3342,3230,0,112,136,0,562,531,0,31,16,0,14,5.000000,1
1,DHC,monitor-buchi,none,65,21,3346,3230,0,116,136,0,563,531,0,32,16,0,4,5.000000,1
1,DHC,monitor-buchi,none,66,21,3350,3230,0,120,136,0,564,531,0,33,16,0,4,5.000000,1
1,DHC,monitor-buchi,none,73,21,3352,3230,0,122,136,0,565,531,0,34,16,0,2,5.000000,1
1,DHC,monitor-buchi,none,75,21,3355,3230,0,125,136,0,566,531,0,35,16,0,3,5.000000,1
1,DHC,monitor-buchi,none,81,21,3355,3230,0,125,162,0,566,531,0,35,18,0,15,5.000000,1
1,DHC,monitor-buchi,none,84,21,3360,3230,0,130,162,0,567,531,0,36,18,0,5,5.000000,1
1,DHC,monitor-buchi,none,87,21,3365,3230,0,135,162,0,568,531,0,37,18,0,5,5.000000,1
1,DHC,monitor-buchi,none,88,21,3369,3230,0,139,162,0,569,531,0,38,18,0,4,5.000000,1
1,DHC,monitor-buchi,none,89,21,3373,3230,0,143,162,0,570,531,0,39,18,0,4,5.000000,1
1,DHC,monitor-buchi,none,90,21,3374,3230,0,144,162,0,571,531,0,40,18,0,1,5.000000,1
1,DHC,monitor-buchi,none,91,21,3374,3230,0,144,205,0,571,531,0,40,21,0,17,5.000000,1
1,DHC,monitor-buchi,none,93,21,3376,3230,0,146,205,0,572,531,0,41,21,0,2,5.000000,1
1,DHC,monitor-buchi,none,94,21,3381,3230,0,151,205,0,573,531,0,42,21,0,5,5.000000,1
1,DHC,monitor-buchi,none,98,21,3386,3230,0,156,205,0,574,531,0,43,21,0,5,5.000000,1
