problem,learner,aut,bbo,property,size,realsymbols,learnsymbols,eqsymbols,emsymbols,emosymbols,insymbols,realqueries,learnqueries,eqqueries,emqueries,emoqueries,inqueries,length,multiplier,refinements
1,KearnsVazirani,monitor,cex-first,5,1,6,5,0,1,0,0,7,6,0,1,0,0,1,5.000000,1
1,KearnsVazirani,monitor,cex-first,25,1,7,5,0,2,0,0,8,6,0,2,0,0,1,5.000000,1
1,KearnsVazirani,monitor,cex-first,26,1,8,5,0,3,0,0,9,6,0,3,0,0,1,5.000000,1
1,KearnsVazirani,monitor,cex-first,29,1,9,5,0,4,0,0,10,6,0,4,0,0,1,5.000000,1
1,KearnsVazirani,monitor,cex-first,38,1,10,5,0,5,0,0,11,6,0,5,0,0,1,5.000000,1
1,KearnsVazirani,monitor,cex-first,50,1,11,5,0,6,0,0,12,6,0,6,0,0,1,5.000000,1
1,KearnsVazirani,monitor,cex-first,53,1,12,5,0,7,0,0,13,6,0,7,0,0,1,5.000000,1
1,KearnsVazirani,monitor,cex-first,57,1,13,5,0,8,0,0,14,6,0,8,0,0,1,5.000000,1
1,KearnsVazirani,monitor,cex-first,90,1,14,5,0,9,0,0,15,6,0,9,0,0,1,5.000000,1
1,KearnsVazirani,monitor,cex-first,12,2,86,40,35,11,0,0,52,21,21,10,0,0,2,5.000000,2
1,KearnsVazirani,monitor,cex-first,63,2,88,40,35,13,0,0,53,21,21,11,0,0,2,5.000000,2
1,KearnsVazirani,monitor,cex-first,73,2,90,40,35,15,0,0,54,21,21,12,0,0,2,5.000000,2
1,KearnsVazirani,monitor,cex-first,93,2,92,40,35,17,0,0,55,21,21,13,0,0,2,5.000000,2
1,KearnsVazirani,monitor,cex-first,3,9,773,629,84,50,0,10,191,134,39,17,0,1,3,5.000000,4
1,KearnsVazirani,monitor,cex-first,15,9,776,629,84,53,0,10,192,134,39,18,0,1,3,5.000000,4
1,KearnsVazirani,monitor,cex-first,17,9,780,629,84,57,0,10,193,134,39,19,0,1,4,5.000000,4
1,KearnsVazirani,monitor,cex-first,19,9,784,629,84,61,0,10,194,134,39,20,0,1,4,5.000000,4
1,KearnsVazirani,monitor,cex-first,20,9,789,629,84,66,0,10,195,134,39,21,0,1,5,5.000000,4
1,KearnsVazirani,monitor,cex-first,27,9,794,629,84,71,0,10,196,134,39,22,0,1,5,5.000000,4
1,KearnsVazirani,monitor,cex-first,31,9,798,629,84,75,0,10,197,134,39,23,0,1,4,5.000000,4
1,KearnsVazirani,monitor,cex-first,32,9,803,629,84,80,0,10,198,134,39,24,0,1,5,5.000000,4
1,KearnsVazirani,monitor,cex-first,33,9,808,629,84,85,0,10,199,134,39,25,0,1,5,5.000000,4
1,KearnsVazirani,monitor,cex-first,34,9,812,629,84,89,0,10,200,134,39,26,0,1,4,5.000000,4
1,KearnsVazirani,monitor,cex-first,37,9,819,629,84,96,0,10,201,134,39,27,0,1,7,5.000000,4
1,KearnsVazirani,monitor,cex-first,39,9,824,629,84,101,0,10,202,134,39,28,0,1,5,5.000000,4
1,KearnsVazirani,monitor,cex-first,42,9,830,629,84,107,0,10,203,134,39,29,0,1,6,5.000000,4
1,KearnsVazirani,monitor,cex-first,4,14,1544,1285,84,152,0,23,333,255,39,36,0,3,6,5.000000,6
1,KearnsVazirani,monitor,cex-first,47,14,1549,1285,84,157,0,23,334,255,39,37,0,3,5,5.000000,6
1,KearnsVazirani,monitor,cex-first,48,14,1555,1285,84,163,0,23,335,255,39,38,0,3,6,5.000000,6
1,KearnsVazirani,monitor,cex-first,49,14,1559,1285,84,167,0,23,336,255,39,39,0,3,4,5.000000,6
1,KearnsVazirani,monitor,cex-first,54,14,1562,1285,84,170,0,23,337,255,39,40,0,3,3,5.000000,6
1,KearnsVazirani,monitor,cex-first,56,14,1568,1285,84,176,0,23,338,255,39,41,0,3,6,5.000000,6
1,KearnsVazirani,monitor,cex-first,58,14,1571,1285,84,179,0,23,339,255,39,42,0,3,3,5.000000,6
1,KearnsVazirani,monitor,cex-first,65,14,1575,1285,84,183,0,23,340,255,39,43,0,3,4,5.000000,6
1,KearnsVazirani,monitor,cex-first,66,14,1579,1285,84,187,0,23,341,255,39,44,0,3,4,5.000000,6
1,KearnsVazirani,monitor,cex-first,75,14,1582,1285,84,190,0,23,342,255,39,45,0,3,3,5.000000,6
1,KearnsVazirani,monitor,cex-first,84,14,1587,1285,84,195,0,23,343,255,39,46,0,3,5,5.000000,6
1,KearnsVazirani,monitor,cex-first,87,14,1592,1285,84,200,0,23,344,255,39,47,0,3,5,5.000000,6
1,KearnsVazirani,monitor,cex-first,88,14,1596,1285,84,204,0,23,345,255,39,48,0,3,4,5.000000,6
1,KearnsVazirani,monitor,cex-first,89,14,1600,1285,84,208,0,23,346,255,39,49,0,3,4,5.000000,6
1,KearnsVazirani,monitor,cex-first,94,14,1605,1285,84,213,0,23,347,255,39,50,0,3,5,5.000000,6
1,KearnsVazirani,monitor,cex-first,98,14,1610,1285,84,218,0,23,348,255,39,51,0,3,5,5.000000,6
1,KearnsVazirani,monitor,cex-first,2,18,2527,1775,504,225,0,23,515,337,123,52,0,3,7,5.000000,7
