problem,learner,aut,bbo,property,size,realsymbols,learnsymbols,eqsymbols,emsymbols,emosymbols,insymbols,realqueries,learnqueries,eqqueries,emqueries,emoqueries,inqueries,length,multiplier,refinements
1,KearnsVazirani,monitor,disprove-first,5,1,6,5,0,1,0,0,7,6,0,1,0,0,1,5.000000,1
1,KearnsVazirani,monitor,disprove-first,25,1,7,5,0,2,0,0,8,6,0,2,0,0,1,5.000000,1
1,KearnsVazirani,monitor,disprove-first,26,1,8,5,0,3,0,0,9,6,0,3,0,0,1,5.000000,1
1,KearnsVazirani,monitor,disprove-first,29,1,9,5,0,4,0,0,10,6,0,4,0,0,1,5.000000,1
1,KearnsVazirani,monitor,disprove-first,38,1,10,5,0,5,0,0,11,6,0,5,0,0,1,5.000000,1
1,KearnsVazirani,monitor,disprove-first,50,1,11,5,0,6,0,0,12,6,0,6,0,0,1,5.000000,1
1,KearnsVazirani,monitor,disprove-first,53,1,12,5,0,7,0,0,13,6,0,7,0,0,1,5.000000,1
1,KearnsVazirani,monitor,disprove-first,57,1,13,5,0,8,0,0,14,6,0,8,0,0,1,5.000000,1
1,KearnsVazirani,monitor,disprove-first,90,1,14,5,0,9,0,0,15,6,0,9,0,0,1,5.000000,1
1,KearnsVazirani,monitor,disprove-first,12,2,86,40,35,11,0,0,52,21,21,10,0,0,2,5.000000,2
1,KearnsVazirani,monitor,disprove-first,63,2,88,40,35,13,0,0,53,21,21,11,0,0,2,5.000000,2
1,KearnsVazirani,monitor,disprove-first,73,2,90,40,35,15,0,0,54,21,21,12,0,0,2,5.000000,2
1,KearnsVazirani,monitor,disprove-first,93,2,92,40,35,17,0,0,55,21,21,13,0,0,2,5.000000,2
1,KearnsVazirani,monitor,disprove-first,3,8,564,450,84,30,0,0,159,105,39,15,0,0,3,5.000000,3
1,KearnsVazirani,monitor,disprove-first,15,8,567,450,84,33,0,0,160,105,39,16,0,0,3,5.000000,3
1,KearnsVazirani,monitor,disprove-first,17,8,571,450,84,37,0,0,161,105,39,17,0,0,4,5.000000,3
1,KearnsVazirani,monitor,disprove-first,19,8,575,450,84,41,0,0,162,105,39,18,0,0,4,5.000000,3
1,KearnsVazirani,monitor,disprove-first,20,8,580,450,84,46,0,0,163,105,39,19,0,0,5,5.000000,3
1,KearnsVazirani,monitor,disprove-first,27,8,585,450,84,51,0,0,164,105,39,20,0,0,5,5.000000,3
1,KearnsVazirani,monitor,disprove-first,31,8,589,450,84,55,0,0,165,105,39,21,0,0,4,5.000000,3
1,KearnsVazirani,monitor,disprove-first,32,8,594,450,84,60,0,0,166,105,39,22,0,0,5,5.000000,3
1,KearnsVazirani,monitor,disprove-first,33,8,599,450,84,65,0,0,167,105,39,23,0,0,5,5.000000,3
1,KearnsVazirani,monitor,disprove-first,34,8,603,450,84,69,0,0,168,105,39,24,0,0,4,5.000000,3
1,KearnsVazirani,monitor,disprove-first,37,8,610,450,84,76,0,0,169,105,39,25,0,0,7,5.000000,3
1,KearnsVazirani,monitor,disprove-first,39,8,615,450,84,81,0,0,170,105,39,26,0,0,5,5.000000,3
1,KearnsVazirani,monitor,disprove-first,42,8,621,450,84,87,0,0,171,105,39,27,0,0,6,5.000000,3
1,KearnsVazirani,monitor,disprove-first,47,8,634,450,84,100,0,0,173,105,39,29,0,0,5,5.000000,3
1,KearnsVazirani,monitor,disprove-first,48,8,640,450,84,106,0,0,174,105,39,30,0,0,6,5.000000,3
1,KearnsVazirani,monitor,disprove-first,54,8,643,450,84,109,0,0,175,105,39,31,0,0,3,5.000000,3
1,KearnsVazirani,monitor,disprove-first,58,8,646,450,84,112,0,0,176,105,39,32,0,0,3,5.000000,3
1,KearnsVazirani,monitor,disprove-first,65,8,650,450,84,116,0,0,177,105,39,33,0,0,4,5.000000,3
1,KearnsVazirani,monitor,disprove-first,75,8,653,450,84,119,0,0,178,105,39,34,0,0,3,5.000000,3
1,KearnsVazirani,monitor,disprove-first,88,8,664,450,84,130,0,0,180,105,39,36,0,0,4,5.000000,3
1,KearnsVazirani,monitor,disprove-first,89,8,668,450,84,134,0,0,181,105,39,37,0,0,4,5.000000,3
1,KearnsVazirani,monitor,disprove-first,94,8,673,450,84,139,0,0,182,105,39,38,0,0,5,5.000000,3
1,KearnsVazirani,monitor,disprove-first,49,12,1369,1054,84,213,0,18,300,211,39,48,0,2,4,5.000000,5
1,KearnsVazirani,monitor,disprove-first,66,12,1378,1054,84,222,0,18,302,211,39,50,0,2,4,5.000000,5
1,KearnsVazirani,monitor,disprove-first,84,12,1383,1054,84,227,0,18,303,211,39,51,0,2,5,5.000000,5
1,KearnsVazirani,monitor,disprove-first,4,14,1647,1285,84,255,0,23,353,255,39,56,0,3,6,5.000000,6
1,KearnsVazirani,monitor,disprove-first,56,14,1653,1285,84,261,0,23,354,255,39,57,0,3,6,5.000000,6
1,KearnsVazirani,monitor,disprove-first,87,14,1658,1285,84,266,0,23,355,255,39,58,0,3,5,5.000000,6
1,KearnsVazirani,monitor,disprove-first,98,14,1663,1285,84,271,0,23,356,255,39,59,0,3,5,5.000000,6
1,KearnsVazirani,monitor,disprove-first,2,18,2580,1775,504,278,0,23,523,337,123,60,0,3,7,5.000000,7
