problem,learner,aut,bbo,property,size,realsymbols,learnsymbols,eqsymbols,emsymbols,emosymbols,insymbols,realqueries,learnqueries,eqqueries,emqueries,emoqueries,inqueries,length,multiplier,refinements
1,KearnsVazirani,monitor-buchi,disprove-first,5,1,6,5,0,1,0,0,7,6,0,1,0,0,1,5.000000,1
1,KearnsVazirani,monitor-buchi,disprove-first,25,1,7,5,0,2,60,0,8,6,0,2,40,0,1,5.000000,1
1,KearnsVazirani,monitor-buchi,disprove-first,26,1,8,5,0,3,60,0,9,6,0,3,40,0,1,5.000000,1
1,KearnsVazirani,monitor-buchi,disprove-first,29,1,9,5,0,4,60,0,10,6,0,4,40,0,1,5.000000,1
1,KearnsVazirani,monitor-buchi,disprove-first,38,1,10,5,0,5,60,0,11,6,0,5,40,0,1,5.000000,1
1,KearnsVazirani,monitor-buchi,disprove-first,50,1,11,5,0,6,60,0,12,6,0,6,40,0,1,5.000000,1
1,KearnsVazirani,monitor-buchi,disprove-first,53,1,12,5,0,7,60,0,13,6,0,7,40,0,1,5.000000,1
1,KearnsVazirani,monitor-buchi,disprove-first,57,1,13,5,0,8,60,0,14,6,0,8,40,0,1,5.000000,1
1,KearnsVazirani,monitor-buchi,disprove-first,90,1,14,5,0,9,160,0,15,6,0,9,80,0,1,5.000000,1
1,KearnsVazirani,monitor-buchi,disprove-first,3,6,253,220,0,12,400,21,72,61,0,10,240,1,3,5.000000,2
1,KearnsVazirani,monitor-buchi,disprove-first,12,6,261,220,0,20,1107,21,74,61,0,12,299,1,2,5.000000,2
1,KearnsVazirani,monitor-buchi,disprove-first,15,6,264,220,0,23,1107,21,75,61,0,13,299,1,3,5.000000,2
1,KearnsVazirani,monitor-buchi,disprove-first,17,6,269,220,0,28,1107,21,76,61,0,14,299,1,5,5.000000,2
1,KearnsVazirani,monitor-buchi,disprove-first,20,6,274,220,0,33,1667,21,77,61,0,15,358,1,5,5.000000,2
1,KearnsVazirani,monitor-buchi,disprove-first,31,6,282,220,0,41,2381,21,79,61,0,17,477,1,4,5.000000,2
1,KearnsVazirani,monitor-buchi,disprove-first,34,6,296,220,0,55,3629,21,82,61,0,20,596,1,4,5.000000,2
1,KearnsVazirani,monitor-buchi,disprove-first,42,6,315,220,0,74,4815,21,85,61,0,23,715,1,6,5.000000,2
1,KearnsVazirani,monitor-buchi,disprove-first,47,6,320,220,0,79,5286,21,86,61,0,24,774,1,5,5.000000,2
1,KearnsVazirani,monitor-buchi,disprove-first,49,6,324,220,0,83,5286,21,87,61,0,25,774,1,4,5.000000,2
1,KearnsVazirani,monitor-buchi,disprove-first,54,6,327,220,0,86,5286,21,88,61,0,26,774,1,3,5.000000,2
1,KearnsVazirani,monitor-buchi,disprove-first,58,6,336,220,0,95,5826,21,90,61,0,28,834,1,3,5.000000,2
1,KearnsVazirani,monitor-buchi,disprove-first,63,6,338,220,0,97,7075,21,91,61,0,29,1013,1,2,5.000000,2
1,KearnsVazirani,monitor-buchi,disprove-first,65,6,342,220,0,101,7927,21,92,61,0,30,1072,1,4,5.000000,2
1,KearnsVazirani,monitor-buchi,disprove-first,66,6,346,220,0,105,7927,21,93,61,0,31,1072,1,4,5.000000,2
1,KearnsVazirani,monitor-buchi,disprove-first,73,6,348,220,0,107,7927,21,94,61,0,32,1072,1,2,5.000000,2
1,KearnsVazirani,monitor-buchi,disprove-first,75,6,351,220,0,110,7927,21,95,61,0,33,1072,1,3,5.000000,2
1,KearnsVazirani,monitor-buchi,disprove-first,87,6,362,220,0,121,8986,21,97,61,0,35,1194,1,5,5.000000,2
1,KearnsVazirani,monitor-buchi,disprove-first,88,6,366,220,0,125,8986,21,98,61,0,36,1194,1,4,5.000000,2
1,KearnsVazirani,monitor-buchi,disprove-first,89,6,370,220,0,129,8986,21,99,61,0,37,1194,1,4,5.000000,2
1,KearnsVazirani,monitor-buchi,disprove-first,91,6,370,220,0,129,8997,21,99,61,0,37,1196,1,6,5.000000,2
1,KearnsVazirani,monitor-buchi,disprove-first,93,6,372,220,0,131,8997,21,100,61,0,38,1196,1,2,5.000000,2
1,KearnsVazirani,monitor-buchi,disprove-first,94,6,377,220,0,136,8997,21,101,61,0,39,1196,1,5,5.000000,2
1,KearnsVazirani,monitor-buchi,disprove-first,98,6,382,220,0,141,9006,21,102,61,0,40,1198,1,5,5.000000,2
1,KearnsVazirani,monitor-buchi,disprove-first,18,9,720,528,0,165,9843,27,162,116,0,44,1291,2,10,5.000000,3
1,KearnsVazirani,monitor-buchi,disprove-first,23,9,720,528,0,165,9865,27,162,116,0,44,1294,2,10,5.000000,3
1,KearnsVazirani,monitor-buchi,disprove-first,39,9,747,528,0,192,13796,27,167,116,0,49,1656,2,10,5.000000,3
1,KearnsVazirani,monitor-buchi,disprove-first,44,9,747,528,0,192,13810,27,167,116,0,49,1658,2,9,5.000000,3
1,KearnsVazirani,monitor-buchi,disprove-first,61,9,753,528,0,198,15230,27,168,116,0,50,1841,2,11,5.000000,3
1,KearnsVazirani,monitor-buchi,disprove-first,84,9,758,528,0,203,17750,27,169,116,0,51,2111,2,5,5.000000,3
1,KearnsVazirani,monitor-buchi,disprove-first,2,14,1359,1098,0,228,17750,33,275,217,0,55,2111,3,7,5.000000,4
1,KearnsVazirani,monitor-buchi,disprove-first,4,14,1365,1098,0,234,17750,33,276,217,0,56,2111,3,6,5.000000,4
1,KearnsVazirani,monitor-buchi,disprove-first,19,14,1369,1098,0,238,17750,33,277,217,0,57,2111,3,4,5.000000,4
1,KearnsVazirani,monitor-buchi,disprove-first,27,14,1374,1098,0,243,17750,33,278,217,0,58,2111,3,5,5.000000,4
1,KearnsVazirani,monitor-buchi,disprove-first,37,14,1391,1098,0,260,21932,33,281,217,0,61,2390,3,7,5.000000,4
1,KearnsVazirani,monitor-buchi,disprove-first,56,14,1404,1098,0,273,24592,33,283,217,0,63,2530,3,6,5.000000,4
1,KearnsVazirani,monitor-buchi,disprove-first,64,14,1404,1098,0,273,28040,33,283,217,0,63,2812,3,14,5.000000,4
1,KearnsVazirani,monitor-buchi,disprove-first,32,15,1570,1239,0,293,30280,38,316,245,0,67,2952,4,5,5.000000,5
1,KearnsVazirani,monitor-buchi,disprove-first,33,15,1575,1239,0,298,30280,38,317,245,0,68,2952,4,5,5.000000,5
1,KearnsVazirani,monitor-buchi,disprove-first,48,18,2025,1648,0,332,39929,45,385,307,0,73,3551,5,6,5.000000,6
1,KearnsVazirani,monitor-buchi,disprove-first,59,19,2629,1880,0,332,55878,417,423,344,0,73,4633,6,10,5.000000,7
1,KearnsVazirani,monitor-buchi,disprove-first,62,19,2629,1880,0,332,55897,417,423,344,0,73,4635,6,10,5.000000,7
1,KearnsVazirani,monitor-buchi,disprove-first,81,19,2629,1880,0,332,55923,417,423,344,0,73,4637,6,15,5.000000,7
