problem,learner,aut,bbo,property,size,realsymbols,learnsymbols,eqsymbols,emsymbols,emosymbols,insymbols,realqueries,learnqueries,eqqueries,emqueries,emoqueries,inqueries,length,multiplier,refinements
1,MalerPnueli,buchi,disprove-first,81,7,11212,11191,0,0,22877,21,829,828,0,0,3472,1,15,5.000000,2
1,MalerPnueli,buchi,disprove-first,2,21,379602,379506,0,0,28738,96,10390,10388,0,0,4236,2,23,5.000000,3
1,MalerPnueli,buchi,disprove-first,3,21,379602,379506,0,0,28750,96,10390,10388,0,0,4238,2,8,5.000000,3
1,MalerPnueli,buchi,disprove-first,4,21,379602,379506,0,0,28774,96,10390,10388,0,0,4240,2,14,5.000000,3
1,MalerPnueli,buchi,disprove-first,5,21,379602,379506,0,0,28796,96,10390,10388,0,0,4243,2,10,5.000000,3
1,MalerPnueli,buchi,disprove-first,12,21,379602,379506,0,0,28818,96,10390,10388,0,0,4246,2,10,5.000000,3
1,MalerPnueli,buchi,disprove-first,15,21,379602,379506,0,0,28843,96,10390,10388,0,0,4249,2,11,5.000000,3
1,MalerPnueli,buchi,disprove-first,17,21,379602,379506,0,0,28857,96,10390,10388,0,0,4251,2,9,5.000000,3
1,MalerPnueli,buchi,disprove-first,18,21,379602,379506,0,0,28876,96,10390,10388,0,0,4253,2,10,5.000000,3
1,MalerPnueli,buchi,disprove-first,19,21,379602,379506,0,0,28922,96,10390,10388,0,0,4256,2,18,5.000000,3
1,MalerPnueli,buchi,disprove-first,20,21,379602,379506,0,0,28936,96,10390,10388,0,0,4258,2,9,5.000000,3
1,MalerPnueli,buchi,disprove-first,23,21,379602,379506,0,0,28958,96,10390,10388,0,0,4261,2,10,5.000000,3
1,MalerPnueli,buchi,disprove-first,25,21,379602,379506,0,0,28980,96,10390,10388,0,0,4264,2,10,5.000000,3
1,MalerPnueli,buchi,disprove-first,26,21,379602,379506,0,0,29002,96,10390,10388,0,0,4267,2,10,5.000000,3
1,MalerPnueli,buchi,disprove-first,27,21,379602,379506,0,0,29045,96,10390,10388,0,0,4270,2,17,5.000000,3
1,MalerPnueli,buchi,disprove-first,29,21,379602,379506,0,0,29067,96,10390,10388,0,0,4273,2,10,5.000000,3
1,MalerPnueli,buchi,disprove-first,31,21,379602,379506,0,0,29079,96,10390,10388,0,0,4275,2,8,5.000000,3
1,MalerPnueli,buchi,disprove-first,32,21,379602,379506,0,0,29128,96,10390,10388,0,0,4278,2,19,5.000000,3
