problem,learner,aut,bbo,property,size,realsymbols,learnsymbols,eqsymbols,emsymbols,emosymbols,insymbols,realqueries,learnqueries,eqqueries,emqueries,emoqueries,inqueries,length,multiplier,refinements
1,MalerPnueli,monitor-buchi,cex-first,5,1,6,5,0,1,0,0,7,6,0,1,0,0,1,5.000000,1
1,MalerPnueli,monitor-buchi,cex-first,3,7,11216,11191,0,4,240,21,831,828,0,2,160,1,3,5.000000,2
1,MalerPnueli,monitor-buchi,cex-first,2,20,40159,40097,0,35,1205,27,2938,2929,0,7,229,2,7,5.000000,3
1,MalerPnueli,monitor-buchi,cex-first,4,20,40165,40097,0,41,1205,27,2939,2929,0,8,229,2,6,5.000000,3
1,MalerPnueli,monitor-buchi,cex-first,12,20,40167,40097,0,43,1205,27,2940,2929,0,9,229,2,2,5.000000,3
1,MalerPnueli,monitor-buchi,cex-first,15,20,40170,40097,0,46,1205,27,2941,2929,0,10,229,2,3,5.000000,3
1,MalerPnueli,monitor-buchi,cex-first,17,20,40174,40097,0,50,1205,27,2942,2929,0,11,229,2,4,5.000000,3
1,MalerPnueli,monitor-buchi,cex-first,18,20,40174,40097,0,50,1224,27,2942,2929,0,11,231,2,10,5.000000,3
1,MalerPnueli,monitor-buchi,cex-first,19,20,40178,40097,0,54,1224,27,2943,2929,0,12,231,2,4,5.000000,3
1,MalerPnueli,monitor-buchi,cex-first,20,20,40183,40097,0,59,1224,27,2944,2929,0,13,231,2,5,5.000000,3
1,MalerPnueli,monitor-buchi,cex-first,23,20,40183,40097,0,59,1246,27,2944,2929,0,13,234,2,10,5.000000,3
1,MalerPnueli,monitor-buchi,cex-first,25,20,40184,40097,0,60,1246,27,2945,2929,0,14,234,2,1,5.000000,3
1,MalerPnueli,monitor-buchi,cex-first,26,20,40185,40097,0,61,1246,27,2946,2929,0,15,234,2,1,5.000000,3
1,MalerPnueli,monitor-buchi,cex-first,27,20,40190,40097,0,66,1246,27,2947,2929,0,16,234,2,5,5.000000,3
1,MalerPnueli,monitor-buchi,cex-first,29,20,40191,40097,0,67,1246,27,2948,2929,0,17,234,2,1,5.000000,3
1,MalerPnueli,monitor-buchi,cex-first,31,20,40195,40097,0,71,1246,27,2949,2929,0,18,234,2,4,5.000000,3
1,MalerPnueli,monitor-buchi,cex-first,32,20,40200,40097,0,76,1246,27,2950,2929,0,19,234,2,5,5.000000,3
1,MalerPnueli,monitor-buchi,cex-first,33,20,40205,40097,0,81,1246,27,2951,2929,0,20,234,2,5,5.000000,3
