problem,learner,aut,bbo,property,size,realsymbols,learnsymbols,eqsymbols,emsymbols,emosymbols,insymbols,realqueries,learnqueries,eqqueries,emqueries,emoqueries,inqueries,length,multiplier,refinements
1,RivestSchapire,monitor-buchi,disprove-first,5,1,6,5,0,1,0,0,7,6,0,1,0,0,1,5.000000,1
1,RivestSchapire,monitor-buchi,disprove-first,25,1,7,5,0,2,60,0,8,6,0,2,40,0,1,5.000000,1
1,RivestSchapire,monitor-buchi,disprove-first,26,1,8,5,0,3,60,0,9,6,0,3,40,0,1,5.000000,1
1,RivestSchapire,monitor-buchi,disprove-first,29,1,9,5,0,4,60,0,10,6,0,4,40,0,1,5.000000,1
1,RivestSchapire,monitor-buchi,disprove-first,38,1,10,5,0,5,60,0,11,6,0,5,40,0,1,5.000000,1
1,RivestSchapire,monitor-buchi,disprove-first,50,1,11,5,0,6,60,0,12,6,0,6,40,0,1,5.000000,1
1,RivestSchapire,monitor-buchi,disprove-first,53,1,12,5,0,7,60,0,13,6,0,7,40,0,1,5.000000,1
1,RivestSchapire,monitor-buchi,disprove-first,57,1,13,5,0,8,60,0,14,6,0,8,40,0,1,5.000000,1
1,RivestSchapire,monitor-buchi,disprove-first,90,1,14,5,0,9,160,0,15,6,0,9,80,0,1,5.000000,1
1,RivestSchapire,monitor-buchi,disprove-first,3,6,298,265,0,12,400,21,80,69,0,10,240,1,3,5.000000,2
1,RivestSchapire,monitor-buchi,disprove-first,12,6,306,265,0,20,1107,21,82,69,0,12,299,1,2,5.000000,2
1,RivestSchapire,monitor-buchi,disprove-first,15,6,309,265,0,23,1107,21,83,69,0,13,299,1,3,5.000000,2
1,RivestSchapire,monitor-buchi,disprove-first,17,6,314,265,0,28,1107,21,84,69,0,14,299,1,5,5.000000,2
1,RivestSchapire,monitor-buchi,disprove-first,20,6,319,265,0,33,1667,21,85,69,0,15,358,1,5,5.000000,2
1,RivestSchapire,monitor-buchi,disprove-first,31,6,327,265,0,41,2381,21,87,69,0,17,477,1,4,5.000000,2
1,RivestSchapire,monitor-buchi,disprove-first,34,6,341,265,0,55,3629,21,90,69,0,20,596,1,4,5.000000,2
1,RivestSchapire,monitor-buchi,disprove-first,42,6,360,265,0,74,4815,21,93,69,0,23,715,1,6,5.000000,2
1,RivestSchapire,monitor-buchi,disprove-first,47,6,365,265,0,79,5286,21,94,69,0,24,774,1,5,5.000000,2
1,RivestSchapire,monitor-buchi,disprove-first,49,6,369,265,0,83,5286,21,95,69,0,25,774,1,4,5.000000,2
1,RivestSchapire,monitor-buchi,disprove-first,54,6,372,265,0,86,5286,21,96,69,0,26,774,1,3,5.000000,2
1,RivestSchapire,monitor-buchi,disprove-first,58,6,381,265,0,95,5826,21,98,69,0,28,834,1,3,5.000000,2
1,RivestSchapire,monitor-buchi,disprove-first,63,6,383,265,0,97,7075,21,99,69,0,29,1013,1,2,5.000000,2
