problem,learner,aut,bbo,property,size,realsymbols,learnsymbols,eqsymbols,emsymbols,emosymbols,insymbols,realqueries,learnqueries,eqqueries,emqueries,emoqueries,inqueries,length,multiplier,refinements
2,ADT,monitor-buchi,disprove-first,1,1,11,10,0,1,0,0,12,11,0,1,0,0,1,10.000000,1
2,ADT,monitor-buchi,disprove-first,44,1,15,10,0,5,380,0,14,11,0,3,200,0,1,10.000000,1
2,ADT,monitor-buchi,disprove-first,55,1,16,10,0,6,380,0,15,11,0,4,200,0,1,10.000000,1
2,ADT,monitor-buchi,disprove-first,68,1,17,10,0,7,380,0,16,11,0,5,200,0,1,10.000000,1
2,ADT,monitor-buchi,disprove-first,87,1,20,10,0,10,480,0,18,11,0,7,240,0,1,10.000000,1
2,ADT,monitor-buchi,disprove-first,95,1,21,10,0,11,540,0,19,11,0,8,280,0,1,10.000000,1
2,ADT,monitor-buchi,disprove-first,23,3,140,106,0,13,960,21,50,40,0,9,520,1,2,10.000000,2
2,ADT,monitor-buchi,disprove-first,59,3,144,106,0,17,1410,21,52,40,0,11,700,1,2,10.000000,2
2,ADT,monitor-buchi,disprove-first,15,5,407,323,0,31,4150,53,94,77,0,15,1558,2,3,10.000000,3
2,ADT,monitor-buchi,disprove-first,21,5,411,323,0,35,5250,53,95,77,0,16,1758,2,4,10.000000,3
2,ADT,monitor-buchi,disprove-first,25,5,413,323,0,37,5250,53,96,77,0,17,1758,2,2,10.000000,3
2,ADT,monitor-buchi,disprove-first,47,5,418,323,0,42,6642,53,98,77,0,19,2156,2,3,10.000000,3
2,ADT,monitor-buchi,disprove-first,69,5,422,323,0,46,7342,53,99,77,0,20,2356,2,4,10.000000,3
2,ADT,monitor-buchi,disprove-first,2,9,817,691,0,69,8836,57,170,141,0,26,2755,3,4,10.000000,4
2,ADT,monitor-buchi,disprove-first,4,9,824,691,0,76,8836,57,171,141,0,27,2755,3,7,10.000000,4
2,ADT,monitor-buchi,disprove-first,11,9,829,691,0,81,11176,57,172,141,0,28,3295,3,5,10.000000,4
2,ADT,monitor-buchi,disprove-first,20,9,851,691,0,103,14988,57,176,141,0,32,4028,3,41,10.000000,4
2,ADT,monitor-buchi,disprove-first,26,9,854,691,0,106,16428,57,177,141,0,33,4208,3,3,10.000000,4
2,ADT,monitor-buchi,disprove-first,74,9,888,691,0,140,31394,57,184,141,0,40,6364,3,3,10.000000,4
2,ADT,monitor-buchi,disprove-first,6,10,1677,1380,0,147,36353,150,227,182,0,41,7446,4,5,10.000000,5
2,ADT,monitor-buchi,disprove-first,12,10,1681,1380,0,151,38153,150,228,182,0,42,7846,4,4,10.000000,5
2,ADT,monitor-buchi,disprove-first,35,10,1685,1380,0,155,43062,150,229,182,0,43,8848,4,5,10.000000,5
2,ADT,monitor-buchi,disprove-first,37,10,1689,1380,0,159,43062,150,230,182,0,44,8848,4,4,10.000000,5
2,ADT,monitor-buchi,disprove-first,38,10,1689,1380,0,159,43071,150,230,182,0,44,8850,4,5,10.000000,5
2,ADT,monitor-buchi,disprove-first,88,10,1691,1380,0,161,46371,150,231,182,0,45,9450,4,2,10.000000,5
2,ADT,monitor-buchi,disprove-first,93,10,1691,1380,0,161,46388,150,231,182,0,45,9453,4,7,10.000000,5
2,ADT,monitor-buchi,disprove-first,84,11,2154,1728,0,174,62106,252,273,220,0,48,12667,5,3,10.000000,6
