problem,learner,aut,bbo,property,size,realsymbols,learnsymbols,eqsymbols,emsymbols,emosymbols,insymbols,realqueries,learnqueries,eqqueries,emqueries,emoqueries,inqueries,length,multiplier,refinements
2,DHC,monitor-buchi,cex-first,1,22,12911,12910,0,1,0,0,2212,2211,0,1,0,0,1,10.000000,1
2,DHC,monitor-buchi,cex-first,2,22,12914,12910,0,4,0,0,2213,2211,0,2,0,0,3,10.000000,1
2,DHC,monitor-buchi,cex-first,4,22,12921,12910,0,11,0,0,2214,2211,0,3,0,0,7,10.000000,1
2,DHC,monitor-buchi,cex-first,6,22,12921,12910,0,11,11,0,2214,2211,0,3,2,0,6,10.000000,1
2,DHC,monitor-buchi,cex-first,8,26,39786,38231,0,11,43612,1544,5099,5095,0,3,1749,1,27,10.000000,2
2,DHC,monitor-buchi,cex-first,9,26,39786,38231,0,11,43641,1544,5099,5095,0,3,1752,1,13,10.000000,2
2,DHC,monitor-buchi,cex-first,11,26,39791,38231,0,16,43641,1544,5100,5095,0,4,1752,1,5,10.000000,2
2,DHC,monitor-buchi,cex-first,12,26,39795,38231,0,20,43641,1544,5101,5095,0,5,1752,1,4,10.000000,2
2,DHC,monitor-buchi,cex-first,13,26,39795,38231,0,20,43698,1544,5101,5095,0,5,1755,1,27,10.000000,2
2,DHC,monitor-buchi,cex-first,15,26,39798,38231,0,23,43698,1544,5102,5095,0,6,1755,1,3,10.000000,2
2,DHC,monitor-buchi,cex-first,17,26,39806,38231,0,31,43698,1544,5103,5095,0,7,1755,1,8,10.000000,2
2,DHC,monitor-buchi,cex-first,20,26,39816,38231,0,41,43698,1544,5104,5095,0,8,1755,1,10,10.000000,2
2,DHC,monitor-buchi,cex-first,21,26,39820,38231,0,45,43698,1544,5105,5095,0,9,1755,1,4,10.000000,2
2,DHC,monitor-buchi,cex-first,22,26,39820,38231,0,45,43736,1544,5105,5095,0,9,1758,1,14,10.000000,2
2,DHC,monitor-buchi,cex-first,23,26,39822,38231,0,47,43736,1544,5106,5095,0,10,1758,1,2,10.000000,2
2,DHC,monitor-buchi,cex-first,25,26,39824,38231,0,49,43736,1544,5107,5095,0,11,1758,1,2,10.000000,2
2,DHC,monitor-buchi,cex-first,26,26,39827,38231,0,52,43736,1544,5108,5095,0,12,1758,1,3,10.000000,2
