problem,learner,aut,bbo,property,size,realsymbols,learnsymbols,eqsymbols,emsymbols,emosymbols,insymbols,realqueries,learnqueries,eqqueries,emqueries,emoqueries,inqueries,length,multiplier,refinements
2,DiscriminationTree,buchi,cex-first,1,22,40546,37894,0,0,48597,2652,1218,1209,0,0,4779,9,27,10.000000,10
2,DiscriminationTree,buchi,cex-first,2,22,40546,37894,0,0,48654,2652,1218,1209,0,0,4782,9,27,10.000000,10
2,DiscriminationTree,buchi,cex-first,4,26,64212,60895,0,0,57540,3317,1460,1450,0,0,6114,10,42,10.000000,11
2,DiscriminationTree,buchi,cex-first,6,26,64212,60895,0,0,57551,3317,1460,1450,0,0,6116,10,6,10.000000,11
2,DiscriminationTree,buchi,cex-first,8,26,64212,60895,0,0,57608,3317,1460,1450,0,0,6119,10,27,10.000000,11
2,DiscriminationTree,buchi,cex-first,9,26,64212,60895,0,0,57637,3317,1460,1450,0,0,6122,10,13,10.000000,11
2,DiscriminationTree,buchi,cex-first,11,26,64212,60895,0,0,57715,3317,1460,1450,0,0,6125,10,34,10.000000,11
2,DiscriminationTree,buchi,cex-first,12,26,64212,60895,0,0,57741,3317,1460,1450,0,0,6128,10,10,10.000000,11
2,DiscriminationTree,buchi,cex-first,13,26,64212,60895,0,0,57798,3317,1460,1450,0,0,6131,10,27,10.000000,11
2,DiscriminationTree,buchi,cex-first,15,26,64212,60895,0,0,58098,3317,1460,1450,0,0,6143,10,47,10.000000,11
2,DiscriminationTree,buchi,cex-first,17,26,64212,60895,0,0,58170,3317,1460,1450,0,0,6146,10,32,10.000000,11
2,DiscriminationTree,buchi,cex-first,20,26,64212,60895,0,0,58227,3317,1460,1450,0,0,6149,10,27,10.000000,11
2,DiscriminationTree,buchi,cex-first,21,26,64212,60895,0,0,58247,3317,1460,1450,0,0,6151,10,11,10.000000,11
2,DiscriminationTree,buchi,cex-first,22,26,64212,60895,0,0,58285,3317,1460,1450,0,0,6154,10,14,10.000000,11
2,DiscriminationTree,buchi,cex-first,23,26,64212,60895,0,0,58342,3317,1460,1450,0,0,6157,10,27,10.000000,11
2,DiscriminationTree,buchi,cex-first,25,26,64212,60895,0,0,58405,3317,1460,1450,0,0,6160,10,29,10.000000,11
2,DiscriminationTree,buchi,cex-first,26,26,64212,60895,0,0,58474,3317,1460,1450,0,0,6163,10,31,10.000000,11
2,DiscriminationTree,buchi,cex-first,29,26,64212,60895,0,0,58500,3317,1460,1450,0,0,6166,10,10,10.000000,11
2,DiscriminationTree,buchi,cex-first,31,26,64212,60895,0,0,58553,3317,1460,1450,0,0,6169,10,19,10.000000,11
2,DiscriminationTree,buchi,cex-first,32,26,64212,60895,0,0,58610,3317,1460,1450,0,0,6172,10,27,10.000000,11
2,DiscriminationTree,buchi,cex-first,34,26,64212,60895,0,0,58639,3317,1460,1450,0,0,6175,10,11,10.000000,11
2,DiscriminationTree,buchi,cex-first,35,26,64212,60895,0,0,58650,3317,1460,1450,0,0,6177,10,6,10.000000,11
2,DiscriminationTree,buchi,cex-first,37,26,64212,60895,0,0,58673,3317,1460,1450,0,0,6180,10,9,10.000000,11
2,DiscriminationTree,buchi,cex-first,38,26,64212,60895,0,0,58684,3317,1460,1450,0,0,6182,10,6,10.000000,11
2,DiscriminationTree,buchi,cex-first,40,26,64212,60895,0,0,58750,3317,1460,1450,0,0,6185,10,30,10.000000,11
2,DiscriminationTree,buchi,cex-first,43,26,64212,60895,0,0,58769,3317,1460,1450,0,0,6187,10,10,10.000000,11
