problem,learner,aut,bbo,property,size,realsymbols,learnsymbols,eqsymbols,emsymbols,emosymbols,insymbols,realqueries,learnqueries,eqqueries,emqueries,emoqueries,inqueries,length,multiplier,refinements
2,ExtensibleLStar,monitor,none,1,26,51684,22452,29231,1,0,0,7704,3132,4571,1,0,0,1,10.000000,2
2,ExtensibleLStar,monitor,none,2,26,51687,22452,29231,4,0,0,7705,3132,4571,2,0,0,3,10.000000,2
2,ExtensibleLStar,monitor,none,4,26,51694,22452,29231,11,0,0,7706,3132,4571,3,0,0,7,10.000000,2
2,ExtensibleLStar,monitor,none,11,26,51699,22452,29231,16,0,0,7707,3132,4571,4,0,0,5,10.000000,2
2,ExtensibleLStar,monitor,none,12,26,51703,22452,29231,20,0,0,7708,3132,4571,5,0,0,4,10.000000,2
2,ExtensibleLStar,monitor,none,15,26,51706,22452,29231,23,0,0,7709,3132,4571,6,0,0,3,10.000000,2
2,ExtensibleLStar,monitor,none,17,26,51714,22452,29231,31,0,0,7710,3132,4571,7,0,0,8,10.000000,2
2,ExtensibleLStar,monitor,none,20,26,51724,22452,29231,41,0,0,7711,3132,4571,8,0,0,10,10.000000,2
2,ExtensibleLStar,monitor,none,21,26,51728,22452,29231,45,0,0,7712,3132,4571,9,0,0,4,10.000000,2
2,ExtensibleLStar,monitor,none,23,26,51730,22452,29231,47,0,0,7713,3132,4571,10,0,0,2,10.000000,2
2,ExtensibleLStar,monitor,none,25,26,51732,22452,29231,49,0,0,7714,3132,4571,11,0,0,2,10.000000,2
2,ExtensibleLStar,monitor,none,26,26,51735,22452,29231,52,0,0,7715,3132,4571,12,0,0,3,10.000000,2
2,ExtensibleLStar,monitor,none,29,26,51740,22452,29231,57,0,0,7716,3132,4571,13,0,0,5,10.000000,2
2,ExtensibleLStar,monitor,none,31,26,51748,22452,29231,65,0,0,7717,3132,4571,14,0,0,8,10.000000,2
2,ExtensibleLStar,monitor,none,34,26,51754,22452,29231,71,0,0,7718,3132,4571,15,0,0,6,10.000000,2
2,ExtensibleLStar,monitor,none,37,26,51758,22452,29231,75,0,0,7719,3132,4571,16,0,0,4,10.000000,2
2,ExtensibleLStar,monitor,none,40,26,51763,22452,29231,80,0,0,7720,3132,4571,17,0,0,5,10.000000,2
2,ExtensibleLStar,monitor,none,44,26,51764,22452,29231,81,0,0,7721,3132,4571,18,0,0,1,10.000000,2
2,ExtensibleLStar,monitor,none,47,26,51767,22452,29231,84,0,0,7722,3132,4571,19,0,0,3,10.000000,2
2,ExtensibleLStar,monitor,none,49,26,51777,22452,29231,94,0,0,7723,3132,4571,20,0,0,10,10.000000,2
2,ExtensibleLStar,monitor,none,55,26,51778,22452,29231,95,0,0,7724,3132,4571,21,0,0,1,10.000000,2
2,ExtensibleLStar,monitor,none,59,26,51780,22452,29231,97,0,0,7725,3132,4571,22,0,0,2,10.000000,2
2,ExtensibleLStar,monitor,none,68,26,51781,22452,29231,98,0,0,7726,3132,4571,23,0,0,1,10.000000,2
2,ExtensibleLStar,monitor,none,69,26,51785,22452,29231,102,0,0,7727,3132,4571,24,0,0,4,10.000000,2
2,ExtensibleLStar,monitor,none,70,26,51794,22452,29231,111,0,0,7728,3132,4571,25,0,0,9,10.000000,2
2,ExtensibleLStar,monitor,none,74,26,51797,22452,29231,114,0,0,7729,3132,4571,26,0,0,3,10.000000,2
2,ExtensibleLStar,monitor,none,84,26,51800,22452,29231,117,0,0,7730,3132,4571,27,0,0,3,10.000000,2
2,ExtensibleLStar,monitor,none,87,26,51801,22452,29231,118,0,0,7731,3132,4571,28,0,0,1,10.000000,2
2,ExtensibleLStar,monitor,none,88,26,51803,22452,29231,120,0,0,7732,3132,4571,29,0,0,2,10.000000,2
2,ExtensibleLStar,monitor,none,90,26,51806,22452,29231,123,0,0,7733,3132,4571,30,0,0,3,10.000000,2
2,ExtensibleLStar,monitor,none,94,26,51827,22452,29231,144,0,0,7734,3132,4571,31,0,0,21,10.000000,2
2,ExtensibleLStar,monitor,none,95,26,51828,22452,29231,145,0,0,7735,3132,4571,32,0,0,1,10.000000,2
2,ExtensibleLStar,monitor,none,97,26,51839,22452,29231,156,0,0,7736,3132,4571,33,0,0,11,10.000000,2
