problem,learner,aut,bbo,property,size,realsymbols,learnsymbols,eqsymbols,emsymbols,emosymbols,insymbols,realqueries,learnqueries,eqqueries,emqueries,emoqueries,inqueries,length,multiplier,refinements
2,MalerPnueli,buchi,cex-first,1,26,89565984,89564356,0,0,36150,1628,424916,424908,0,0,4785,8,27,10.000000,9
2,MalerPnueli,buchi,cex-first,2,26,89565984,89564356,0,0,36207,1628,424916,424908,0,0,4788,8,27,10.000000,9
2,MalerPnueli,buchi,cex-first,4,26,89565984,89564356,0,0,36513,1628,424916,424908,0,0,4800,8,42,10.000000,9
2,MalerPnueli,buchi,cex-first,6,26,89565984,89564356,0,0,36524,1628,424916,424908,0,0,4802,8,6,10.000000,9
2,MalerPnueli,buchi,cex-first,8,26,89565984,89564356,0,0,36581,1628,424916,424908,0,0,4805,8,27,10.000000,9
2,MalerPnueli,buchi,cex-first,9,26,89565984,89564356,0,0,36610,1628,424916,424908,0,0,4808,8,13,10.000000,9
2,MalerPnueli,buchi,cex-first,11,26,89565984,89564356,0,0,36688,1628,424916,424908,0,0,4811,8,34,10.000000,9
2,MalerPnueli,buchi,cex-first,12,26,89565984,89564356,0,0,36714,1628,424916,424908,0,0,4814,8,10,10.000000,9
2,MalerPnueli,buchi,cex-first,13,26,89565984,89564356,0,0,36771,1628,424916,424908,0,0,4817,8,27,10.000000,9
2,MalerPnueli,buchi,cex-first,15,26,89565984,89564356,0,0,37071,1628,424916,424908,0,0,4829,8,47,10.000000,9
2,MalerPnueli,buchi,cex-first,17,26,89565984,89564356,0,0,37143,1628,424916,424908,0,0,4832,8,32,10.000000,9
2,MalerPnueli,buchi,cex-first,20,26,89565984,89564356,0,0,37200,1628,424916,424908,0,0,4835,8,27,10.000000,9
2,MalerPnueli,buchi,cex-first,21,26,89565984,89564356,0,0,37220,1628,424916,424908,0,0,4837,8,11,10.000000,9
2,MalerPnueli,buchi,cex-first,22,26,89565984,89564356,0,0,37258,1628,424916,424908,0,0,4840,8,14,10.000000,9
2,MalerPnueli,buchi,cex-first,23,26,89565984,89564356,0,0,37315,1628,424916,424908,0,0,4843,8,27,10.000000,9
2,MalerPnueli,buchi,cex-first,25,26,89565984,89564356,0,0,37378,1628,424916,424908,0,0,4846,8,29,10.000000,9
2,MalerPnueli,buchi,cex-first,26,26,89565984,89564356,0,0,37447,1628,424916,424908,0,0,4849,8,31,10.000000,9
2,MalerPnueli,buchi,cex-first,29,26,89565984,89564356,0,0,37473,1628,424916,424908,0,0,4852,8,10,10.000000,9
2,MalerPnueli,buchi,cex-first,31,26,89565984,89564356,0,0,37526,1628,424916,424908,0,0,4855,8,19,10.000000,9
2,MalerPnueli,buchi,cex-first,32,26,89565984,89564356,0,0,37583,1628,424916,424908,0,0,4858,8,27,10.000000,9
2,MalerPnueli,buchi,cex-first,34,26,89565984,89564356,0,0,37612,1628,424916,424908,0,0,4861,8,11,10.000000,9
2,MalerPnueli,buchi,cex-first,35,26,89565984,89564356,0,0,37623,1628,424916,424908,0,0,4863,8,6,10.000000,9
2,MalerPnueli,buchi,cex-first,37,26,89565984,89564356,0,0,37646,1628,424916,424908,0,0,4866,8,9,10.000000,9
2,MalerPnueli,buchi,cex-first,38,26,89565984,89564356,0,0,37657,1628,424916,424908,0,0,4868,8,6,10.000000,9
2,MalerPnueli,buchi,cex-first,40,26,89565984,89564356,0,0,37723,1628,424916,424908,0,0,4871,8,30,10.000000,9
2,MalerPnueli,buchi,cex-first,43,26,89565984,89564356,0,0,37742,1628,424916,424908,0,0,4873,8,10,10.000000,9
2,MalerPnueli,buchi,cex-first,44,26,89565984,89564356,0,0,37799,1628,424916,424908,0,0,4876,8,27,10.000000,9
2,MalerPnueli,buchi,cex-first,47,26,89565984,89564356,0,0,37868,1628,424916,424908,0,0,4879,8,31,10.000000,9
2,MalerPnueli,buchi,cex-first,49,26,89565984,89564356,0,0,38249,1628,424916,424908,0,0,4892,8,53,10.000000,9
2,MalerPnueli,buchi,cex-first,55,26,89565984,89564356,0,0,38306,1628,424916,424908,0,0,4895,8,27,10.000000,9
2,MalerPnueli,buchi,cex-first,58,26,89565984,89564356,0,0,38322,1628,424916,424908,0,0,4897,8,9,10.000000,9
2,MalerPnueli,buchi,cex-first,59,26,89565984,89564356,0,0,38379,1628,424916,424908,0,0,4900,8,27,10.000000,9
2,MalerPnueli,buchi,cex-first,60,26,89565984,89564356,0,0,38417,1628,424916,424908,0,0,4902,8,25,10.000000,9
2,MalerPnueli,buchi,cex-first,68,26,89565984,89564356,0,0,38474,1628,424916,424908,0,0,4905,8,27,10.000000,9
2,MalerPnueli,buchi,cex-first,69,26,89565984,89564356,0,0,38720,1628,424916,424908,0,0,4917,8,37,10.000000,9
2,MalerPnueli,buchi,cex-first,70,26,89565984,89564356,0,0,38795,1628,424916,424908,0,0,4920,8,33,10.000000,9
2,MalerPnueli,buchi,cex-first,74,26,89565984,89564356,0,0,38804,1628,424916,424908,0,0,4922,8,5,10.000000,9
2,MalerPnueli,buchi,cex-first,84,26,89565984,89564356,0,0,38861,1628,424916,424908,0,0,4925,8,27,10.000000,9
2,MalerPnueli,buchi,cex-first,87,26,89565984,89564356,0,0,38918,1628,424916,424908,0,0,4928,8,27,10.000000,9
2,MalerPnueli,buchi,cex-first,88,26,89565984,89564356,0,0,38975,1628,424916,424908,0,0,4931,8,27,10.000000,9
2,MalerPnueli,buchi,cex-first,90,26,89565984,89564356,0,0,39032,1628,424916,424908,0,0,4934,8,27,10.000000,9
2,MalerPnueli,buchi,cex-first,93,26,89565984,89564356,0,0,39043,1628,424916,424908,0,0,4936,8,6,10.000000,9
2,MalerPnueli,buchi,cex-first,94,26,89565984,89564356,0,0,39097,1628,424916,424908,0,0,4938,8,33,10.000000,9
2,MalerPnueli,buchi,cex-first,95,26,89565984,89564356,0,0,39163,1628,424916,424908,0,0,4941,8,30,10.000000,9
2,MalerPnueli,buchi,cex-first,96,26,89565984,89564356,0,0,39220,1628,424916,424908,0,0,4944,8,27,10.000000,9
2,MalerPnueli,buchi,cex-first,97,26,89565984,89564356,0,0,39267,1628,424916,424908,0,0,4947,8,17,10.000000,9
