problem,learner,aut,bbo,property,size,realsymbols,learnsymbols,eqsymbols,emsymbols,emosymbols,insymbols,realqueries,learnqueries,eqqueries,emqueries,emoqueries,inqueries,length,multiplier,refinements
2,MalerPnueli,monitor,cex-first,1,1,11,10,0,1,0,0,12,11,0,1,0,0,1,10.000000,1
2,MalerPnueli,monitor,cex-first,2,7,1493,1476,0,14,0,3,361,355,0,5,0,1,4,10.000000,2
2,MalerPnueli,monitor,cex-first,4,13,7195,7151,0,36,0,8,1321,1310,0,9,0,2,7,10.000000,3
2,MalerPnueli,monitor,cex-first,11,13,7200,7151,0,41,0,8,1322,1310,0,10,0,2,5,10.000000,3
2,MalerPnueli,monitor,cex-first,12,13,7204,7151,0,45,0,8,1323,1310,0,11,0,2,4,10.000000,3
2,MalerPnueli,monitor,cex-first,15,13,7207,7151,0,48,0,8,1324,1310,0,12,0,2,3,10.000000,3
2,MalerPnueli,monitor,cex-first,17,14,12210,12126,0,71,0,13,2134,2115,0,16,0,3,8,10.000000,4
2,MalerPnueli,monitor,cex-first,20,14,12220,12126,0,81,0,13,2135,2115,0,17,0,3,10,10.000000,4
2,MalerPnueli,monitor,cex-first,21,14,12224,12126,0,85,0,13,2136,2115,0,18,0,3,4,10.000000,4
2,MalerPnueli,monitor,cex-first,23,14,12226,12126,0,87,0,13,2137,2115,0,19,0,3,2,10.000000,4
2,MalerPnueli,monitor,cex-first,25,14,12228,12126,0,89,0,13,2138,2115,0,20,0,3,2,10.000000,4
2,MalerPnueli,monitor,cex-first,26,14,12231,12126,0,92,0,13,2139,2115,0,21,0,3,3,10.000000,4
2,MalerPnueli,monitor,cex-first,29,14,12236,12126,0,97,0,13,2140,2115,0,22,0,3,5,10.000000,4
2,MalerPnueli,monitor,cex-first,31,14,12244,12126,0,105,0,13,2141,2115,0,23,0,3,8,10.000000,4
2,MalerPnueli,monitor,cex-first,34,14,12250,12126,0,111,0,13,2142,2115,0,24,0,3,6,10.000000,4
2,MalerPnueli,monitor,cex-first,37,14,12254,12126,0,115,0,13,2143,2115,0,25,0,3,4,10.000000,4
2,MalerPnueli,monitor,cex-first,40,14,12259,12126,0,120,0,13,2144,2115,0,26,0,3,5,10.000000,4
2,MalerPnueli,monitor,cex-first,44,14,12260,12126,0,121,0,13,2145,2115,0,27,0,3,1,10.000000,4
2,MalerPnueli,monitor,cex-first,47,14,12263,12126,0,124,0,13,2146,2115,0,28,0,3,3,10.000000,4
2,MalerPnueli,monitor,cex-first,49,14,12273,12126,0,134,0,13,2147,2115,0,29,0,3,10,10.000000,4
2,MalerPnueli,monitor,cex-first,55,14,12274,12126,0,135,0,13,2148,2115,0,30,0,3,1,10.000000,4
2,MalerPnueli,monitor,cex-first,59,14,12276,12126,0,137,0,13,2149,2115,0,31,0,3,2,10.000000,4
2,MalerPnueli,monitor,cex-first,68,14,12277,12126,0,138,0,13,2150,2115,0,32,0,3,1,10.000000,4
2,MalerPnueli,monitor,cex-first,69,14,12281,12126,0,142,0,13,2151,2115,0,33,0,3,4,10.000000,4
2,MalerPnueli,monitor,cex-first,74,14,12284,12126,0,145,0,13,2152,2115,0,34,0,3,3,10.000000,4
2,MalerPnueli,monitor,cex-first,84,14,12287,12126,0,148,0,13,2153,2115,0,35,0,3,3,10.000000,4
2,MalerPnueli,monitor,cex-first,87,14,12288,12126,0,149,0,13,2154,2115,0,36,0,3,1,10.000000,4
2,MalerPnueli,monitor,cex-first,88,14,12290,12126,0,151,0,13,2155,2115,0,37,0,3,2,10.000000,4
2,MalerPnueli,monitor,cex-first,90,14,12293,12126,0,154,0,13,2156,2115,0,38,0,3,3,10.000000,4
2,MalerPnueli,monitor,cex-first,95,14,12294,12126,0,155,0,13,2157,2115,0,39,0,3,1,10.000000,4
2,MalerPnueli,monitor,cex-first,97,14,12305,12126,0,166,0,13,2158,2115,0,40,0,3,11,10.000000,4
2,MalerPnueli,monitor,cex-first,70,26,200637,74095,126354,175,0,13,30240,7569,22627,41,0,3,9,10.000000,6
2,MalerPnueli,monitor,cex-first,94,26,200658,74095,126354,196,0,13,30241,7569,22627,42,0,3,21,10.000000,6
