problem,learner,aut,bbo,property,size,realsymbols,learnsymbols,eqsymbols,emsymbols,emosymbols,insymbols,realqueries,learnqueries,eqqueries,emqueries,emoqueries,inqueries,length,multiplier,refinements
2,MalerPnueli,monitor-buchi,disprove-first,1,1,11,10,0,1,0,0,12,11,0,1,0,0,1,10.000000,1
2,MalerPnueli,monitor-buchi,disprove-first,44,1,15,10,0,5,380,0,14,11,0,3,200,0,1,10.000000,1
2,MalerPnueli,monitor-buchi,disprove-first,55,1,16,10,0,6,380,0,15,11,0,4,200,0,1,10.000000,1
2,MalerPnueli,monitor-buchi,disprove-first,68,1,17,10,0,7,380,0,16,11,0,5,200,0,1,10.000000,1
2,MalerPnueli,monitor-buchi,disprove-first,87,1,20,10,0,10,480,0,18,11,0,7,240,0,1,10.000000,1
2,MalerPnueli,monitor-buchi,disprove-first,95,1,21,10,0,11,540,0,19,11,0,8,280,0,1,10.000000,1
2,MalerPnueli,monitor-buchi,disprove-first,23,3,8348,8311,0,16,1380,21,724,713,0,10,640,1,2,10.000000,2
2,MalerPnueli,monitor-buchi,disprove-first,59,3,8350,8311,0,18,1830,21,725,713,0,11,820,1,2,10.000000,2
2,MalerPnueli,monitor-buchi,disprove-first,88,3,8352,8311,0,20,1830,21,726,713,0,12,820,1,2,10.000000,2
2,MalerPnueli,monitor-buchi,disprove-first,25,4,11592,11537,0,31,2380,24,1084,1066,0,16,1040,2,2,10.000000,3
2,MalerPnueli,monitor-buchi,disprove-first,84,5,65049,64940,0,43,7983,66,3491,3468,0,20,2753,3,3,10.000000,4
2,MalerPnueli,monitor-buchi,disprove-first,90,5,65052,64940,0,46,7983,66,3492,3468,0,21,2753,3,3,10.000000,4
2,MalerPnueli,monitor-buchi,disprove-first,2,13,184333,184206,0,58,8422,69,9330,9301,0,25,2851,4,3,10.000000,5
2,MalerPnueli,monitor-buchi,disprove-first,12,13,184345,184206,0,70,18432,69,9332,9301,0,27,3891,4,4,10.000000,5
2,MalerPnueli,monitor-buchi,disprove-first,15,13,184348,184206,0,73,20512,69,9333,9301,0,28,4151,4,3,10.000000,5
2,MalerPnueli,monitor-buchi,disprove-first,26,13,184367,184206,0,92,30392,69,9336,9301,0,31,5191,4,7,10.000000,5
2,MalerPnueli,monitor-buchi,disprove-first,29,13,184381,184206,0,106,32992,69,9338,9301,0,33,5451,4,5,10.000000,5
2,MalerPnueli,monitor-buchi,disprove-first,37,13,184395,184206,0,120,44140,69,9341,9301,0,36,6489,4,4,10.000000,5
2,MalerPnueli,monitor-buchi,disprove-first,40,13,184400,184206,0,125,47260,69,9342,9301,0,37,6749,4,5,10.000000,5
2,MalerPnueli,monitor-buchi,disprove-first,47,13,184407,184206,0,132,52460,69,9343,9301,0,38,7269,4,7,10.000000,5
2,MalerPnueli,monitor-buchi,disprove-first,74,13,184438,184206,0,163,66760,69,9347,9301,0,42,8569,4,3,10.000000,5
2,MalerPnueli,monitor-buchi,disprove-first,4,17,6721169,6720642,0,187,85870,340,58532,58482,0,45,10389,5,7,10.000000,6
2,MalerPnueli,monitor-buchi,disprove-first,11,17,6721174,6720642,0,192,96920,340,58533,58482,0,46,11409,5,5,10.000000,6
2,MalerPnueli,monitor-buchi,disprove-first,17,17,6721190,6720642,0,208,103720,340,58535,58482,0,48,12089,5,8,10.000000,6
