problem,learner,aut,bbo,property,size,realsymbols,learnsymbols,eqsymbols,emsymbols,emosymbols,insymbols,realqueries,learnqueries,eqqueries,emqueries,emoqueries,inqueries,length,multiplier,refinements
2,RivestSchapire,monitor,cex-first,1,1,11,10,0,1,0,0,12,11,0,1,0,0,1,10.000000,1
2,RivestSchapire,monitor,cex-first,23,3,246,223,0,18,0,5,110,100,0,8,0,2,2,10.000000,3
2,RivestSchapire,monitor,cex-first,44,3,247,223,0,19,0,5,111,100,0,9,0,2,1,10.000000,3
2,RivestSchapire,monitor,cex-first,55,3,248,223,0,20,0,5,112,100,0,10,0,2,1,10.000000,3
2,RivestSchapire,monitor,cex-first,59,3,250,223,0,22,0,5,113,100,0,11,0,2,2,10.000000,3
2,RivestSchapire,monitor,cex-first,68,3,251,223,0,23,0,5,114,100,0,12,0,2,1,10.000000,3
2,RivestSchapire,monitor,cex-first,87,3,252,223,0,24,0,5,115,100,0,13,0,2,1,10.000000,3
2,RivestSchapire,monitor,cex-first,88,3,254,223,0,26,0,5,116,100,0,14,0,2,2,10.000000,3
2,RivestSchapire,monitor,cex-first,95,3,255,223,0,27,0,5,117,100,0,15,0,2,1,10.000000,3
2,RivestSchapire,monitor,cex-first,2,8,1682,1499,131,43,0,9,491,418,51,19,0,3,4,10.000000,5
2,RivestSchapire,monitor,cex-first,12,8,1686,1499,131,47,0,9,492,418,51,20,0,3,4,10.000000,5
2,RivestSchapire,monitor,cex-first,15,8,1689,1499,131,50,0,9,493,418,51,21,0,3,3,10.000000,5
2,RivestSchapire,monitor,cex-first,4,13,3682,3465,131,72,0,14,883,803,51,25,0,4,7,10.000000,6
2,RivestSchapire,monitor,cex-first,11,13,3687,3465,131,77,0,14,884,803,51,26,0,4,5,10.000000,6
2,RivestSchapire,monitor,cex-first,17,14,4864,4614,131,100,0,19,1094,1008,51,30,0,5,8,10.000000,7
2,RivestSchapire,monitor,cex-first,20,14,4874,4614,131,110,0,19,1095,1008,51,31,0,5,10,10.000000,7
2,RivestSchapire,monitor,cex-first,21,14,4878,4614,131,114,0,19,1096,1008,51,32,0,5,4,10.000000,7
2,RivestSchapire,monitor,cex-first,25,14,4880,4614,131,116,0,19,1097,1008,51,33,0,5,2,10.000000,7
2,RivestSchapire,monitor,cex-first,26,14,4883,4614,131,119,0,19,1098,1008,51,34,0,5,3,10.000000,7
2,RivestSchapire,monitor,cex-first,29,14,4888,4614,131,124,0,19,1099,1008,51,35,0,5,5,10.000000,7
2,RivestSchapire,monitor,cex-first,31,14,4896,4614,131,132,0,19,1100,1008,51,36,0,5,8,10.000000,7
2,RivestSchapire,monitor,cex-first,34,14,4902,4614,131,138,0,19,1101,1008,51,37,0,5,6,10.000000,7
2,RivestSchapire,monitor,cex-first,37,14,4906,4614,131,142,0,19,1102,1008,51,38,0,5,4,10.000000,7
2,RivestSchapire,monitor,cex-first,40,14,4911,4614,131,147,0,19,1103,1008,51,39,0,5,5,10.000000,7
2,RivestSchapire,monitor,cex-first,47,14,4914,4614,131,150,0,19,1104,1008,51,40,0,5,3,10.000000,7
2,RivestSchapire,monitor,cex-first,49,14,4924,4614,131,160,0,19,1105,1008,51,41,0,5,10,10.000000,7
2,RivestSchapire,monitor,cex-first,69,14,4928,4614,131,164,0,19,1106,1008,51,42,0,5,4,10.000000,7
2,RivestSchapire,monitor,cex-first,74,14,4931,4614,131,167,0,19,1107,1008,51,43,0,5,3,10.000000,7
2,RivestSchapire,monitor,cex-first,84,14,4934,4614,131,170,0,19,1108,1008,51,44,0,5,3,10.000000,7
2,RivestSchapire,monitor,cex-first,90,14,4937,4614,131,173,0,19,1109,1008,51,45,0,5,3,10.000000,7
2,RivestSchapire,monitor,cex-first,97,14,4948,4614,131,184,0,19,1110,1008,51,46,0,5,11,10.000000,7
2,RivestSchapire,monitor,cex-first,70,22,139292,12595,126485,193,0,19,24746,2016,22678,47,0,5,9,10.000000,9
2,RivestSchapire,monitor,cex-first,94,26,179729,20131,159365,214,0,19,30513,2640,27820,48,0,5,21,10.000000,10
