problem,learner,aut,bbo,property,size,realsymbols,learnsymbols,eqsymbols,emsymbols,emosymbols,insymbols,realqueries,learnqueries,eqqueries,emqueries,emoqueries,inqueries,length,multiplier,refinements
2,RivestSchapire,monitor-buchi,cex-first,1,1,11,10,0,1,0,0,12,11,0,1,0,0,1,10.000000,1
2,RivestSchapire,monitor-buchi,cex-first,2,12,2782,2685,0,28,1695,69,640,626,0,10,639,4,3,10.000000,5
2,RivestSchapire,monitor-buchi,cex-first,6,17,104080,103422,0,28,26666,630,1253,1237,0,10,2801,6,6,10.000000,7
2,RivestSchapire,monitor-buchi,cex-first,4,19,117597,116756,0,35,36834,806,1596,1578,0,11,4157,7,7,10.000000,8
2,RivestSchapire,monitor-buchi,cex-first,8,26,173771,171189,0,35,94791,2547,2703,2683,0,11,7416,9,27,10.000000,10
2,RivestSchapire,monitor-buchi,cex-first,9,26,173771,171189,0,35,94820,2547,2703,2683,0,11,7419,9,13,10.000000,10
2,RivestSchapire,monitor-buchi,cex-first,11,26,173776,171189,0,40,94820,2547,2704,2683,0,12,7419,9,5,10.000000,10
2,RivestSchapire,monitor-buchi,cex-first,12,26,173780,171189,0,44,94820,2547,2705,2683,0,13,7419,9,4,10.000000,10
2,RivestSchapire,monitor-buchi,cex-first,13,26,173780,171189,0,44,94877,2547,2705,2683,0,13,7422,9,27,10.000000,10
2,RivestSchapire,monitor-buchi,cex-first,15,26,173783,171189,0,47,94877,2547,2706,2683,0,14,7422,9,3,10.000000,10
2,RivestSchapire,monitor-buchi,cex-first,17,26,173791,171189,0,55,94877,2547,2707,2683,0,15,7422,9,8,10.000000,10
2,RivestSchapire,monitor-buchi,cex-first,20,26,173801,171189,0,65,94877,2547,2708,2683,0,16,7422,9,10,10.000000,10
2,RivestSchapire,monitor-buchi,cex-first,21,26,173805,171189,0,69,94877,2547,2709,2683,0,17,7422,9,4,10.000000,10
2,RivestSchapire,monitor-buchi,cex-first,22,26,173805,171189,0,69,94915,2547,2709,2683,0,17,7425,9,14,10.000000,10
2,RivestSchapire,monitor-buchi,cex-first,23,26,173807,171189,0,71,94915,2547,2710,2683,0,18,7425,9,2,10.000000,10
2,RivestSchapire,monitor-buchi,cex-first,25,26,173809,171189,0,73,94915,2547,2711,2683,0,19,7425,9,2,10.000000,10
2,RivestSchapire,monitor-buchi,cex-first,26,26,173812,171189,0,76,94915,2547,2712,2683,0,20,7425,9,3,10.000000,10
2,RivestSchapire,monitor-buchi,cex-first,29,26,173817,171189,0,81,94915,2547,2713,2683,0,21,7425,9,5,10.000000,10
2,RivestSchapire,monitor-buchi,cex-first,31,26,173825,171189,0,89,94915,2547,2714,2683,0,22,7425,9,8,10.000000,10
2,RivestSchapire,monitor-buchi,cex-first,32,26,173825,171189,0,89,94972,2547,2714,2683,0,22,7428,9,27,10.000000,10
2,RivestSchapire,monitor-buchi,cex-first,34,26,173831,171189,0,95,94972,2547,2715,2683,0,23,7428,9,6,10.000000,10
2,RivestSchapire,monitor-buchi,cex-first,35,26,173831,171189,0,95,94983,2547,2715,2683,0,23,7430,9,6,10.000000,10
2,RivestSchapire,monitor-buchi,cex-first,37,26,173835,171189,0,99,94983,2547,2716,2683,0,24,7430,9,4,10.000000,10
2,RivestSchapire,monitor-buchi,cex-first,38,26,173835,171189,0,99,94994,2547,2716,2683,0,24,7432,9,6,10.000000,10
2,RivestSchapire,monitor-buchi,cex-first,40,26,173840,171189,0,104,94994,2547,2717,2683,0,25,7432,9,5,10.000000,10
2,RivestSchapire,monitor-buchi,cex-first,43,26,173840,171189,0,104,95013,2547,2717,2683,0,25,7434,9,10,10.000000,10
2,RivestSchapire,monitor-buchi,cex-first,44,26,173841,171189,0,105,95013,2547,2718,2683,0,26,7434,9,1,10.000000,10
2,RivestSchapire,monitor-buchi,cex-first,47,26,173844,171189,0,108,95013,2547,2719,2683,0,27,7434,9,3,10.000000,10
2,RivestSchapire,monitor-buchi,cex-first,49,26,173854,171189,0,118,95013,2547,2720,2683,0,28,7434,9,10,10.000000,10
2,RivestSchapire,monitor-buchi,cex-first,55,26,173855,171189,0,119,95013,2547,2721,2683,0,29,7434,9,1,10.000000,10
2,RivestSchapire,monitor-buchi,cex-first,58,26,173855,171189,0,119,95029,2547,2721,2683,0,29,7436,9,9,10.000000,10
2,RivestSchapire,monitor-buchi,cex-first,59,26,173857,171189,0,121,95029,2547,2722,2683,0,30,7436,9,2,10.000000,10
2,RivestSchapire,monitor-buchi,cex-first,60,26,173857,171189,0,121,95067,2547,2722,2683,0,30,7438,9,25,10.000000,10
2,RivestSchapire,monitor-buchi,cex-first,68,26,173858,171189,0,122,95067,2547,2723,2683,0,31,7438,9,1,10.000000,10
2,RivestSchapire,monitor-buchi,cex-first,69,26,173862,171189,0,126,95067,2547,2724,2683,0,32,7438,9,4,10.000000,10
2,RivestSchapire,monitor-buchi,cex-first,70,26,173871,171189,0,135,95067,2547,2725,2683,0,33,7438,9,9,10.000000,10
2,RivestSchapire,monitor-buchi,cex-first,74,26,173874,171189,0,138,95067,2547,2726,2683,0,34,7438,9,3,10.000000,10
2,RivestSchapire,monitor-buchi,cex-first,84,26,173877,171189,0,141,95067,2547,2727,2683,0,35,7438,9,3,10.000000,10
2,RivestSchapire,monitor-buchi,cex-first,87,26,173878,171189,0,142,95067,2547,2728,2683,0,36,7438,9,1,10.000000,10
2,RivestSchapire,monitor-buchi,cex-first,88,26,173880,171189,0,144,95067,2547,2729,2683,0,37,7438,9,2,10.000000,10
2,RivestSchapire,monitor-buchi,cex-first,90,26,173883,171189,0,147,95067,2547,2730,2683,0,38,7438,9,3,10.000000,10
2,RivestSchapire,monitor-buchi,cex-first,93,26,173883,171189,0,147,95078,2547,2730,2683,0,38,7440,9,6,10.000000,10
2,RivestSchapire,monitor-buchi,cex-first,94,26,173904,171189,0,168,95078,2547,2731,2683,0,39,7440,9,21,10.000000,10
2,RivestSchapire,monitor-buchi,cex-first,95,26,173905,171189,0,169,95078,2547,2732,2683,0,40,7440,9,1,10.000000,10
2,RivestSchapire,monitor-buchi,cex-first,96,26,173905,171189,0,169,95135,2547,2732,2683,0,40,7443,9,27,10.000000,10
2,RivestSchapire,monitor-buchi,cex-first,97,26,173916,171189,0,180,95135,2547,2733,2683,0,41,7443,9,11,10.000000,10
