problem,learner,aut,bbo,property,size,realsymbols,learnsymbols,eqsymbols,emsymbols,emosymbols,insymbols,realqueries,learnqueries,eqqueries,emqueries,emoqueries,inqueries,length,multiplier,refinements
3,ADT,buchi,cex-first,7,32,24874,20572,0,0,1363812,4302,845,836,0,0,11367,9,854,15.000000,9
3,ADT,buchi,cex-first,11,32,26332,20572,0,0,2428725,5760,846,836,0,0,12809,10,17,15.000000,9
3,ADT,buchi,cex-first,13,32,26332,20572,0,0,2428748,5760,846,836,0,0,12811,10,12,15.000000,9
3,ADT,buchi,cex-first,16,32,26332,20572,0,0,2428769,5760,846,836,0,0,12813,10,11,15.000000,9
3,ADT,buchi,cex-first,17,32,26332,20572,0,0,2428790,5760,846,836,0,0,12815,10,11,15.000000,9
3,ADT,buchi,cex-first,18,32,26332,20572,0,0,2428821,5760,846,836,0,0,12817,10,16,15.000000,9
3,ADT,buchi,cex-first,21,32,26332,20572,0,0,2428834,5760,846,836,0,0,12819,10,7,15.000000,9
3,ADT,buchi,cex-first,22,32,26332,20572,0,0,2428853,5760,846,836,0,0,12822,10,7,15.000000,9
3,ADT,buchi,cex-first,23,32,26332,20572,0,0,2551033,5760,846,836,0,0,13105,10,854,15.000000,9
3,ADT,buchi,cex-first,26,32,26332,20572,0,0,2551052,5760,846,836,0,0,13108,10,7,15.000000,9
3,ADT,buchi,cex-first,27,32,26332,20572,0,0,2551083,5760,846,836,0,0,13110,10,16,15.000000,9
3,ADT,buchi,cex-first,28,32,26332,20572,0,0,2551144,5760,846,836,0,0,13113,10,21,15.000000,9
3,ADT,buchi,cex-first,29,35,67907,49337,0,0,10098466,18570,1003,984,0,0,31561,19,1083,15.000000,12
3,ADT,buchi,cex-first,30,35,67907,49337,0,0,10098481,18570,1003,984,0,0,31563,19,8,15.000000,12
3,ADT,buchi,cex-first,33,35,67907,49337,0,0,10098500,18570,1003,984,0,0,31566,19,7,15.000000,12
3,ADT,buchi,cex-first,34,35,67907,49337,0,0,10098515,18570,1003,984,0,0,31568,19,8,15.000000,12
3,ADT,buchi,cex-first,35,35,67907,49337,0,0,10098540,18570,1003,984,0,0,31570,19,13,15.000000,12
3,ADT,buchi,cex-first,40,35,67907,49337,0,0,10098559,18570,1003,984,0,0,31573,19,7,15.000000,12
3,ADT,buchi,cex-first,43,35,67907,49337,0,0,10098578,18570,1003,984,0,0,31576,19,7,15.000000,12
3,ADT,buchi,cex-first,47,35,71075,49337,0,0,12612297,21738,1005,984,0,0,34729,21,7,15.000000,12
3,ADT,buchi,cex-first,49,35,71075,49337,0,0,12612316,21738,1005,984,0,0,34732,21,7,15.000000,12
3,ADT,buchi,cex-first,51,35,71075,49337,0,0,12612333,21738,1005,984,0,0,34734,21,9,15.000000,12
3,ADT,buchi,cex-first,52,39,84085,54720,0,0,18943774,29365,1120,1094,0,0,44907,26,11,15.000000,13
3,ADT,buchi,cex-first,53,39,84085,54720,0,0,18943823,29365,1120,1094,0,0,44909,26,25,15.000000,13
3,ADT,buchi,cex-first,57,39,87619,54720,0,0,22071246,32899,1122,1094,0,0,48421,28,7,15.000000,13
3,ADT,buchi,cex-first,59,39,87619,54720,0,0,22309959,32899,1122,1094,0,0,48815,28,1194,15.000000,13
3,ADT,buchi,cex-first,60,39,87619,54720,0,0,22309990,32899,1122,1094,0,0,48817,28,16,15.000000,13
3,ADT,buchi,cex-first,61,39,87619,54720,0,0,22310009,32899,1122,1094,0,0,48820,28,7,15.000000,13
3,ADT,buchi,cex-first,63,39,87619,54720,0,0,22310034,32899,1122,1094,0,0,48822,28,13,15.000000,13
3,ADT,buchi,cex-first,64,39,87619,54720,0,0,22312114,32899,1122,1094,0,0,48850,28,127,15.000000,13
3,ADT,buchi,cex-first,66,39,87619,54720,0,0,22312510,32899,1122,1094,0,0,48860,28,48,15.000000,13
3,ADT,buchi,cex-first,68,39,87619,54720,0,0,22312539,32899,1122,1094,0,0,48862,28,15,15.000000,13
3,ADT,buchi,cex-first,69,39,87619,54720,0,0,22312558,32899,1122,1094,0,0,48865,28,7,15.000000,13
3,ADT,buchi,cex-first,71,39,87619,54720,0,0,22312577,32899,1122,1094,0,0,48868,28,7,15.000000,13
3,ADT,buchi,cex-first,75,39,87619,54720,0,0,22312883,32899,1122,1094,0,0,48876,28,44,15.000000,13
3,ADT,buchi,cex-first,76,39,87619,54720,0,0,22312902,32899,1122,1094,0,0,48879,28,7,15.000000,13
3,ADT,buchi,cex-first,77,39,87619,54720,0,0,22312921,32899,1122,1094,0,0,48881,28,10,15.000000,13
3,ADT,buchi,cex-first,78,39,87619,54720,0,0,22435101,32899,1122,1094,0,0,49164,28,854,15.000000,13
3,ADT,buchi,cex-first,79,39,87619,54720,0,0,22435141,32899,1122,1094,0,0,49167,28,14,15.000000,13
3,ADT,buchi,cex-first,84,39,87619,54720,0,0,22435154,32899,1122,1094,0,0,49169,28,7,15.000000,13
3,ADT,buchi,cex-first,87,39,89384,54720,0,0,24117529,34664,1123,1094,0,0,51207,29,854,15.000000,13
3,ADT,buchi,cex-first,90,39,91152,54720,0,0,25804876,36432,1124,1094,0,0,53244,30,853,15.000000,13
3,ADT,buchi,cex-first,91,39,91152,54720,0,0,25804889,36432,1124,1094,0,0,53246,30,7,15.000000,13
3,ADT,buchi,cex-first,93,39,91152,54720,0,0,25804908,36432,1124,1094,0,0,53249,30,7,15.000000,13
3,ADT,buchi,cex-first,96,39,92910,54720,0,0,27352857,38190,1125,1094,0,0,55006,31,20,15.000000,13
