problem,learner,aut,bbo,property,size,realsymbols,learnsymbols,eqsymbols,emsymbols,emosymbols,insymbols,realqueries,learnqueries,eqqueries,emqueries,emoqueries,inqueries,length,multiplier,refinements
3,ADT,monitor,none,5,39,425600,8541,417052,7,0,0,70528,1059,69468,1,0,0,7,15.000000,18
3,ADT,monitor,none,7,39,425605,8541,417052,12,0,0,70529,1059,69468,2,0,0,5,15.000000,18
3,ADT,monitor,none,9,39,425612,8541,417052,19,0,0,70530,1059,69468,3,0,0,7,15.000000,18
3,ADT,monitor,none,11,39,425617,8541,417052,24,0,0,70531,1059,69468,4,0,0,5,15.000000,18
3,ADT,monitor,none,16,39,425620,8541,417052,27,0,0,70532,1059,69468,5,0,0,3,15.000000,18
3,ADT,monitor,none,17,39,425626,8541,417052,33,0,0,70533,1059,69468,6,0,0,6,15.000000,18
3,ADT,monitor,none,18,39,425632,8541,417052,39,0,0,70534,1059,69468,7,0,0,6,15.000000,18
3,ADT,monitor,none,21,39,425638,8541,417052,45,0,0,70535,1059,69468,8,0,0,6,15.000000,18
3,ADT,monitor,none,22,39,425639,8541,417052,46,0,0,70536,1059,69468,9,0,0,1,15.000000,18
3,ADT,monitor,none,23,39,425641,8541,417052,48,0,0,70537,1059,69468,10,0,0,2,15.000000,18
3,ADT,monitor,none,26,39,425642,8541,417052,49,0,0,70538,1059,69468,11,0,0,1,15.000000,18
3,ADT,monitor,none,27,39,425648,8541,417052,55,0,0,70539,1059,69468,12,0,0,6,15.000000,18
3,ADT,monitor,none,28,39,425659,8541,417052,66,0,0,70540,1059,69468,13,0,0,11,15.000000,18
3,ADT,monitor,none,29,39,425671,8541,417052,78,0,0,70541,1059,69468,14,0,0,12,15.000000,18
3,ADT,monitor,none,30,39,425675,8541,417052,82,0,0,70542,1059,69468,15,0,0,4,15.000000,18
3,ADT,monitor,none,33,39,425676,8541,417052,83,0,0,70543,1059,69468,16,0,0,1,15.000000,18
3,ADT,monitor,none,40,39,425678,8541,417052,85,0,0,70544,1059,69468,17,0,0,2,15.000000,18
3,ADT,monitor,none,43,39,425681,8541,417052,88,0,0,70545,1059,69468,18,0,0,3,15.000000,18
3,ADT,monitor,none,45,39,425686,8541,417052,93,0,0,70546,1059,69468,19,0,0,5,15.000000,18
3,ADT,monitor,none,46,39,425692,8541,417052,99,0,0,70547,1059,69468,20,0,0,6,15.000000,18
3,ADT,monitor,none,47,39,425693,8541,417052,100,0,0,70548,1059,69468,21,0,0,1,15.000000,18
3,ADT,monitor,none,49,39,425694,8541,417052,101,0,0,70549,1059,69468,22,0,0,1,15.000000,18
3,ADT,monitor,none,51,39,425699,8541,417052,106,0,0,70550,1059,69468,23,0,0,5,15.000000,18
3,ADT,monitor,none,52,39,425704,8541,417052,111,0,0,70551,1059,69468,24,0,0,5,15.000000,18
3,ADT,monitor,none,53,39,425707,8541,417052,114,0,0,70552,1059,69468,25,0,0,3,15.000000,18
3,ADT,monitor,none,54,39,425714,8541,417052,121,0,0,70553,1059,69468,26,0,0,7,15.000000,18
3,ADT,monitor,none,59,39,425718,8541,417052,125,0,0,70554,1059,69468,27,0,0,4,15.000000,18
3,ADT,monitor,none,61,39,425719,8541,417052,126,0,0,70555,1059,69468,28,0,0,1,15.000000,18
3,ADT,monitor,none,63,39,425728,8541,417052,135,0,0,70556,1059,69468,29,0,0,9,15.000000,18
3,ADT,monitor,none,64,39,425732,8541,417052,139,0,0,70557,1059,69468,30,0,0,4,15.000000,18
3,ADT,monitor,none,66,39,425739,8541,417052,146,0,0,70558,1059,69468,31,0,0,7,15.000000,18
3,ADT,monitor,none,68,39,425746,8541,417052,153,0,0,70559,1059,69468,32,0,0,7,15.000000,18
3,ADT,monitor,none,69,39,425747,8541,417052,154,0,0,70560,1059,69468,33,0,0,1,15.000000,18
3,ADT,monitor,none,71,39,425748,8541,417052,155,0,0,70561,1059,69468,34,0,0,1,15.000000,18
3,ADT,monitor,none,75,39,425757,8541,417052,164,0,0,70562,1059,69468,35,0,0,9,15.000000,18
3,ADT,monitor,none,76,39,425758,8541,417052,165,0,0,70563,1059,69468,36,0,0,1,15.000000,18
3,ADT,monitor,none,78,39,425764,8541,417052,171,0,0,70564,1059,69468,37,0,0,6,15.000000,18
3,ADT,monitor,none,79,39,425769,8541,417052,176,0,0,70565,1059,69468,38,0,0,5,15.000000,18
3,ADT,monitor,none,85,39,425774,8541,417052,181,0,0,70566,1059,69468,39,0,0,5,15.000000,18
3,ADT,monitor,none,89,39,425781,8541,417052,188,0,0,70567,1059,69468,40,0,0,7,15.000000,18
3,ADT,monitor,none,90,39,425785,8541,417052,192,0,0,70568,1059,69468,41,0,0,4,15.000000,18
3,ADT,monitor,none,91,39,425790,8541,417052,197,0,0,70569,1059,69468,42,0,0,5,15.000000,18
3,ADT,monitor,none,93,39,425791,8541,417052,198,0,0,70570,1059,69468,43,0,0,1,15.000000,18
3,ADT,monitor,none,94,39,425794,8541,417052,201,0,0,70571,1059,69468,44,0,0,3,15.000000,18
3,ADT,monitor,none,96,39,425802,8541,417052,209,0,0,70572,1059,69468,45,0,0,8,15.000000,18
