problem,learner,aut,bbo,property,size,realsymbols,learnsymbols,eqsymbols,emsymbols,emosymbols,insymbols,realqueries,learnqueries,eqqueries,emqueries,emoqueries,inqueries,length,multiplier,refinements
3,DHC,monitor,disprove-first,5,39,48172,48165,0,7,0,0,8792,8791,0,1,0,0,7,15.000000,1
3,DHC,monitor,disprove-first,7,39,48177,48165,0,12,0,0,8793,8791,0,2,0,0,5,15.000000,1
3,DHC,monitor,disprove-first,9,39,48184,48165,0,19,0,0,8794,8791,0,3,0,0,7,15.000000,1
3,DHC,monitor,disprove-first,11,39,48189,48165,0,24,0,0,8795,8791,0,4,0,0,5,15.000000,1
3,DHC,monitor,disprove-first,16,39,48192,48165,0,27,0,0,8796,8791,0,5,0,0,3,15.000000,1
3,DHC,monitor,disprove-first,17,39,48198,48165,0,33,0,0,8797,8791,0,6,0,0,6,15.000000,1
3,DHC,monitor,disprove-first,18,39,48204,48165,0,39,0,0,8798,8791,0,7,0,0,6,15.000000,1
3,DHC,monitor,disprove-first,21,39,48210,48165,0,45,0,0,8799,8791,0,8,0,0,6,15.000000,1
3,DHC,monitor,disprove-first,22,39,48211,48165,0,46,0,0,8800,8791,0,9,0,0,1,15.000000,1
3,DHC,monitor,disprove-first,23,39,48213,48165,0,48,0,0,8801,8791,0,10,0,0,2,15.000000,1
3,DHC,monitor,disprove-first,26,39,48214,48165,0,49,0,0,8802,8791,0,11,0,0,1,15.000000,1
3,DHC,monitor,disprove-first,27,39,48220,48165,0,55,0,0,8803,8791,0,12,0,0,6,15.000000,1
3,DHC,monitor,disprove-first,28,39,48231,48165,0,66,0,0,8804,8791,0,13,0,0,11,15.000000,1
3,DHC,monitor,disprove-first,29,39,48243,48165,0,78,0,0,8805,8791,0,14,0,0,12,15.000000,1
3,DHC,monitor,disprove-first,30,39,48247,48165,0,82,0,0,8806,8791,0,15,0,0,4,15.000000,1
3,DHC,monitor,disprove-first,33,39,48248,48165,0,83,0,0,8807,8791,0,16,0,0,1,15.000000,1
3,DHC,monitor,disprove-first,40,39,48250,48165,0,85,0,0,8808,8791,0,17,0,0,2,15.000000,1
3,DHC,monitor,disprove-first,43,39,48253,48165,0,88,0,0,8809,8791,0,18,0,0,3,15.000000,1
3,DHC,monitor,disprove-first,45,39,48258,48165,0,93,0,0,8810,8791,0,19,0,0,5,15.000000,1
3,DHC,monitor,disprove-first,46,39,48264,48165,0,99,0,0,8811,8791,0,20,0,0,6,15.000000,1
3,DHC,monitor,disprove-first,47,39,48265,48165,0,100,0,0,8812,8791,0,21,0,0,1,15.000000,1
3,DHC,monitor,disprove-first,49,39,48266,48165,0,101,0,0,8813,8791,0,22,0,0,1,15.000000,1
3,DHC,monitor,disprove-first,51,39,48271,48165,0,106,0,0,8814,8791,0,23,0,0,5,15.000000,1
3,DHC,monitor,disprove-first,52,39,48276,48165,0,111,0,0,8815,8791,0,24,0,0,5,15.000000,1
3,DHC,monitor,disprove-first,53,39,48279,48165,0,114,0,0,8816,8791,0,25,0,0,3,15.000000,1
3,DHC,monitor,disprove-first,54,39,48286,48165,0,121,0,0,8817,8791,0,26,0,0,7,15.000000,1
3,DHC,monitor,disprove-first,59,39,48290,48165,0,125,0,0,8818,8791,0,27,0,0,4,15.000000,1
3,DHC,monitor,disprove-first,61,39,48291,48165,0,126,0,0,8819,8791,0,28,0,0,1,15.000000,1
3,DHC,monitor,disprove-first,63,39,48300,48165,0,135,0,0,8820,8791,0,29,0,0,9,15.000000,1
3,DHC,monitor,disprove-first,64,39,48304,48165,0,139,0,0,8821,8791,0,30,0,0,4,15.000000,1
3,DHC,monitor,disprove-first,66,39,48311,48165,0,146,0,0,8822,8791,0,31,0,0,7,15.000000,1
3,DHC,monitor,disprove-first,68,39,48318,48165,0,153,0,0,8823,8791,0,32,0,0,7,15.000000,1
3,DHC,monitor,disprove-first,69,39,48319,48165,0,154,0,0,8824,8791,0,33,0,0,1,15.000000,1
3,DHC,monitor,disprove-first,71,39,48320,48165,0,155,0,0,8825,8791,0,34,0,0,1,15.000000,1
3,DHC,monitor,disprove-first,75,39,48329,48165,0,164,0,0,8826,8791,0,35,0,0,9,15.000000,1
3,DHC,monitor,disprove-first,76,39,48330,48165,0,165,0,0,8827,8791,0,36,0,0,1,15.000000,1
3,DHC,monitor,disprove-first,78,39,48336,48165,0,171,0,0,8828,8791,0,37,0,0,6,15.000000,1
3,DHC,monitor,disprove-first,79,39,48341,48165,0,176,0,0,8829,8791,0,38,0,0,5,15.000000,1
3,DHC,monitor,disprove-first,85,39,48346,48165,0,181,0,0,8830,8791,0,39,0,0,5,15.000000,1
3,DHC,monitor,disprove-first,89,39,48353,48165,0,188,0,0,8831,8791,0,40,0,0,7,15.000000,1
3,DHC,monitor,disprove-first,90,39,48357,48165,0,192,0,0,8832,8791,0,41,0,0,4,15.000000,1
3,DHC,monitor,disprove-first,91,39,48362,48165,0,197,0,0,8833,8791,0,42,0,0,5,15.000000,1
3,DHC,monitor,disprove-first,93,39,48363,48165,0,198,0,0,8834,8791,0,43,0,0,1,15.000000,1
3,DHC,monitor,disprove-first,94,39,48366,48165,0,201,0,0,8835,8791,0,44,0,0,3,15.000000,1
3,DHC,monitor,disprove-first,96,39,48374,48165,0,209,0,0,8836,8791,0,45,0,0,8,15.000000,1
