problem,learner,aut,bbo,property,size,realsymbols,learnsymbols,eqsymbols,emsymbols,emosymbols,insymbols,realqueries,learnqueries,eqqueries,emqueries,emoqueries,inqueries,length,multiplier,refinements
3,DiscriminationTree,monitor-buchi,cex-first,22,1,16,15,0,1,0,0,17,16,0,1,0,0,1,15.000000,1
3,DiscriminationTree,monitor-buchi,cex-first,26,1,17,15,0,2,0,0,18,16,0,2,0,0,1,15.000000,1
3,DiscriminationTree,monitor-buchi,cex-first,33,1,18,15,0,3,0,0,19,16,0,3,0,0,1,15.000000,1
3,DiscriminationTree,monitor-buchi,cex-first,47,1,19,15,0,4,0,0,20,16,0,4,0,0,1,15.000000,1
3,DiscriminationTree,monitor-buchi,cex-first,49,1,20,15,0,5,0,0,21,16,0,5,0,0,1,15.000000,1
3,DiscriminationTree,monitor-buchi,cex-first,5,17,34104,33847,0,37,4705,220,1010,993,0,14,970,3,8,15.000000,4
3,DiscriminationTree,monitor-buchi,cex-first,7,17,34108,33847,0,41,4733,220,1011,993,0,15,973,3,10,15.000000,4
3,DiscriminationTree,monitor-buchi,cex-first,9,17,34115,33847,0,48,4733,220,1012,993,0,16,973,3,7,15.000000,4
3,DiscriminationTree,monitor-buchi,cex-first,11,31,148853,147550,0,104,133320,1199,2340,2312,0,21,9248,7,12,15.000000,8
3,DiscriminationTree,monitor-buchi,cex-first,13,31,148853,147550,0,104,133381,1199,2340,2312,0,21,9251,7,21,15.000000,8
3,DiscriminationTree,monitor-buchi,cex-first,16,31,148856,147550,0,107,133381,1199,2341,2312,0,22,9251,7,3,15.000000,8
3,DiscriminationTree,monitor-buchi,cex-first,17,31,148862,147550,0,113,133381,1199,2342,2312,0,23,9251,7,6,15.000000,8
3,DiscriminationTree,monitor-buchi,cex-first,18,38,183226,181843,0,171,158026,1212,3007,2971,0,28,10181,8,6,15.000000,9
3,DiscriminationTree,monitor-buchi,cex-first,21,38,183232,181843,0,177,158026,1212,3008,2971,0,29,10181,8,6,15.000000,9
3,DiscriminationTree,monitor-buchi,cex-first,23,38,183234,181843,0,179,158026,1212,3009,2971,0,30,10181,8,2,15.000000,9
3,DiscriminationTree,monitor-buchi,cex-first,27,38,183240,181843,0,185,158026,1212,3010,2971,0,31,10181,8,6,15.000000,9
3,DiscriminationTree,monitor-buchi,cex-first,28,38,183251,181843,0,196,158026,1212,3011,2971,0,32,10181,8,11,15.000000,9
3,DiscriminationTree,monitor-buchi,cex-first,29,39,189871,188411,0,240,652501,1220,3141,3095,0,37,10751,9,12,15.000000,10
3,DiscriminationTree,monitor-buchi,cex-first,30,39,189875,188411,0,244,652501,1220,3142,3095,0,38,10751,9,4,15.000000,10
3,DiscriminationTree,monitor-buchi,cex-first,34,39,189875,188411,0,244,652516,1220,3142,3095,0,38,10753,9,8,15.000000,10
3,DiscriminationTree,monitor-buchi,cex-first,35,39,189875,188411,0,244,652541,1220,3142,3095,0,38,10755,9,13,15.000000,10
3,DiscriminationTree,monitor-buchi,cex-first,40,39,189877,188411,0,246,652541,1220,3143,3095,0,39,10755,9,2,15.000000,10
3,DiscriminationTree,monitor-buchi,cex-first,43,39,189880,188411,0,249,652541,1220,3144,3095,0,40,10755,9,3,15.000000,10
3,DiscriminationTree,monitor-buchi,cex-first,45,39,189885,188411,0,254,652541,1220,3145,3095,0,41,10755,9,5,15.000000,10
3,DiscriminationTree,monitor-buchi,cex-first,46,39,189891,188411,0,260,652541,1220,3146,3095,0,42,10755,9,6,15.000000,10
3,DiscriminationTree,monitor-buchi,cex-first,51,39,189896,188411,0,265,652541,1220,3147,3095,0,43,10755,9,5,15.000000,10
3,DiscriminationTree,monitor-buchi,cex-first,52,39,189901,188411,0,270,652541,1220,3148,3095,0,44,10755,9,5,15.000000,10
3,DiscriminationTree,monitor-buchi,cex-first,53,39,189904,188411,0,273,652541,1220,3149,3095,0,45,10755,9,3,15.000000,10
3,DiscriminationTree,monitor-buchi,cex-first,54,39,189911,188411,0,280,652541,1220,3150,3095,0,46,10755,9,7,15.000000,10
3,DiscriminationTree,monitor-buchi,cex-first,57,39,191677,188411,0,280,2735154,2986,3151,3095,0,46,13097,10,7,15.000000,10
3,DiscriminationTree,monitor-buchi,cex-first,59,39,191681,188411,0,284,2735154,2986,3152,3095,0,47,13097,10,4,15.000000,10
3,DiscriminationTree,monitor-buchi,cex-first,60,39,191681,188411,0,284,2735185,2986,3152,3095,0,47,13099,10,16,15.000000,10
3,DiscriminationTree,monitor-buchi,cex-first,61,39,191682,188411,0,285,2735185,2986,3153,3095,0,48,13099,10,1,15.000000,10
3,DiscriminationTree,monitor-buchi,cex-first,63,39,191691,188411,0,294,2735185,2986,3154,3095,0,49,13099,10,9,15.000000,10
3,DiscriminationTree,monitor-buchi,cex-first,64,39,191695,188411,0,298,2735185,2986,3155,3095,0,50,13099,10,4,15.000000,10
3,DiscriminationTree,monitor-buchi,cex-first,66,39,191702,188411,0,305,2735185,2986,3156,3095,0,51,13099,10,7,15.000000,10
3,DiscriminationTree,monitor-buchi,cex-first,68,39,191709,188411,0,312,2735185,2986,3157,3095,0,52,13099,10,7,15.000000,10
3,DiscriminationTree,monitor-buchi,cex-first,69,39,191710,188411,0,313,2735185,2986,3158,3095,0,53,13099,10,1,15.000000,10
3,DiscriminationTree,monitor-buchi,cex-first,71,39,191711,188411,0,314,2735185,2986,3159,3095,0,54,13099,10,1,15.000000,10
3,DiscriminationTree,monitor-buchi,cex-first,75,39,191720,188411,0,323,2735185,2986,3160,3095,0,55,13099,10,9,15.000000,10
3,DiscriminationTree,monitor-buchi,cex-first,76,39,191721,188411,0,324,2735185,2986,3161,3095,0,56,13099,10,1,15.000000,10
3,DiscriminationTree,monitor-buchi,cex-first,77,39,191721,188411,0,324,2735204,2986,3161,3095,0,56,13101,10,10,15.000000,10
