problem,learner,aut,bbo,property,size,realsymbols,learnsymbols,eqsymbols,emsymbols,emosymbols,insymbols,realqueries,learnqueries,eqqueries,emqueries,emoqueries,inqueries,length,multiplier,refinements
3,ExtensibleLStar,buchi,none,7,39,50790,50790,0,0,651594,0,9376,9376,0,0,867,0,854,15.000000,1
3,ExtensibleLStar,buchi,none,11,39,50790,50790,0,0,1181637,0,9376,9376,0,0,1454,0,17,15.000000,1
3,ExtensibleLStar,buchi,none,13,39,50790,50790,0,0,1181660,0,9376,9376,0,0,1456,0,12,15.000000,1
3,ExtensibleLStar,buchi,none,16,39,50790,50790,0,0,1181681,0,9376,9376,0,0,1458,0,11,15.000000,1
3,ExtensibleLStar,buchi,none,17,39,50790,50790,0,0,1181702,0,9376,9376,0,0,1460,0,11,15.000000,1
3,ExtensibleLStar,buchi,none,18,39,50790,50790,0,0,1181733,0,9376,9376,0,0,1462,0,16,15.000000,1
3,ExtensibleLStar,buchi,none,21,39,50790,50790,0,0,1181746,0,9376,9376,0,0,1464,0,7,15.000000,1
3,ExtensibleLStar,buchi,none,22,39,50790,50790,0,0,1181765,0,9376,9376,0,0,1467,0,7,15.000000,1
3,ExtensibleLStar,buchi,none,23,39,50790,50790,0,0,1303945,0,9376,9376,0,0,1750,0,854,15.000000,1
3,ExtensibleLStar,buchi,none,26,39,50790,50790,0,0,1303964,0,9376,9376,0,0,1753,0,7,15.000000,1
3,ExtensibleLStar,buchi,none,27,39,50790,50790,0,0,1303995,0,9376,9376,0,0,1755,0,16,15.000000,1
3,ExtensibleLStar,buchi,none,28,39,50790,50790,0,0,1304056,0,9376,9376,0,0,1758,0,21,15.000000,1
3,ExtensibleLStar,buchi,none,29,39,50790,50790,0,0,1500493,0,9376,9376,0,0,2116,0,1083,15.000000,1
3,ExtensibleLStar,buchi,none,30,39,50790,50790,0,0,1500508,0,9376,9376,0,0,2118,0,8,15.000000,1
3,ExtensibleLStar,buchi,none,33,39,50790,50790,0,0,1500527,0,9376,9376,0,0,2121,0,7,15.000000,1
3,ExtensibleLStar,buchi,none,34,39,50790,50790,0,0,1500542,0,9376,9376,0,0,2123,0,8,15.000000,1
3,ExtensibleLStar,buchi,none,35,39,50790,50790,0,0,1500567,0,9376,9376,0,0,2125,0,13,15.000000,1
3,ExtensibleLStar,buchi,none,40,39,50790,50790,0,0,1500586,0,9376,9376,0,0,2128,0,7,15.000000,1
3,ExtensibleLStar,buchi,none,43,39,50790,50790,0,0,1500605,0,9376,9376,0,0,2131,0,7,15.000000,1
3,ExtensibleLStar,buchi,none,47,39,50790,50790,0,0,2539584,0,9376,9376,0,0,3304,0,7,15.000000,1
3,ExtensibleLStar,buchi,none,49,39,50790,50790,0,0,2539603,0,9376,9376,0,0,3307,0,7,15.000000,1
3,ExtensibleLStar,buchi,none,51,39,50790,50790,0,0,2539620,0,9376,9376,0,0,3309,0,9,15.000000,1
3,ExtensibleLStar,buchi,none,52,39,50790,50790,0,0,2539651,0,9376,9376,0,0,3312,0,11,15.000000,1
3,ExtensibleLStar,buchi,none,53,39,50790,50790,0,0,2539700,0,9376,9376,0,0,3314,0,25,15.000000,1
3,ExtensibleLStar,buchi,none,57,39,50790,50790,0,0,3582183,0,9376,9376,0,0,4486,0,7,15.000000,1
3,ExtensibleLStar,buchi,none,59,39,50790,50790,0,0,3820896,0,9376,9376,0,0,4880,0,1194,15.000000,1
3,ExtensibleLStar,buchi,none,60,39,50790,50790,0,0,3820927,0,9376,9376,0,0,4882,0,16,15.000000,1
3,ExtensibleLStar,buchi,none,61,39,50790,50790,0,0,3820946,0,9376,9376,0,0,4885,0,7,15.000000,1
3,ExtensibleLStar,buchi,none,63,39,50790,50790,0,0,3820971,0,9376,9376,0,0,4887,0,13,15.000000,1
3,ExtensibleLStar,buchi,none,64,39,50790,50790,0,0,3823051,0,9376,9376,0,0,4915,0,127,15.000000,1
3,ExtensibleLStar,buchi,none,66,39,50790,50790,0,0,3823447,0,9376,9376,0,0,4925,0,48,15.000000,1
3,ExtensibleLStar,buchi,none,68,39,50790,50790,0,0,3823476,0,9376,9376,0,0,4927,0,15,15.000000,1
3,ExtensibleLStar,buchi,none,69,39,50790,50790,0,0,3823495,0,9376,9376,0,0,4930,0,7,15.000000,1
3,ExtensibleLStar,buchi,none,71,39,50790,50790,0,0,3823514,0,9376,9376,0,0,4933,0,7,15.000000,1
3,ExtensibleLStar,buchi,none,75,39,50790,50790,0,0,3823820,0,9376,9376,0,0,4941,0,44,15.000000,1
3,ExtensibleLStar,buchi,none,76,39,50790,50790,0,0,3823839,0,9376,9376,0,0,4944,0,7,15.000000,1
3,ExtensibleLStar,buchi,none,77,39,50790,50790,0,0,3823858,0,9376,9376,0,0,4946,0,10,15.000000,1
3,ExtensibleLStar,buchi,none,78,39,50790,50790,0,0,3946038,0,9376,9376,0,0,5229,0,854,15.000000,1
3,ExtensibleLStar,buchi,none,79,39,50790,50790,0,0,3946078,0,9376,9376,0,0,5232,0,14,15.000000,1
3,ExtensibleLStar,buchi,none,84,39,50790,50790,0,0,3946091,0,9376,9376,0,0,5234,0,7,15.000000,1
3,ExtensibleLStar,buchi,none,87,39,50790,50790,0,0,4588336,0,9376,9376,0,0,6102,0,854,15.000000,1
3,ExtensibleLStar,buchi,none,90,39,50790,50790,0,0,5232043,0,9376,9376,0,0,6969,0,853,15.000000,1
3,ExtensibleLStar,buchi,none,91,39,50790,50790,0,0,5232056,0,9376,9376,0,0,6971,0,7,15.000000,1
3,ExtensibleLStar,buchi,none,93,39,50790,50790,0,0,5232075,0,9376,9376,0,0,6974,0,7,15.000000,1
3,ExtensibleLStar,buchi,none,96,39,50790,50790,0,0,5748084,0,9376,9376,0,0,7561,0,20,15.000000,1
