problem,learner,aut,bbo,property,size,realsymbols,learnsymbols,eqsymbols,emsymbols,emosymbols,insymbols,realqueries,learnqueries,eqqueries,emqueries,emoqueries,inqueries,length,multiplier,refinements
3,KearnsVazirani,monitor,none,5,39,1006109,19372,986730,7,0,0,164701,3553,161147,1,0,0,7,15.000000,17
3,KearnsVazirani,monitor,none,7,39,1006114,19372,986730,12,0,0,164702,3553,161147,2,0,0,5,15.000000,17
3,KearnsVazirani,monitor,none,9,39,1006121,19372,986730,19,0,0,164703,3553,161147,3,0,0,7,15.000000,17
3,KearnsVazirani,monitor,none,11,39,1006126,19372,986730,24,0,0,164704,3553,161147,4,0,0,5,15.000000,17
3,KearnsVazirani,monitor,none,16,39,1006129,19372,986730,27,0,0,164705,3553,161147,5,0,0,3,15.000000,17
3,KearnsVazirani,monitor,none,17,39,1006135,19372,986730,33,0,0,164706,3553,161147,6,0,0,6,15.000000,17
3,KearnsVazirani,monitor,none,18,39,1006141,19372,986730,39,0,0,164707,3553,161147,7,0,0,6,15.000000,17
3,KearnsVazirani,monitor,none,21,39,1006147,19372,986730,45,0,0,164708,3553,161147,8,0,0,6,15.000000,17
3,KearnsVazirani,monitor,none,22,39,1006148,19372,986730,46,0,0,164709,3553,161147,9,0,0,1,15.000000,17
3,KearnsVazirani,monitor,none,23,39,1006150,19372,986730,48,0,0,164710,3553,161147,10,0,0,2,15.000000,17
3,KearnsVazirani,monitor,none,26,39,1006151,19372,986730,49,0,0,164711,3553,161147,11,0,0,1,15.000000,17
3,KearnsVazirani,monitor,none,27,39,1006157,19372,986730,55,0,0,164712,3553,161147,12,0,0,6,15.000000,17
3,KearnsVazirani,monitor,none,28,39,1006168,19372,986730,66,0,0,164713,3553,161147,13,0,0,11,15.000000,17
3,KearnsVazirani,monitor,none,29,39,1006180,19372,986730,78,0,0,164714,3553,161147,14,0,0,12,15.000000,17
3,KearnsVazirani,monitor,none,30,39,1006184,19372,986730,82,0,0,164715,3553,161147,15,0,0,4,15.000000,17
3,KearnsVazirani,monitor,none,33,39,1006185,19372,986730,83,0,0,164716,3553,161147,16,0,0,1,15.000000,17
3,KearnsVazirani,monitor,none,40,39,1006187,19372,986730,85,0,0,164717,3553,161147,17,0,0,2,15.000000,17
3,KearnsVazirani,monitor,none,43,39,1006190,19372,986730,88,0,0,164718,3553,161147,18,0,0,3,15.000000,17
3,KearnsVazirani,monitor,none,45,39,1006195,19372,986730,93,0,0,164719,3553,161147,19,0,0,5,15.000000,17
3,KearnsVazirani,monitor,none,46,39,1006201,19372,986730,99,0,0,164720,3553,161147,20,0,0,6,15.000000,17
3,KearnsVazirani,monitor,none,47,39,1006202,19372,986730,100,0,0,164721,3553,161147,21,0,0,1,15.000000,17
3,KearnsVazirani,monitor,none,49,39,1006203,19372,986730,101,0,0,164722,3553,161147,22,0,0,1,15.000000,17
