problem,learner,aut,bbo,property,size,realsymbols,learnsymbols,eqsymbols,emsymbols,emosymbols,insymbols,realqueries,learnqueries,eqqueries,emqueries,emoqueries,inqueries,length,multiplier,refinements
3,RivestSchapire,monitor,disprove-first,22,1,16,15,0,1,0,0,17,16,0,1,0,0,1,15.000000,1
3,RivestSchapire,monitor,disprove-first,26,1,17,15,0,2,0,0,18,16,0,2,0,0,1,15.000000,1
3,RivestSchapire,monitor,disprove-first,33,1,18,15,0,3,0,0,19,16,0,3,0,0,1,15.000000,1
3,RivestSchapire,monitor,disprove-first,47,1,19,15,0,4,0,0,20,16,0,4,0,0,1,15.000000,1
3,RivestSchapire,monitor,disprove-first,49,1,20,15,0,5,0,0,21,16,0,5,0,0,1,15.000000,1
3,RivestSchapire,monitor,disprove-first,61,1,23,15,0,8,0,0,23,16,0,7,0,0,1,15.000000,1
3,RivestSchapire,monitor,disprove-first,69,1,24,15,0,9,0,0,24,16,0,8,0,0,1,15.000000,1
3,RivestSchapire,monitor,disprove-first,71,1,25,15,0,10,0,0,25,16,0,9,0,0,1,15.000000,1
3,RivestSchapire,monitor,disprove-first,76,1,26,15,0,11,0,0,26,16,0,10,0,0,1,15.000000,1
3,RivestSchapire,monitor,disprove-first,93,1,29,15,0,14,0,0,28,16,0,12,0,0,1,15.000000,1
3,RivestSchapire,monitor,disprove-first,16,3,254,229,0,23,0,2,112,95,0,16,0,1,3,15.000000,2
3,RivestSchapire,monitor,disprove-first,23,3,256,229,0,25,0,2,113,95,0,17,0,1,2,15.000000,2
3,RivestSchapire,monitor,disprove-first,40,3,258,229,0,27,0,2,114,95,0,18,0,1,2,15.000000,2
3,RivestSchapire,monitor,disprove-first,43,3,261,229,0,30,0,2,115,95,0,19,0,1,3,15.000000,2
3,RivestSchapire,monitor,disprove-first,17,14,2891,2805,0,79,0,7,670,639,0,29,0,2,6,15.000000,3
3,RivestSchapire,monitor,disprove-first,45,14,2924,2805,0,112,0,7,675,639,0,34,0,2,5,15.000000,3
3,RivestSchapire,monitor,disprove-first,52,14,2940,2805,0,128,0,7,678,639,0,37,0,2,7,15.000000,3
3,RivestSchapire,monitor,disprove-first,53,14,2943,2805,0,131,0,7,679,639,0,38,0,2,3,15.000000,3
3,RivestSchapire,monitor,disprove-first,64,14,2952,2805,0,140,0,7,681,639,0,40,0,2,4,15.000000,3
3,RivestSchapire,monitor,disprove-first,75,14,2970,2805,0,158,0,7,683,639,0,42,0,2,11,15.000000,3
3,RivestSchapire,monitor,disprove-first,94,14,3015,2805,0,203,0,7,690,639,0,49,0,2,3,15.000000,3
3,RivestSchapire,monitor,disprove-first,5,15,4586,4342,0,229,0,15,969,914,0,52,0,3,10,15.000000,4
3,RivestSchapire,monitor,disprove-first,30,15,4613,4342,0,256,0,15,974,914,0,57,0,3,4,15.000000,4
3,RivestSchapire,monitor,disprove-first,66,15,4638,4342,0,281,0,15,978,914,0,61,0,3,7,15.000000,4
3,RivestSchapire,monitor,disprove-first,28,18,7227,6846,0,362,0,19,1445,1368,0,73,0,4,12,15.000000,5
3,RivestSchapire,monitor,disprove-first,7,22,11115,10626,0,465,0,24,2096,2002,0,89,0,5,5,15.000000,6
3,RivestSchapire,monitor,disprove-first,9,22,11122,10626,0,472,0,24,2097,2002,0,90,0,5,7,15.000000,6
3,RivestSchapire,monitor,disprove-first,11,22,11127,10626,0,477,0,24,2098,2002,0,91,0,5,5,15.000000,6
3,RivestSchapire,monitor,disprove-first,18,22,11133,10626,0,483,0,24,2099,2002,0,92,0,5,6,15.000000,6
3,RivestSchapire,monitor,disprove-first,27,22,11144,10626,0,494,0,24,2101,2002,0,94,0,5,6,15.000000,6
3,RivestSchapire,monitor,disprove-first,51,22,11157,10626,0,507,0,24,2103,2002,0,96,0,5,8,15.000000,6
3,RivestSchapire,monitor,disprove-first,59,22,11168,10626,0,518,0,24,2105,2002,0,98,0,5,4,15.000000,6
3,RivestSchapire,monitor,disprove-first,68,22,11187,10626,0,537,0,24,2107,2002,0,100,0,5,7,15.000000,6
3,RivestSchapire,monitor,disprove-first,21,26,15787,15138,0,620,0,29,2875,2757,0,112,0,6,6,15.000000,7
3,RivestSchapire,monitor,disprove-first,79,26,15826,15138,0,659,0,29,2880,2757,0,117,0,6,5,15.000000,7
3,RivestSchapire,monitor,disprove-first,90,26,15856,15138,0,689,0,29,2883,2757,0,120,0,6,9,15.000000,7
3,RivestSchapire,monitor,disprove-first,91,26,15861,15138,0,694,0,29,2884,2757,0,121,0,6,5,15.000000,7
3,RivestSchapire,monitor,disprove-first,78,29,20659,19878,0,747,0,34,3646,3511,0,128,0,7,6,15.000000,8
3,RivestSchapire,monitor,disprove-first,46,31,25059,24242,0,778,0,39,4361,4220,0,133,0,8,6,15.000000,9
3,RivestSchapire,monitor,disprove-first,54,31,25071,24242,0,790,0,39,4362,4220,0,134,0,8,12,15.000000,9
3,RivestSchapire,monitor,disprove-first,63,31,25083,24242,0,802,0,39,4363,4220,0,135,0,8,12,15.000000,9
3,RivestSchapire,monitor,disprove-first,89,31,25102,24242,0,821,0,39,4364,4220,0,136,0,8,19,15.000000,9
3,RivestSchapire,monitor,disprove-first,96,31,25110,24242,0,829,0,39,4365,4220,0,137,0,8,8,15.000000,9
3,RivestSchapire,monitor,disprove-first,85,36,35486,31679,2924,844,0,39,6193,5439,607,139,0,8,5,15.000000,10
3,RivestSchapire,monitor,disprove-first,29,38,43208,39359,2924,876,0,49,7072,6314,607,142,0,9,12,15.000000,11
