problem,learner,aut,bbo,property,size,realsymbols,learnsymbols,eqsymbols,emsymbols,emosymbols,insymbols,realqueries,learnqueries,eqqueries,emqueries,emoqueries,inqueries,length,multiplier,refinements
3,RivestSchapire,monitor,none,5,39,1024193,54628,969558,7,0,0,166936,8832,158103,1,0,0,7,15.000000,15
3,RivestSchapire,monitor,none,7,39,1024198,54628,969558,12,0,0,166937,8832,158103,2,0,0,5,15.000000,15
3,RivestSchapire,monitor,none,9,39,1024205,54628,969558,19,0,0,166938,8832,158103,3,0,0,7,15.000000,15
3,RivestSchapire,monitor,none,11,39,1024210,54628,969558,24,0,0,166939,8832,158103,4,0,0,5,15.000000,15
3,RivestSchapire,monitor,none,16,39,1024213,54628,969558,27,0,0,166940,8832,158103,5,0,0,3,15.000000,15
3,RivestSchapire,monitor,none,17,39,1024219,54628,969558,33,0,0,166941,8832,158103,6,0,0,6,15.000000,15
3,RivestSchapire,monitor,none,18,39,1024225,54628,969558,39,0,0,166942,8832,158103,7,0,0,6,15.000000,15
3,RivestSchapire,monitor,none,21,39,1024231,54628,969558,45,0,0,166943,8832,158103,8,0,0,6,15.000000,15
3,RivestSchapire,monitor,none,22,39,1024232,54628,969558,46,0,0,166944,8832,158103,9,0,0,1,15.000000,15
3,RivestSchapire,monitor,none,23,39,1024234,54628,969558,48,0,0,166945,8832,158103,10,0,0,2,15.000000,15
3,RivestSchapire,monitor,none,26,39,1024235,54628,969558,49,0,0,166946,8832,158103,11,0,0,1,15.000000,15
3,RivestSchapire,monitor,none,27,39,1024241,54628,969558,55,0,0,166947,8832,158103,12,0,0,6,15.000000,15
3,RivestSchapire,monitor,none,28,39,1024252,54628,969558,66,0,0,166948,8832,158103,13,0,0,11,15.000000,15
3,RivestSchapire,monitor,none,29,39,1024264,54628,969558,78,0,0,166949,8832,158103,14,0,0,12,15.000000,15
3,RivestSchapire,monitor,none,30,39,1024268,54628,969558,82,0,0,166950,8832,158103,15,0,0,4,15.000000,15
3,RivestSchapire,monitor,none,33,39,1024269,54628,969558,83,0,0,166951,8832,158103,16,0,0,1,15.000000,15
3,RivestSchapire,monitor,none,40,39,1024271,54628,969558,85,0,0,166952,8832,158103,17,0,0,2,15.000000,15
3,RivestSchapire,monitor,none,43,39,1024274,54628,969558,88,0,0,166953,8832,158103,18,0,0,3,15.000000,15
3,RivestSchapire,monitor,none,45,39,1024279,54628,969558,93,0,0,166954,8832,158103,19,0,0,5,15.000000,15
3,RivestSchapire,monitor,none,46,39,1024285,54628,969558,99,0,0,166955,8832,158103,20,0,0,6,15.000000,15
3,RivestSchapire,monitor,none,47,39,1024286,54628,969558,100,0,0,166956,8832,158103,21,0,0,1,15.000000,15
3,RivestSchapire,monitor,none,49,39,1024287,54628,969558,101,0,0,166957,8832,158103,22,0,0,1,15.000000,15
3,RivestSchapire,monitor,none,51,39,1024292,54628,969558,106,0,0,166958,8832,158103,23,0,0,5,15.000000,15
3,RivestSchapire,monitor,none,52,39,1024297,54628,969558,111,0,0,166959,8832,158103,24,0,0,5,15.000000,15
3,RivestSchapire,monitor,none,53,39,1024300,54628,969558,114,0,0,166960,8832,158103,25,0,0,3,15.000000,15
3,RivestSchapire,monitor,none,54,39,1024307,54628,969558,121,0,0,166961,8832,158103,26,0,0,7,15.000000,15
3,RivestSchapire,monitor,none,59,39,1024311,54628,969558,125,0,0,166962,8832,158103,27,0,0,4,15.000000,15
3,RivestSchapire,monitor,none,61,39,1024312,54628,969558,126,0,0,166963,8832,158103,28,0,0,1,15.000000,15
3,RivestSchapire,monitor,none,63,39,1024321,54628,969558,135,0,0,166964,8832,158103,29,0,0,9,15.000000,15
3,RivestSchapire,monitor,none,64,39,1024325,54628,969558,139,0,0,166965,8832,158103,30,0,0,4,15.000000,15
3,RivestSchapire,monitor,none,66,39,1024332,54628,969558,146,0,0,166966,8832,158103,31,0,0,7,15.000000,15
3,RivestSchapire,monitor,none,68,39,1024339,54628,969558,153,0,0,166967,8832,158103,32,0,0,7,15.000000,15
3,RivestSchapire,monitor,none,69,39,1024340,54628,969558,154,0,0,166968,8832,158103,33,0,0,1,15.000000,15
3,RivestSchapire,monitor,none,71,39,1024341,54628,969558,155,0,0,166969,8832,158103,34,0,0,1,15.000000,15
3,RivestSchapire,monitor,none,75,39,1024350,54628,969558,164,0,0,166970,8832,158103,35,0,0,9,15.000000,15
3,RivestSchapire,monitor,none,76,39,1024351,54628,969558,165,0,0,166971,8832,158103,36,0,0,1,15.000000,15
3,RivestSchapire,monitor,none,78,39,1024357,54628,969558,171,0,0,166972,8832,158103,37,0,0,6,15.000000,15
3,RivestSchapire,monitor,none,79,39,1024362,54628,969558,176,0,0,166973,8832,158103,38,0,0,5,15.000000,15
3,RivestSchapire,monitor,none,85,39,1024367,54628,969558,181,0,0,166974,8832,158103,39,0,0,5,15.000000,15
3,RivestSchapire,monitor,none,89,39,1024374,54628,969558,188,0,0,166975,8832,158103,40,0,0,7,15.000000,15
3,RivestSchapire,monitor,none,90,39,1024378,54628,969558,192,0,0,166976,8832,158103,41,0,0,4,15.000000,15
3,RivestSchapire,monitor,none,91,39,1024383,54628,969558,197,0,0,166977,8832,158103,42,0,0,5,15.000000,15
3,RivestSchapire,monitor,none,93,39,1024384,54628,969558,198,0,0,166978,8832,158103,43,0,0,1,15.000000,15
3,RivestSchapire,monitor,none,94,39,1024387,54628,969558,201,0,0,166979,8832,158103,44,0,0,3,15.000000,15
3,RivestSchapire,monitor,none,96,39,1024395,54628,969558,209,0,0,166980,8832,158103,45,0,0,8,15.000000,15
