problem,learner,aut,bbo,property,size,realsymbols,learnsymbols,eqsymbols,emsymbols,emosymbols,insymbols,realqueries,learnqueries,eqqueries,emqueries,emoqueries,inqueries,length,multiplier,refinements
4,ADT,buchi,disprove-first,12,64,35140,33451,0,0,3724141,1689,1144,1139,0,0,233376,5,6,20.000000,6
4,ADT,buchi,disprove-first,65,64,35140,33451,0,0,6149606,1689,1144,1139,0,0,330652,5,8,20.000000,6
4,ADT,buchi,disprove-first,87,64,35140,33451,0,0,6669243,1689,1144,1139,0,0,366490,5,11,20.000000,6
4,ADT,buchi,disprove-first,3,76,88262,82719,0,0,7457669,5543,1904,1898,0,0,403292,6,14,20.000000,7
4,ADT,buchi,disprove-first,5,76,88262,82719,0,0,7530664,5543,1904,1898,0,0,406335,6,13,20.000000,7
4,ADT,buchi,disprove-first,7,76,88262,82719,0,0,7530699,5543,1904,1898,0,0,406338,6,13,20.000000,7
4,ADT,buchi,disprove-first,16,76,88262,82719,0,0,7959374,5543,1904,1898,0,0,418501,6,13,20.000000,7
4,ADT,buchi,disprove-first,21,76,88262,82719,0,0,8199569,5543,1904,1898,0,0,424584,6,13,20.000000,7
4,ADT,buchi,disprove-first,22,76,88262,82719,0,0,8199604,5543,1904,1898,0,0,424587,6,13,20.000000,7
4,ADT,buchi,disprove-first,25,76,88262,82719,0,0,8236119,5543,1904,1898,0,0,427630,6,13,20.000000,7
4,ADT,buchi,disprove-first,35,76,88262,82719,0,0,8909206,5543,1904,1898,0,0,448905,6,13,20.000000,7
4,ADT,buchi,disprove-first,39,76,88262,82719,0,0,9129622,5543,1904,1898,0,0,458027,6,13,20.000000,7
4,ADT,buchi,disprove-first,60,76,88262,82719,0,0,10679496,5543,1904,1898,0,0,500584,6,13,20.000000,7
4,ADT,buchi,disprove-first,66,76,88262,82719,0,0,10930331,5543,1904,1898,0,0,509707,6,13,20.000000,7
4,ADT,buchi,disprove-first,72,76,88262,82719,0,0,11007886,5543,1904,1898,0,0,515790,6,13,20.000000,7
4,ADT,buchi,disprove-first,77,76,88262,82719,0,0,11065681,5543,1904,1898,0,0,518833,6,13,20.000000,7
4,ADT,buchi,disprove-first,84,76,88262,82719,0,0,11390955,5543,1904,1898,0,0,534034,6,14,20.000000,7
4,ADT,buchi,disprove-first,89,76,88262,82719,0,0,11463950,5543,1904,1898,0,0,540117,6,13,20.000000,7
4,ADT,buchi,disprove-first,93,76,88262,82719,0,0,11652439,5543,1904,1898,0,0,546199,6,13,20.000000,7
4,ADT,buchi,disprove-first,94,76,88262,82719,0,0,11652474,5543,1904,1898,0,0,546202,6,13,20.000000,7
4,ADT,buchi,disprove-first,95,76,88262,82719,0,0,11652509,5543,1904,1898,0,0,546205,6,13,20.000000,7
4,ADT,buchi,disprove-first,1,77,207245,192563,0,0,12094901,14682,1942,1935,0,0,564448,7,28,20.000000,8
4,ADT,buchi,disprove-first,4,77,207245,192563,0,0,12155045,14682,1942,1935,0,0,567531,7,32,20.000000,8
4,ADT,buchi,disprove-first,14,77,207245,192563,0,0,12490840,14682,1942,1935,0,0,576774,7,29,20.000000,8
4,ADT,buchi,disprove-first,27,77,207245,192563,0,0,12801764,14682,1942,1935,0,0,586011,7,42,20.000000,8
4,ADT,buchi,disprove-first,32,77,207245,192563,0,0,13034311,14682,1942,1935,0,0,595251,7,33,20.000000,8
4,ADT,buchi,disprove-first,38,77,207245,192563,0,0,13377782,14682,1942,1935,0,0,607573,7,32,20.000000,8
4,ADT,buchi,disprove-first,52,77,207245,192563,0,0,14337130,14682,1942,1935,0,0,635293,7,26,20.000000,8
4,ADT,buchi,disprove-first,56,77,207245,192563,0,0,14398747,14682,1942,1935,0,0,638374,7,21,20.000000,8
4,ADT,buchi,disprove-first,57,77,207245,192563,0,0,14398836,14682,1942,1935,0,0,638377,7,35,20.000000,8
4,ADT,buchi,disprove-first,71,77,207245,192563,0,0,14793097,14682,1942,1935,0,0,653779,7,11,20.000000,8
4,ADT,buchi,disprove-first,76,77,207245,192563,0,0,14793121,14682,1942,1935,0,0,653781,7,13,20.000000,8
4,ADT,buchi,disprove-first,83,77,207245,192563,0,0,15014902,14682,1942,1935,0,0,666103,7,11,20.000000,8
4,ADT,buchi,disprove-first,85,79,221594,205353,0,0,18647723,16241,1984,1976,0,0,801170,8,16,20.000000,9
4,ADT,buchi,disprove-first,2,80,239304,221475,0,0,19380854,17829,2023,2014,0,0,829612,9,6,20.000000,10
4,ADT,buchi,disprove-first,80,80,239304,221475,0,0,22116219,17829,2023,2014,0,0,922397,9,6,20.000000,10
4,ADT,buchi,disprove-first,81,80,239304,221475,0,0,22116230,17829,2023,2014,0,0,922399,9,6,20.000000,10
4,ADT,buchi,disprove-first,10,82,301821,280745,0,0,23334503,21076,2123,2113,0,0,957681,10,17,20.000000,11
4,ADT,buchi,disprove-first,34,82,301821,280745,0,0,24077059,21076,2123,2113,0,0,983912,10,21,20.000000,11
4,ADT,buchi,disprove-first,36,82,301821,280745,0,0,24077106,21076,2123,2113,0,0,983914,10,24,20.000000,11
4,ADT,buchi,disprove-first,49,90,389316,364913,0,0,28684851,24403,2311,2300,0,0,1126451,11,26,20.000000,12
4,ADT,buchi,disprove-first,97,90,389316,364913,0,0,29725239,24403,2311,2300,0,0,1169652,11,6,20.000000,12
4,ADT,buchi,disprove-first,17,109,502445,474403,0,0,30690063,28042,3498,3486,0,0,1192771,12,41,20.000000,13
4,ADT,buchi,disprove-first,28,109,502445,474403,0,0,30910248,28042,3498,3486,0,0,1201492,12,25,20.000000,13
4,ADT,buchi,disprove-first,37,109,502445,474403,0,0,31200232,28042,3498,3486,0,0,1214574,12,25,20.000000,13
