problem,learner,aut,bbo,property,size,realsymbols,learnsymbols,eqsymbols,emsymbols,emosymbols,insymbols,realqueries,learnqueries,eqqueries,emqueries,emoqueries,inqueries,length,multiplier,refinements
4,DHC,monitor,cex-first,1,178,112514,112510,0,4,0,0,17812,17811,0,1,0,0,4,20.000000,1
4,DHC,monitor,cex-first,4,178,112520,112510,0,10,0,0,17813,17811,0,2,0,0,6,20.000000,1
4,DHC,monitor,cex-first,5,178,112521,112510,0,11,0,0,17814,17811,0,3,0,0,1,20.000000,1
4,DHC,monitor,cex-first,7,178,112522,112510,0,12,0,0,17815,17811,0,4,0,0,1,20.000000,1
4,DHC,monitor,cex-first,9,178,112529,112510,0,19,0,0,17816,17811,0,5,0,0,7,20.000000,1
4,DHC,monitor,cex-first,10,178,112535,112510,0,25,0,0,17817,17811,0,6,0,0,6,20.000000,1
4,DHC,monitor,cex-first,12,182,243789,243699,0,75,0,15,37858,37847,0,10,0,1,5,20.000000,2
4,DHC,monitor,cex-first,14,182,243791,243699,0,77,0,15,37859,37847,0,11,0,1,2,20.000000,2
4,DHC,monitor,cex-first,16,182,243794,243699,0,80,0,15,37860,37847,0,12,0,1,3,20.000000,2
4,DHC,monitor,cex-first,17,182,243801,243699,0,87,0,15,37861,37847,0,13,0,1,7,20.000000,2
4,DHC,monitor,cex-first,19,182,243803,243699,0,89,0,15,37862,37847,0,14,0,1,2,20.000000,2
4,DHC,monitor,cex-first,21,182,243804,243699,0,90,0,15,37863,37847,0,15,0,1,1,20.000000,2
4,DHC,monitor,cex-first,22,182,243809,243699,0,95,0,15,37864,37847,0,16,0,1,5,20.000000,2
4,DHC,monitor,cex-first,24,182,243812,243699,0,98,0,15,37865,37847,0,17,0,1,3,20.000000,2
4,DHC,monitor,cex-first,25,182,243816,243699,0,102,0,15,37866,37847,0,18,0,1,4,20.000000,2
4,DHC,monitor,cex-first,27,182,243818,243699,0,104,0,15,37867,37847,0,19,0,1,2,20.000000,2
4,DHC,monitor,cex-first,28,182,243821,243699,0,107,0,15,37868,37847,0,20,0,1,3,20.000000,2
4,DHC,monitor,cex-first,33,182,243826,243699,0,112,0,15,37869,37847,0,21,0,1,5,20.000000,2
4,DHC,monitor,cex-first,35,182,243828,243699,0,114,0,15,37870,37847,0,22,0,1,2,20.000000,2
4,DHC,monitor,cex-first,36,182,243833,243699,0,119,0,15,37871,37847,0,23,0,1,5,20.000000,2
4,DHC,monitor,cex-first,37,182,243840,243699,0,126,0,15,37872,37847,0,24,0,1,7,20.000000,2
4,DHC,monitor,cex-first,38,182,243842,243699,0,128,0,15,37873,37847,0,25,0,1,2,20.000000,2
4,DHC,monitor,cex-first,41,182,243848,243699,0,134,0,15,37874,37847,0,26,0,1,6,20.000000,2
4,DHC,monitor,cex-first,42,182,243850,243699,0,136,0,15,37875,37847,0,27,0,1,2,20.000000,2
