problem,learner,aut,bbo,property,size,realsymbols,learnsymbols,eqsymbols,emsymbols,emosymbols,insymbols,realqueries,learnqueries,eqqueries,emqueries,emoqueries,inqueries,length,multiplier,refinements
4,DHC,monitor-buchi,disprove-first,1,178,112514,112510,0,4,0,0,17812,17811,0,1,0,0,4,20.000000,1
4,DHC,monitor-buchi,disprove-first,3,178,112514,112510,0,4,231393,0,17812,17811,0,1,7121,0,14,20.000000,1
4,DHC,monitor-buchi,disprove-first,4,178,112520,112510,0,10,231393,0,17813,17811,0,2,7121,0,6,20.000000,1
4,DHC,monitor-buchi,disprove-first,5,178,112521,112510,0,11,231393,0,17814,17811,0,3,7121,0,1,20.000000,1
4,DHC,monitor-buchi,disprove-first,7,178,112522,112510,0,12,231393,0,17815,17811,0,4,7121,0,1,20.000000,1
4,DHC,monitor-buchi,disprove-first,9,178,112529,112510,0,19,231393,0,17816,17811,0,5,7121,0,7,20.000000,1
4,DHC,monitor-buchi,disprove-first,10,178,112535,112510,0,25,231393,0,17817,17811,0,6,7121,0,6,20.000000,1
4,DHC,monitor-buchi,disprove-first,12,178,112555,112510,0,45,647913,0,17819,17811,0,8,14241,0,5,20.000000,1
4,DHC,monitor-buchi,disprove-first,14,178,112557,112510,0,47,647913,0,17820,17811,0,9,14241,0,2,20.000000,1
4,DHC,monitor-buchi,disprove-first,16,178,112560,112510,0,50,647913,0,17821,17811,0,10,14241,0,3,20.000000,1
4,DHC,monitor-buchi,disprove-first,17,178,112567,112510,0,57,647913,0,17822,17811,0,11,14241,0,7,20.000000,1
4,DHC,monitor-buchi,disprove-first,19,178,112569,112510,0,59,647913,0,17823,17811,0,12,14241,0,2,20.000000,1
4,DHC,monitor-buchi,disprove-first,21,178,112570,112510,0,60,647913,0,17824,17811,0,13,14241,0,1,20.000000,1
4,DHC,monitor-buchi,disprove-first,22,178,112575,112510,0,65,647913,0,17825,17811,0,14,14241,0,5,20.000000,1
4,DHC,monitor-buchi,disprove-first,24,178,112578,112510,0,68,647913,0,17826,17811,0,15,14241,0,3,20.000000,1
4,DHC,monitor-buchi,disprove-first,25,178,112582,112510,0,72,647913,0,17827,17811,0,16,14241,0,4,20.000000,1
4,DHC,monitor-buchi,disprove-first,27,178,112584,112510,0,74,647913,0,17828,17811,0,17,14241,0,2,20.000000,1
4,DHC,monitor-buchi,disprove-first,28,178,112587,112510,0,77,647913,0,17829,17811,0,18,14241,0,3,20.000000,1
4,DHC,monitor-buchi,disprove-first,29,178,112587,112510,0,77,647962,0,17829,17811,0,18,14244,0,21,20.000000,1
4,DHC,monitor-buchi,disprove-first,32,178,112596,112510,0,86,886539,0,17830,17811,0,19,21366,0,33,20.000000,1
4,DHC,monitor-buchi,disprove-first,33,178,112601,112510,0,91,886539,0,17831,17811,0,20,21366,0,5,20.000000,1
4,DHC,monitor-buchi,disprove-first,35,178,112603,112510,0,93,1071632,0,17832,17811,0,21,28485,0,2,20.000000,1
4,DHC,monitor-buchi,disprove-first,36,178,112608,112510,0,98,1071632,0,17833,17811,0,22,28485,0,5,20.000000,1
4,DHC,monitor-buchi,disprove-first,37,178,112615,112510,0,105,1071632,0,17834,17811,0,23,28485,0,7,20.000000,1
4,DHC,monitor-buchi,disprove-first,38,178,112617,112510,0,107,1071632,0,17835,17811,0,24,28485,0,2,20.000000,1
4,DHC,monitor-buchi,disprove-first,39,178,112617,112510,0,107,1071667,0,17835,17811,0,24,28488,0,13,20.000000,1
4,DHC,monitor-buchi,disprove-first,41,178,112623,112510,0,113,1071667,0,17836,17811,0,25,28488,0,6,20.000000,1
