problem,learner,aut,bbo,property,size,realsymbols,learnsymbols,eqsymbols,emsymbols,emosymbols,insymbols,realqueries,learnqueries,eqqueries,emqueries,emoqueries,inqueries,length,multiplier,refinements
4,DiscriminationTree,buchi,disprove-first,2,18,4624,4276,0,0,32985,348,657,654,0,0,7717,3,6,20.000000,4
4,DiscriminationTree,buchi,disprove-first,80,18,4624,4276,0,0,277411,348,657,654,0,0,35796,3,6,20.000000,4
4,DiscriminationTree,buchi,disprove-first,81,18,4624,4276,0,0,277422,348,657,654,0,0,35798,3,6,20.000000,4
4,DiscriminationTree,buchi,disprove-first,97,18,4624,4276,0,0,331073,348,657,654,0,0,43720,3,6,20.000000,4
4,DiscriminationTree,buchi,disprove-first,65,39,91937,91219,0,0,1454699,718,1664,1660,0,0,115219,4,8,20.000000,5
4,DiscriminationTree,buchi,disprove-first,1,75,437374,433862,0,0,4925327,3512,3836,3830,0,0,325858,6,26,20.000000,7
4,DiscriminationTree,buchi,disprove-first,4,75,437374,433862,0,0,5018377,3512,3836,3830,0,0,328860,6,32,20.000000,7
4,DiscriminationTree,buchi,disprove-first,14,75,437374,433862,0,0,5462367,3512,3836,3830,0,0,346859,6,26,20.000000,7
4,DiscriminationTree,buchi,disprove-first,56,75,437374,433862,0,0,7944751,3512,3836,3830,0,0,436819,6,21,20.000000,7
4,DiscriminationTree,buchi,disprove-first,57,75,437374,433862,0,0,7944834,3512,3836,3830,0,0,436822,6,33,20.000000,7
4,DiscriminationTree,buchi,disprove-first,3,100,2586114,2573580,0,0,9694673,12534,5497,5490,0,0,523796,7,14,20.000000,8
4,DiscriminationTree,buchi,disprove-first,5,100,2586114,2573580,0,0,9694708,12534,5497,5490,0,0,523799,7,13,20.000000,8
4,DiscriminationTree,buchi,disprove-first,7,100,2586114,2573580,0,0,9694743,12534,5497,5490,0,0,523802,7,13,20.000000,8
4,DiscriminationTree,buchi,disprove-first,16,100,2586114,2573580,0,0,10318659,12534,5497,5490,0,0,539802,7,13,20.000000,8
4,DiscriminationTree,buchi,disprove-first,21,100,2586114,2573580,0,0,10750211,12534,5497,5490,0,0,547797,7,13,20.000000,8
4,DiscriminationTree,buchi,disprove-first,22,100,2586114,2573580,0,0,10750246,12534,5497,5490,0,0,547800,7,13,20.000000,8
4,DiscriminationTree,buchi,disprove-first,25,100,2586114,2573580,0,0,10798281,12534,5497,5490,0,0,551803,7,13,20.000000,8
4,DiscriminationTree,buchi,disprove-first,32,100,2586114,2573580,0,0,11212266,12534,5497,5490,0,0,567803,7,33,20.000000,8
4,DiscriminationTree,buchi,disprove-first,35,100,2586114,2573580,0,0,11428224,12534,5497,5490,0,0,575804,7,13,20.000000,8
4,DiscriminationTree,buchi,disprove-first,38,100,2586114,2573580,0,0,11708044,12534,5497,5490,0,0,583801,7,24,20.000000,8
4,DiscriminationTree,buchi,disprove-first,39,100,2586114,2573580,0,0,11708079,12534,5497,5490,0,0,583804,7,13,20.000000,8
4,DiscriminationTree,buchi,disprove-first,60,100,2586114,2573580,0,0,13023887,12534,5497,5490,0,0,631802,7,13,20.000000,8
4,DiscriminationTree,buchi,disprove-first,64,100,2586114,2573580,0,0,13337669,12534,5497,5490,0,0,639799,7,9,20.000000,8
4,DiscriminationTree,buchi,disprove-first,66,100,2586114,2573580,0,0,13337704,12534,5497,5490,0,0,639802,7,13,20.000000,8
4,DiscriminationTree,buchi,disprove-first,71,100,2586114,2573580,0,0,13397751,12534,5497,5490,0,0,643805,7,17,20.000000,8
4,DiscriminationTree,buchi,disprove-first,72,100,2586114,2573580,0,0,13397786,12534,5497,5490,0,0,643808,7,13,20.000000,8
4,DiscriminationTree,buchi,disprove-first,76,100,2586114,2573580,0,0,13397833,12534,5497,5490,0,0,643811,7,17,20.000000,8
