problem,learner,aut,bbo,property,size,realsymbols,learnsymbols,eqsymbols,emsymbols,emosymbols,insymbols,realqueries,learnqueries,eqqueries,emqueries,emoqueries,inqueries,length,multiplier,refinements
4,DiscriminationTree,monitor-buchi,none,1,190,6176523,76438,6100081,4,0,0,899614,11402,888211,1,0,0,4,20.000000,97
4,DiscriminationTree,monitor-buchi,none,2,190,6176523,76438,6100081,4,11,0,899614,11402,888211,1,2,0,6,20.000000,97
4,DiscriminationTree,monitor-buchi,none,3,190,6176523,76438,6100081,4,37,0,899614,11402,888211,1,4,0,14,20.000000,97
4,DiscriminationTree,monitor-buchi,none,4,190,6176529,76438,6100081,10,37,0,899615,11402,888211,2,4,0,6,20.000000,97
4,DiscriminationTree,monitor-buchi,none,5,190,6176530,76438,6100081,11,37,0,899616,11402,888211,3,4,0,1,20.000000,97
4,DiscriminationTree,monitor-buchi,none,7,190,6176531,76438,6100081,12,37,0,899617,11402,888211,4,4,0,1,20.000000,97
4,DiscriminationTree,monitor-buchi,none,9,190,6176538,76438,6100081,19,37,0,899618,11402,888211,5,4,0,7,20.000000,97
4,DiscriminationTree,monitor-buchi,none,10,190,6176544,76438,6100081,25,37,0,899619,11402,888211,6,4,0,6,20.000000,97
4,DiscriminationTree,monitor-buchi,none,12,190,6176549,76438,6100081,30,37,0,899620,11402,888211,7,4,0,5,20.000000,97
4,DiscriminationTree,monitor-buchi,none,14,190,6176551,76438,6100081,32,37,0,899621,11402,888211,8,4,0,2,20.000000,97
4,DiscriminationTree,monitor-buchi,none,16,190,6176554,76438,6100081,35,37,0,899622,11402,888211,9,4,0,3,20.000000,97
4,DiscriminationTree,monitor-buchi,none,17,190,6176561,76438,6100081,42,37,0,899623,11402,888211,10,4,0,7,20.000000,97
4,DiscriminationTree,monitor-buchi,none,19,190,6176563,76438,6100081,44,37,0,899624,11402,888211,11,4,0,2,20.000000,97
4,DiscriminationTree,monitor-buchi,none,21,190,6176564,76438,6100081,45,37,0,899625,11402,888211,12,4,0,1,20.000000,97
4,DiscriminationTree,monitor-buchi,none,22,190,6176569,76438,6100081,50,37,0,899626,11402,888211,13,4,0,5,20.000000,97
4,DiscriminationTree,monitor-buchi,none,24,190,6176572,76438,6100081,53,37,0,899627,11402,888211,14,4,0,3,20.000000,97
4,DiscriminationTree,monitor-buchi,none,25,190,6176576,76438,6100081,57,37,0,899628,11402,888211,15,4,0,4,20.000000,97
4,DiscriminationTree,monitor-buchi,none,27,190,6176578,76438,6100081,59,37,0,899629,11402,888211,16,4,0,2,20.000000,97
4,DiscriminationTree,monitor-buchi,none,28,190,6176581,76438,6100081,62,37,0,899630,11402,888211,17,4,0,3,20.000000,97
4,DiscriminationTree,monitor-buchi,none,29,190,6176581,76438,6100081,62,86,0,899630,11402,888211,17,7,0,21,20.000000,97
4,DiscriminationTree,monitor-buchi,none,32,190,6176581,76438,6100081,62,177,0,899630,11402,888211,17,10,0,33,20.000000,97
4,DiscriminationTree,monitor-buchi,none,33,190,6176586,76438,6100081,67,177,0,899631,11402,888211,18,10,0,5,20.000000,97
4,DiscriminationTree,monitor-buchi,none,34,190,6176586,76438,6100081,67,249,0,899631,11402,888211,18,13,0,26,20.000000,97
4,DiscriminationTree,monitor-buchi,none,35,190,6176588,76438,6100081,69,249,0,899632,11402,888211,19,13,0,2,20.000000,97
4,DiscriminationTree,monitor-buchi,none,36,190,6176593,76438,6100081,74,249,0,899633,11402,888211,20,13,0,5,20.000000,97
4,DiscriminationTree,monitor-buchi,none,37,190,6176600,76438,6100081,81,249,0,899634,11402,888211,21,13,0,7,20.000000,97
4,DiscriminationTree,monitor-buchi,none,38,190,6176602,76438,6100081,83,249,0,899635,11402,888211,22,13,0,2,20.000000,97
4,DiscriminationTree,monitor-buchi,none,39,190,6176602,76438,6100081,83,284,0,899635,11402,888211,22,16,0,13,20.000000,97
4,DiscriminationTree,monitor-buchi,none,41,190,6176608,76438,6100081,89,284,0,899636,11402,888211,23,16,0,6,20.000000,97
4,DiscriminationTree,monitor-buchi,none,42,190,6176610,76438,6100081,91,284,0,899637,11402,888211,24,16,0,2,20.000000,97
