problem,learner,aut,bbo,property,size,realsymbols,learnsymbols,eqsymbols,emsymbols,emosymbols,insymbols,realqueries,learnqueries,eqqueries,emqueries,emoqueries,inqueries,length,multiplier,refinements
4,ExtensibleLStar,buchi,cex-first,1,178,121980,121980,0,0,72,0,19591,19591,0,0,3,0,28,20.000000,1
4,ExtensibleLStar,buchi,cex-first,2,186,4992627311,4992616398,0,0,847850,10913,1662917,1662915,0,0,43316,2,6,20.000000,3
4,ExtensibleLStar,buchi,cex-first,3,186,4992627311,4992616398,0,0,847876,10913,1662917,1662915,0,0,43318,2,14,20.000000,3
4,ExtensibleLStar,buchi,cex-first,4,186,4992627311,4992616398,0,0,847960,10913,1662917,1662915,0,0,43321,2,32,20.000000,3
4,ExtensibleLStar,buchi,cex-first,5,186,4992627311,4992616398,0,0,847995,10913,1662917,1662915,0,0,43324,2,13,20.000000,3
4,ExtensibleLStar,buchi,cex-first,7,186,4992627311,4992616398,0,0,848030,10913,1662917,1662915,0,0,43327,2,13,20.000000,3
4,ExtensibleLStar,buchi,cex-first,10,186,4992627311,4992616398,0,0,2276374,18398,1662917,1662915,0,0,73086,3,22,20.000000,3
4,ExtensibleLStar,buchi,cex-first,12,186,4992627311,4992616398,0,0,2276387,18398,1662917,1662915,0,0,73088,3,7,20.000000,3
4,ExtensibleLStar,buchi,cex-first,14,186,4992627311,4992616398,0,0,2276462,18398,1662917,1662915,0,0,73091,3,29,20.000000,3
4,ExtensibleLStar,buchi,cex-first,16,186,4992627311,4992616398,0,0,2276497,18398,1662917,1662915,0,0,73094,3,13,20.000000,3
4,ExtensibleLStar,buchi,cex-first,17,186,4992627311,4992616398,0,0,2276608,18398,1662917,1662915,0,0,73097,3,41,20.000000,3
4,ExtensibleLStar,buchi,cex-first,21,186,4992627311,4992616398,0,0,2514723,18398,1662917,1662915,0,0,80540,3,13,20.000000,3
4,ExtensibleLStar,buchi,cex-first,22,186,4992627311,4992616398,0,0,2514758,18398,1662917,1662915,0,0,80543,3,13,20.000000,3
