problem,learner,aut,bbo,property,size,realsymbols,learnsymbols,eqsymbols,emsymbols,emosymbols,insymbols,realqueries,learnqueries,eqqueries,emqueries,emoqueries,inqueries,length,multiplier,refinements
4,KearnsVazirani,buchi,cex-first,1,56,36624,24653,0,0,603735,11971,3417,3407,0,0,34674,10,26,20.000000,11
4,KearnsVazirani,buchi,cex-first,2,64,52198,30596,0,0,886652,21602,4233,4219,0,0,63470,14,6,20.000000,15
4,KearnsVazirani,buchi,cex-first,3,64,52198,30596,0,0,886678,21602,4233,4219,0,0,63472,14,14,20.000000,15
4,KearnsVazirani,buchi,cex-first,4,65,57211,33029,0,0,1048042,24182,4407,4392,0,0,71155,15,32,20.000000,16
4,KearnsVazirani,buchi,cex-first,5,65,57211,33029,0,0,1048077,24182,4407,4392,0,0,71158,15,13,20.000000,16
4,KearnsVazirani,buchi,cex-first,7,65,57211,33029,0,0,1048112,24182,4407,4392,0,0,71161,15,13,20.000000,16
4,KearnsVazirani,buchi,cex-first,9,74,92047,58137,0,0,2004946,33910,5664,5646,0,0,95878,18,17,20.000000,19
4,KearnsVazirani,buchi,cex-first,10,83,119338,66616,0,0,2949328,52722,6440,6418,0,0,133318,22,22,20.000000,23
4,KearnsVazirani,buchi,cex-first,12,88,131168,68476,0,0,3078821,62692,6779,6756,0,0,143280,23,7,20.000000,24
4,KearnsVazirani,buchi,cex-first,14,88,131168,68476,0,0,3078896,62692,6779,6756,0,0,143283,23,29,20.000000,24
4,KearnsVazirani,buchi,cex-first,16,88,131168,68476,0,0,3078931,62692,6779,6756,0,0,143286,23,13,20.000000,24
4,KearnsVazirani,buchi,cex-first,17,91,157344,73245,0,0,3645418,84099,7119,7094,0,0,164649,25,33,20.000000,26
4,KearnsVazirani,buchi,cex-first,19,96,182986,87717,0,0,4457579,95269,7919,7892,0,0,186851,27,32,20.000000,28
4,KearnsVazirani,buchi,cex-first,21,96,182986,87717,0,0,4457614,95269,7919,7892,0,0,186854,27,13,20.000000,28
4,KearnsVazirani,buchi,cex-first,22,96,182986,87717,0,0,4457649,95269,7919,7892,0,0,186857,27,13,20.000000,28
4,KearnsVazirani,buchi,cex-first,24,98,189008,89891,0,0,4584378,99117,8166,8138,0,0,198377,28,19,20.000000,29
4,KearnsVazirani,buchi,cex-first,25,98,189008,89891,0,0,4584413,99117,8166,8138,0,0,198380,28,13,20.000000,29
4,KearnsVazirani,buchi,cex-first,27,98,189008,89891,0,0,4584521,99117,8166,8138,0,0,198383,28,40,20.000000,29
4,KearnsVazirani,buchi,cex-first,28,101,206490,95451,0,0,5119889,111039,8590,8560,0,0,222145,30,25,20.000000,31
4,KearnsVazirani,buchi,cex-first,29,104,225761,100501,0,0,5664438,125260,9072,9040,0,0,246628,32,21,20.000000,33
4,KearnsVazirani,buchi,cex-first,32,104,225761,100501,0,0,5664529,125260,9072,9040,0,0,246631,32,33,20.000000,33
4,KearnsVazirani,buchi,cex-first,33,107,244001,104103,0,0,6003119,139898,9449,9415,0,0,271708,34,15,20.000000,35
4,KearnsVazirani,buchi,cex-first,34,107,244001,104103,0,0,6003191,139898,9449,9415,0,0,271711,34,26,20.000000,35
4,KearnsVazirani,buchi,cex-first,35,107,244001,104103,0,0,6003226,139898,9449,9415,0,0,271714,34,13,20.000000,35
4,KearnsVazirani,buchi,cex-first,36,107,244001,104103,0,0,6003307,139898,9449,9415,0,0,271717,34,29,20.000000,35
4,KearnsVazirani,buchi,cex-first,37,108,283268,106977,0,0,6606523,176291,9618,9583,0,0,284554,35,25,20.000000,36
4,KearnsVazirani,buchi,cex-first,38,108,283268,106977,0,0,6606615,176291,9618,9583,0,0,284557,35,32,20.000000,36
4,KearnsVazirani,buchi,cex-first,39,108,283268,106977,0,0,6606650,176291,9618,9583,0,0,284560,35,13,20.000000,36
4,KearnsVazirani,buchi,cex-first,41,116,338735,131537,0,0,8691563,207198,10898,10859,0,0,337714,39,43,20.000000,40
4,KearnsVazirani,buchi,cex-first,42,121,359881,133760,0,0,9767650,226121,11260,11218,0,0,380067,42,37,20.000000,43
4,KearnsVazirani,buchi,cex-first,43,121,359881,133760,0,0,9767755,226121,11260,11218,0,0,380070,42,37,20.000000,43
4,KearnsVazirani,buchi,cex-first,44,121,359881,133760,0,0,9767808,226121,11260,11218,0,0,380072,42,28,20.000000,43
4,KearnsVazirani,buchi,cex-first,45,122,365003,136440,0,0,10094582,228563,11438,11395,0,0,394595,43,26,20.000000,44
4,KearnsVazirani,buchi,cex-first,47,122,365003,136440,0,0,10094677,228563,11438,11395,0,0,394598,43,33,20.000000,44
4,KearnsVazirani,buchi,cex-first,48,122,365003,136440,0,0,10094724,228563,11438,11395,0,0,394600,43,24,20.000000,44
4,KearnsVazirani,buchi,cex-first,49,123,372504,139037,0,0,10460751,233467,11625,11581,0,0,409242,44,14,20.000000,45
4,KearnsVazirani,buchi,cex-first,50,123,372504,139037,0,0,10460825,233467,11625,11581,0,0,409245,44,26,20.000000,45
4,KearnsVazirani,buchi,cex-first,52,123,372504,139037,0,0,10460891,233467,11625,11581,0,0,409248,44,26,20.000000,45
4,KearnsVazirani,buchi,cex-first,56,138,441863,147024,0,0,11541949,294839,12632,12584,0,0,470568,48,21,20.000000,49
4,KearnsVazirani,buchi,cex-first,57,138,441863,147024,0,0,11542032,294839,12632,12584,0,0,470571,48,33,20.000000,49
4,KearnsVazirani,buchi,cex-first,58,138,441863,147024,0,0,11542110,294839,12632,12584,0,0,470574,48,30,20.000000,49
4,KearnsVazirani,buchi,cex-first,60,138,441863,147024,0,0,11542145,294839,12632,12584,0,0,470577,48,13,20.000000,49
4,KearnsVazirani,buchi,cex-first,61,138,441863,147024,0,0,11542234,294839,12632,12584,0,0,470580,48,31,20.000000,49
4,KearnsVazirani,buchi,cex-first,64,138,441863,147024,0,0,11542251,294839,12632,12584,0,0,470582,48,9,20.000000,49
4,KearnsVazirani,buchi,cex-first,65,138,441863,147024,0,0,11542267,294839,12632,12584,0,0,470584,48,9,20.000000,49
4,KearnsVazirani,buchi,cex-first,66,138,441863,147024,0,0,11542302,294839,12632,12584,0,0,470587,48,13,20.000000,49
4,KearnsVazirani,buchi,cex-first,68,138,441863,147024,0,0,11542336,294839,12632,12584,0,0,470589,48,20,20.000000,49
4,KearnsVazirani,buchi,cex-first,71,138,441863,147024,0,0,11542357,294839,12632,12584,0,0,470591,48,11,20.000000,49
4,KearnsVazirani,buchi,cex-first,72,138,441863,147024,0,0,11542392,294839,12632,12584,0,0,470594,48,13,20.000000,49
4,KearnsVazirani,buchi,cex-first,76,138,441863,147024,0,0,11542416,294839,12632,12584,0,0,470596,48,13,20.000000,49
4,KearnsVazirani,buchi,cex-first,77,138,441863,147024,0,0,11542451,294839,12632,12584,0,0,470599,48,13,20.000000,49
4,KearnsVazirani,buchi,cex-first,78,138,441863,147024,0,0,11542464,294839,12632,12584,0,0,470601,48,7,20.000000,49
4,KearnsVazirani,buchi,cex-first,80,138,441863,147024,0,0,11542475,294839,12632,12584,0,0,470603,48,6,20.000000,49
4,KearnsVazirani,buchi,cex-first,81,138,441863,147024,0,0,11542486,294839,12632,12584,0,0,470605,48,6,20.000000,49
4,KearnsVazirani,buchi,cex-first,83,138,441863,147024,0,0,11542507,294839,12632,12584,0,0,470607,48,11,20.000000,49
4,KearnsVazirani,buchi,cex-first,84,138,441863,147024,0,0,11542533,294839,12632,12584,0,0,470609,48,14,20.000000,49
4,KearnsVazirani,buchi,cex-first,85,138,441863,147024,0,0,11542595,294839,12632,12584,0,0,470612,48,22,20.000000,49
4,KearnsVazirani,buchi,cex-first,86,138,441863,147024,0,0,11542638,294839,12632,12584,0,0,470614,48,22,20.000000,49
4,KearnsVazirani,buchi,cex-first,87,138,441863,147024,0,0,11542659,294839,12632,12584,0,0,470616,48,11,20.000000,49
4,KearnsVazirani,buchi,cex-first,89,138,441863,147024,0,0,11542694,294839,12632,12584,0,0,470619,48,13,20.000000,49
