problem,learner,aut,bbo,property,size,realsymbols,learnsymbols,eqsymbols,emsymbols,emosymbols,insymbols,realqueries,learnqueries,eqqueries,emqueries,emoqueries,inqueries,length,multiplier,refinements
4,KearnsVazirani,monitor-buchi,cex-first,1,13,2196,2014,0,32,7560,150,455,447,0,5,1000,3,8,20.000000,4
4,KearnsVazirani,monitor-buchi,cex-first,2,49,30315,16735,0,32,526499,13548,2682,2664,0,5,52190,13,6,20.000000,14
4,KearnsVazirani,monitor-buchi,cex-first,3,49,30315,16735,0,32,526525,13548,2682,2664,0,5,52192,13,14,20.000000,14
4,KearnsVazirani,monitor-buchi,cex-first,4,76,42615,28773,0,243,1103810,13599,4663,4604,0,38,71466,21,7,20.000000,22
4,KearnsVazirani,monitor-buchi,cex-first,5,76,42616,28773,0,244,1103810,13599,4664,4604,0,39,71466,21,1,20.000000,22
4,KearnsVazirani,monitor-buchi,cex-first,7,76,42617,28773,0,245,1103810,13599,4665,4604,0,40,71466,21,1,20.000000,22
4,KearnsVazirani,monitor-buchi,cex-first,9,82,46617,32730,0,281,1243650,13606,5275,5208,0,45,74506,22,8,20.000000,23
4,KearnsVazirani,monitor-buchi,cex-first,10,82,46623,32730,0,287,1243650,13606,5276,5208,0,46,74506,22,6,20.000000,23
4,KearnsVazirani,monitor-buchi,cex-first,12,86,49693,35625,0,428,1630190,13640,5702,5618,0,59,84546,25,5,20.000000,26
4,KearnsVazirani,monitor-buchi,cex-first,14,86,49695,35625,0,430,1630190,13640,5703,5618,0,60,84546,25,2,20.000000,26
4,KearnsVazirani,monitor-buchi,cex-first,16,86,49698,35625,0,433,1630190,13640,5704,5618,0,61,84546,25,3,20.000000,26
4,KearnsVazirani,monitor-buchi,cex-first,17,98,55213,41011,0,538,2096590,13664,6504,6402,0,74,95146,28,9,20.000000,29
4,KearnsVazirani,monitor-buchi,cex-first,19,98,55215,41011,0,540,2096590,13664,6505,6402,0,75,95146,28,2,20.000000,29
4,KearnsVazirani,monitor-buchi,cex-first,21,98,55216,41011,0,541,2096590,13664,6506,6402,0,76,95146,28,1,20.000000,29
4,KearnsVazirani,monitor-buchi,cex-first,22,98,55221,41011,0,546,2096590,13664,6507,6402,0,77,95146,28,5,20.000000,29
4,KearnsVazirani,monitor-buchi,cex-first,24,98,55224,41011,0,549,2096590,13664,6508,6402,0,78,95146,28,3,20.000000,29
4,KearnsVazirani,monitor-buchi,cex-first,25,98,55228,41011,0,553,2096590,13664,6509,6402,0,79,95146,28,4,20.000000,29
4,KearnsVazirani,monitor-buchi,cex-first,27,98,55230,41011,0,555,2096590,13664,6510,6402,0,80,95146,28,2,20.000000,29
4,KearnsVazirani,monitor-buchi,cex-first,28,98,55233,41011,0,558,2096590,13664,6511,6402,0,81,95146,28,3,20.000000,29
4,KearnsVazirani,monitor-buchi,cex-first,29,99,66484,42450,0,558,2402311,23476,6659,6549,0,81,110825,29,21,20.000000,30
4,KearnsVazirani,monitor-buchi,cex-first,32,101,74498,46479,0,558,2814242,27461,6960,6849,0,81,126668,30,33,20.000000,31
4,KearnsVazirani,monitor-buchi,cex-first,33,101,74504,46479,0,564,2814279,27461,6961,6849,0,82,126671,30,15,20.000000,31
4,KearnsVazirani,monitor-buchi,cex-first,34,105,83599,53274,0,772,3725051,29553,7553,7425,0,94,155194,34,26,20.000000,35
4,KearnsVazirani,monitor-buchi,cex-first,35,105,83601,53274,0,774,3725051,29553,7554,7425,0,95,155194,34,2,20.000000,35
4,KearnsVazirani,monitor-buchi,cex-first,36,105,83606,53274,0,779,3725051,29553,7555,7425,0,96,155194,34,5,20.000000,35
4,KearnsVazirani,monitor-buchi,cex-first,37,105,83613,53274,0,786,3725051,29553,7556,7425,0,97,155194,34,7,20.000000,35
