problem,learner,aut,bbo,property,size,realsymbols,learnsymbols,eqsymbols,emsymbols,emosymbols,insymbols,realqueries,learnqueries,eqqueries,emqueries,emoqueries,inqueries,length,multiplier,refinements
4,MalerPnueli,monitor,disprove-first,5,1,11,10,0,1,0,0,12,11,0,1,0,0,1,20.000000,1
4,MalerPnueli,monitor,disprove-first,7,1,12,10,0,2,0,0,13,11,0,2,0,0,1,20.000000,1
4,MalerPnueli,monitor,disprove-first,21,1,13,10,0,3,0,0,14,11,0,3,0,0,1,20.000000,1
4,MalerPnueli,monitor,disprove-first,60,1,14,10,0,4,0,0,15,11,0,4,0,0,1,20.000000,1
4,MalerPnueli,monitor,disprove-first,77,1,15,10,0,5,0,0,16,11,0,5,0,0,1,20.000000,1
4,MalerPnueli,monitor,disprove-first,89,1,16,10,0,6,0,0,17,11,0,6,0,0,1,20.000000,1
4,MalerPnueli,monitor,disprove-first,14,5,664,633,12,19,0,0,226,204,12,10,0,0,2,20.000000,2
4,MalerPnueli,monitor,disprove-first,16,5,667,633,12,22,0,0,227,204,12,11,0,0,3,20.000000,2
4,MalerPnueli,monitor,disprove-first,19,5,673,633,12,28,0,0,229,204,12,13,0,0,2,20.000000,2
4,MalerPnueli,monitor,disprove-first,24,5,680,633,12,35,0,0,231,204,12,15,0,0,3,20.000000,2
4,MalerPnueli,monitor,disprove-first,28,5,685,633,12,40,0,0,233,204,12,17,0,0,3,20.000000,2
4,MalerPnueli,monitor,disprove-first,35,5,692,633,12,47,0,0,235,204,12,19,0,0,2,20.000000,2
4,MalerPnueli,monitor,disprove-first,38,5,698,633,12,53,0,0,237,204,12,21,0,0,2,20.000000,2
4,MalerPnueli,monitor,disprove-first,42,5,700,633,12,55,0,0,238,204,12,22,0,0,2,20.000000,2
4,MalerPnueli,monitor,disprove-first,50,5,718,633,12,73,0,0,242,204,12,26,0,0,4,20.000000,2
4,MalerPnueli,monitor,disprove-first,87,5,741,633,12,96,0,0,247,204,12,31,0,0,3,20.000000,2
4,MalerPnueli,monitor,disprove-first,92,5,748,633,12,103,0,0,249,204,12,33,0,0,2,20.000000,2
