problem,learner,aut,bbo,property,size,realsymbols,learnsymbols,eqsymbols,emsymbols,emosymbols,insymbols,realqueries,learnqueries,eqqueries,emqueries,emoqueries,inqueries,length,multiplier,refinements
4,RivestSchapire,buchi,cex-first,1,183,56542875,56473898,0,0,1381926,68977,23970,23958,0,0,104997,12,28,20.000000,13
4,RivestSchapire,buchi,cex-first,2,185,57190271,57113972,0,0,1535603,76299,26097,26084,0,0,126953,13,6,20.000000,14
4,RivestSchapire,buchi,cex-first,3,185,57190271,57113972,0,0,1535629,76299,26097,26084,0,0,126955,13,14,20.000000,14
4,RivestSchapire,buchi,cex-first,4,185,57190271,57113972,0,0,1535713,76299,26097,26084,0,0,126958,13,32,20.000000,14
4,RivestSchapire,buchi,cex-first,5,185,57190271,57113972,0,0,1535748,76299,26097,26084,0,0,126961,13,13,20.000000,14
4,RivestSchapire,buchi,cex-first,7,185,57190271,57113972,0,0,1535783,76299,26097,26084,0,0,126964,13,13,20.000000,14
4,RivestSchapire,buchi,cex-first,9,185,57190271,57113972,0,0,1535893,76299,26097,26084,0,0,126967,13,38,20.000000,14
4,RivestSchapire,buchi,cex-first,10,185,57190271,57113972,0,0,1535953,76299,26097,26084,0,0,126970,13,22,20.000000,14
4,RivestSchapire,buchi,cex-first,12,185,57190271,57113972,0,0,1535964,76299,26097,26084,0,0,126972,13,6,20.000000,14
4,RivestSchapire,buchi,cex-first,14,185,57190271,57113972,0,0,1536039,76299,26097,26084,0,0,126975,13,29,20.000000,14
4,RivestSchapire,buchi,cex-first,16,185,57190271,57113972,0,0,1536074,76299,26097,26084,0,0,126978,13,13,20.000000,14
4,RivestSchapire,buchi,cex-first,17,185,57190271,57113972,0,0,1536185,76299,26097,26084,0,0,126981,13,41,20.000000,14
4,RivestSchapire,buchi,cex-first,19,185,57190271,57113972,0,0,1536329,76299,26097,26084,0,0,126984,13,52,20.000000,14
4,RivestSchapire,buchi,cex-first,21,185,57190271,57113972,0,0,1536364,76299,26097,26084,0,0,126987,13,13,20.000000,14
4,RivestSchapire,buchi,cex-first,22,185,57190271,57113972,0,0,1536399,76299,26097,26084,0,0,126990,13,13,20.000000,14
4,RivestSchapire,buchi,cex-first,24,185,57190271,57113972,0,0,1536444,76299,26097,26084,0,0,126993,13,19,20.000000,14
4,RivestSchapire,buchi,cex-first,25,185,57190271,57113972,0,0,1536479,76299,26097,26084,0,0,126996,13,13,20.000000,14
4,RivestSchapire,buchi,cex-first,27,185,57190271,57113972,0,0,1536587,76299,26097,26084,0,0,126999,13,40,20.000000,14
4,RivestSchapire,buchi,cex-first,28,185,57190271,57113972,0,0,1536635,76299,26097,26084,0,0,127001,13,25,20.000000,14
4,RivestSchapire,buchi,cex-first,29,185,57190271,57113972,0,0,1536684,76299,26097,26084,0,0,127004,13,21,20.000000,14
4,RivestSchapire,buchi,cex-first,32,185,57190271,57113972,0,0,1536775,76299,26097,26084,0,0,127007,13,33,20.000000,14
4,RivestSchapire,buchi,cex-first,33,185,57190271,57113972,0,0,1536812,76299,26097,26084,0,0,127010,13,15,20.000000,14
4,RivestSchapire,buchi,cex-first,34,185,57190271,57113972,0,0,1536884,76299,26097,26084,0,0,127013,13,26,20.000000,14
4,RivestSchapire,buchi,cex-first,35,185,57190271,57113972,0,0,1536919,76299,26097,26084,0,0,127016,13,13,20.000000,14
4,RivestSchapire,buchi,cex-first,36,185,57190271,57113972,0,0,1537000,76299,26097,26084,0,0,127019,13,29,20.000000,14
4,RivestSchapire,buchi,cex-first,37,185,57190271,57113972,0,0,1537069,76299,26097,26084,0,0,127022,13,25,20.000000,14
