problem,learner,aut,bbo,property,size,realsymbols,learnsymbols,eqsymbols,emsymbols,emosymbols,insymbols,realqueries,learnqueries,eqqueries,emqueries,emoqueries,inqueries,length,multiplier,refinements
5,ADT,monitor,cex-first,19,1,16,15,0,1,0,0,17,16,0,1,0,0,1,25.000000,1
5,ADT,monitor,cex-first,21,1,17,15,0,2,0,0,18,16,0,2,0,0,1,25.000000,1
5,ADT,monitor,cex-first,26,1,18,15,0,3,0,0,19,16,0,3,0,0,1,25.000000,1
5,ADT,monitor,cex-first,33,1,19,15,0,4,0,0,20,16,0,4,0,0,1,25.000000,1
5,ADT,monitor,cex-first,47,1,20,15,0,5,0,0,21,16,0,5,0,0,1,25.000000,1
5,ADT,monitor,cex-first,61,1,21,15,0,6,0,0,22,16,0,6,0,0,1,25.000000,1
5,ADT,monitor,cex-first,75,1,22,15,0,7,0,0,23,16,0,7,0,0,1,25.000000,1
5,ADT,monitor,cex-first,80,1,23,15,0,8,0,0,24,16,0,8,0,0,1,25.000000,1
5,ADT,monitor,cex-first,83,1,24,15,0,9,0,0,25,16,0,9,0,0,1,25.000000,1
5,ADT,monitor,cex-first,87,1,25,15,0,10,0,0,26,16,0,10,0,0,1,25.000000,1
5,ADT,monitor,cex-first,93,1,26,15,0,11,0,0,27,16,0,11,0,0,1,25.000000,1
5,ADT,monitor,cex-first,31,2,122,90,19,13,0,0,76,46,18,12,0,0,2,25.000000,2
5,ADT,monitor,cex-first,89,2,124,90,19,15,0,0,77,46,18,13,0,0,2,25.000000,2
5,ADT,monitor,cex-first,3,10,1320,1088,206,24,0,2,318,219,81,17,0,1,3,25.000000,4
5,ADT,monitor,cex-first,0,50,9367,8968,206,151,0,42,1188,1072,81,30,0,5,7,25.000000,8
5,ADT,monitor,cex-first,1,60,13056,12617,206,183,0,50,1498,1377,81,34,0,6,8,25.000000,9
5,ADT,monitor,cex-first,2,60,13065,12617,206,192,0,50,1499,1377,81,35,0,6,9,25.000000,9
5,ADT,monitor,cex-first,4,62,14268,13789,206,217,0,56,1615,1488,81,39,0,7,7,25.000000,10
5,ADT,monitor,cex-first,7,74,17845,17302,206,267,0,70,1939,1803,81,46,0,9,8,25.000000,12
5,ADT,monitor,cex-first,8,76,18572,18003,206,288,0,75,2004,1863,81,50,0,10,6,25.000000,13
5,ADT,monitor,cex-first,12,80,19626,18975,206,352,0,93,2130,1980,81,57,0,12,10,25.000000,15
5,ADT,monitor,cex-first,13,109,55165,54403,206,437,0,119,5397,5230,81,70,0,16,7,25.000000,19
5,ADT,monitor,cex-first,16,115,57518,56673,206,501,0,138,5605,5425,81,80,0,19,7,25.000000,22
5,ADT,monitor,cex-first,17,115,57524,56673,206,507,0,138,5606,5425,81,81,0,19,6,25.000000,22
5,ADT,monitor,cex-first,18,116,58063,57172,206,539,0,146,5657,5471,81,85,0,20,8,25.000000,23
5,ADT,monitor,cex-first,20,116,58067,57172,206,543,0,146,5658,5471,81,86,0,20,4,25.000000,23
5,ADT,monitor,cex-first,22,116,58072,57172,206,548,0,146,5659,5471,81,87,0,20,5,25.000000,23
5,ADT,monitor,cex-first,23,119,58862,57932,206,572,0,152,5730,5537,81,91,0,21,6,25.000000,24
5,ADT,monitor,cex-first,29,119,58865,57932,206,575,0,152,5731,5537,81,92,0,21,3,25.000000,24
