problem,learner,aut,bbo,property,size,realsymbols,learnsymbols,eqsymbols,emsymbols,emosymbols,insymbols,realqueries,learnqueries,eqqueries,emqueries,emoqueries,inqueries,length,multiplier,refinements
5,ADT,monitor,disprove-first,19,1,16,15,0,1,0,0,17,16,0,1,0,0,1,25.000000,1
5,ADT,monitor,disprove-first,21,1,17,15,0,2,0,0,18,16,0,2,0,0,1,25.000000,1
5,ADT,monitor,disprove-first,26,1,18,15,0,3,0,0,19,16,0,3,0,0,1,25.000000,1
5,ADT,monitor,disprove-first,33,1,19,15,0,4,0,0,20,16,0,4,0,0,1,25.000000,1
5,ADT,monitor,disprove-first,47,1,20,15,0,5,0,0,21,16,0,5,0,0,1,25.000000,1
5,ADT,monitor,disprove-first,61,1,21,15,0,6,0,0,22,16,0,6,0,0,1,25.000000,1
5,ADT,monitor,disprove-first,75,1,22,15,0,7,0,0,23,16,0,7,0,0,1,25.000000,1
5,ADT,monitor,disprove-first,80,1,23,15,0,8,0,0,24,16,0,8,0,0,1,25.000000,1
5,ADT,monitor,disprove-first,83,1,24,15,0,9,0,0,25,16,0,9,0,0,1,25.000000,1
5,ADT,monitor,disprove-first,87,1,25,15,0,10,0,0,26,16,0,10,0,0,1,25.000000,1
5,ADT,monitor,disprove-first,93,1,26,15,0,11,0,0,27,16,0,11,0,0,1,25.000000,1
5,ADT,monitor,disprove-first,31,2,122,90,19,13,0,0,76,46,18,12,0,0,2,25.000000,2
5,ADT,monitor,disprove-first,89,2,124,90,19,15,0,0,77,46,18,13,0,0,2,25.000000,2
5,ADT,monitor,disprove-first,35,3,451,225,206,20,0,0,176,80,81,15,0,0,3,25.000000,3
5,ADT,monitor,disprove-first,3,10,1325,1088,206,29,0,2,320,219,81,19,0,1,3,25.000000,4
5,ADT,monitor,disprove-first,17,10,1357,1088,206,61,0,2,323,219,81,22,0,1,7,25.000000,4
5,ADT,monitor,disprove-first,29,10,1363,1088,206,67,0,2,324,219,81,23,0,1,6,25.000000,4
5,ADT,monitor,disprove-first,37,10,1366,1088,206,70,0,2,325,219,81,24,0,1,3,25.000000,4
5,ADT,monitor,disprove-first,49,10,1381,1088,206,85,0,2,328,219,81,27,0,1,7,25.000000,4
5,ADT,monitor,disprove-first,54,10,1400,1088,206,104,0,2,330,219,81,29,0,1,7,25.000000,4
5,ADT,monitor,disprove-first,82,10,1482,1088,206,186,0,2,340,219,81,39,0,1,6,25.000000,4
5,ADT,monitor,disprove-first,94,10,1488,1088,206,192,0,2,341,219,81,40,0,1,6,25.000000,4
5,ADT,monitor,disprove-first,22,16,2594,2033,206,343,0,12,487,347,81,57,0,2,5,25.000000,5
5,ADT,monitor,disprove-first,32,16,2596,2033,206,345,0,12,488,347,81,58,0,2,2,25.000000,5
5,ADT,monitor,disprove-first,41,16,2616,2033,206,365,0,12,491,347,81,61,0,2,6,25.000000,5
5,ADT,monitor,disprove-first,69,18,3627,2719,206,680,0,22,618,427,81,107,0,3,7,25.000000,6
5,ADT,monitor,disprove-first,2,44,8475,7448,206,785,0,36,1123,917,81,121,0,4,9,25.000000,7
5,ADT,monitor,disprove-first,18,44,8522,7448,206,832,0,36,1130,917,81,128,0,4,9,25.000000,7
5,ADT,monitor,disprove-first,20,44,8527,7448,206,837,0,36,1131,917,81,129,0,4,5,25.000000,7
5,ADT,monitor,disprove-first,23,44,8533,7448,206,843,0,36,1132,917,81,130,0,4,6,25.000000,7
5,ADT,monitor,disprove-first,34,44,8546,7448,206,856,0,36,1134,917,81,132,0,4,5,25.000000,7
5,ADT,monitor,disprove-first,46,44,8574,7448,206,884,0,36,1138,917,81,136,0,4,3,25.000000,7
5,ADT,monitor,disprove-first,58,44,8604,7448,206,914,0,36,1143,917,81,141,0,4,4,25.000000,7
5,ADT,monitor,disprove-first,62,44,8618,7448,206,928,0,36,1145,917,81,143,0,4,7,25.000000,7
5,ADT,monitor,disprove-first,63,44,8626,7448,206,936,0,36,1146,917,81,144,0,4,8,25.000000,7
5,ADT,monitor,disprove-first,67,44,8636,7448,206,946,0,36,1148,917,81,146,0,4,3,25.000000,7
5,ADT,monitor,disprove-first,72,44,8647,7448,206,957,0,36,1150,917,81,148,0,4,6,25.000000,7
5,ADT,monitor,disprove-first,86,44,8664,7448,206,974,0,36,1153,917,81,151,0,4,4,25.000000,7
5,ADT,monitor,disprove-first,98,44,8688,7448,206,998,0,36,1157,917,81,155,0,4,5,25.000000,7
5,ADT,monitor,disprove-first,99,44,8692,7448,206,1002,0,36,1158,917,81,156,0,4,4,25.000000,7
