problem,learner,aut,bbo,property,size,realsymbols,learnsymbols,eqsymbols,emsymbols,emosymbols,insymbols,realqueries,learnqueries,eqqueries,emqueries,emoqueries,inqueries,length,multiplier,refinements
5,ADT,monitor-buchi,cex-first,3,14,1798,1708,0,11,1663,79,288,280,0,5,746,3,3,25.000000,4
5,ADT,monitor-buchi,cex-first,8,14,1808,1708,0,21,1663,79,289,280,0,6,746,3,10,25.000000,4
5,ADT,monitor-buchi,cex-first,0,36,6474,6292,0,88,182501,94,751,736,0,11,1348,4,7,25.000000,5
5,ADT,monitor-buchi,cex-first,1,44,9332,9033,0,183,3795976,116,994,963,0,24,6173,7,7,25.000000,8
5,ADT,monitor-buchi,cex-first,2,47,10456,10105,0,226,3867443,125,1086,1049,0,29,8372,8,7,25.000000,9
5,ADT,monitor-buchi,cex-first,4,68,24213,23700,0,357,14806143,156,2282,2219,0,50,18722,13,7,25.000000,14
5,ADT,monitor-buchi,cex-first,7,81,38155,37519,0,457,35514393,179,3398,3319,0,63,24272,16,8,25.000000,17
5,ADT,monitor-buchi,cex-first,12,90,54910,54139,0,567,54278568,204,4749,4654,0,76,34547,19,10,25.000000,20
5,ADT,monitor-buchi,cex-first,13,91,55899,55086,0,602,54352818,211,4816,4715,0,81,39047,20,7,25.000000,21
5,ADT,monitor-buchi,cex-first,16,99,86405,56924,0,653,191139543,28828,5001,4886,0,90,76997,25,7,25.000000,23
5,ADT,monitor-buchi,cex-first,17,99,86411,56924,0,659,191139543,28828,5002,4886,0,91,76997,25,6,25.000000,23
5,ADT,monitor-buchi,cex-first,18,101,97469,57831,0,700,254470843,38938,5076,4953,0,96,89572,27,9,25.000000,24
5,ADT,monitor-buchi,cex-first,19,101,97470,57831,0,701,254470843,38938,5077,4953,0,97,89572,27,1,25.000000,24
5,ADT,monitor-buchi,cex-first,20,101,97474,57831,0,705,254470843,38938,5078,4953,0,98,89572,27,4,25.000000,24
5,ADT,monitor-buchi,cex-first,21,101,97475,57831,0,706,254470843,38938,5079,4953,0,99,89572,27,1,25.000000,24
5,ADT,monitor-buchi,cex-first,22,101,97480,57831,0,711,254470843,38938,5080,4953,0,100,89572,27,5,25.000000,24
5,ADT,monitor-buchi,cex-first,23,101,97486,57831,0,717,254470843,38938,5081,4953,0,101,89572,27,6,25.000000,24
5,ADT,monitor-buchi,cex-first,26,103,372415,302027,0,718,411953643,69670,5214,5082,0,102,120272,30,1,25.000000,25
5,ADT,monitor-buchi,cex-first,29,103,372418,302027,0,721,411953643,69670,5215,5082,0,103,120272,30,3,25.000000,25
5,ADT,monitor-buchi,cex-first,30,103,372425,302027,0,728,411953643,69670,5216,5082,0,104,120272,30,7,25.000000,25
5,ADT,monitor-buchi,cex-first,31,103,372427,302027,0,730,411953643,69670,5217,5082,0,105,120272,30,2,25.000000,25
5,ADT,monitor-buchi,cex-first,32,103,372429,302027,0,732,411953643,69670,5218,5082,0,106,120272,30,2,25.000000,25
5,ADT,monitor-buchi,cex-first,33,103,372430,302027,0,733,411953643,69670,5219,5082,0,107,120272,30,1,25.000000,25
5,ADT,monitor-buchi,cex-first,34,103,372435,302027,0,738,411953643,69670,5220,5082,0,108,120272,30,5,25.000000,25
5,ADT,monitor-buchi,cex-first,35,103,372438,302027,0,741,411953643,69670,5221,5082,0,109,120272,30,3,25.000000,25
5,ADT,monitor-buchi,cex-first,37,103,372441,302027,0,744,411953643,69670,5222,5082,0,110,120272,30,3,25.000000,25
5,ADT,monitor-buchi,cex-first,38,103,372447,302027,0,750,411953643,69670,5223,5082,0,111,120272,30,6,25.000000,25
5,ADT,monitor-buchi,cex-first,39,103,372452,302027,0,755,411953643,69670,5224,5082,0,112,120272,30,5,25.000000,25
5,ADT,monitor-buchi,cex-first,41,103,372456,302027,0,759,411953643,69670,5225,5082,0,113,120272,30,4,25.000000,25
5,ADT,monitor-buchi,cex-first,44,104,403948,302272,0,818,587339118,100858,5265,5112,0,118,164347,35,11,25.000000,26
5,ADT,monitor-buchi,cex-first,46,104,414357,302272,0,821,641502318,111264,5267,5112,0,119,174747,36,3,25.000000,26
5,ADT,monitor-buchi,cex-first,47,104,414358,302272,0,822,641502318,111264,5268,5112,0,120,174747,36,1,25.000000,26
5,ADT,monitor-buchi,cex-first,49,104,419567,302272,0,825,668615118,116470,5270,5112,0,121,185147,37,3,25.000000,26
5,ADT,monitor-buchi,cex-first,51,104,419573,302272,0,831,668615118,116470,5271,5112,0,122,185147,37,6,25.000000,26
5,ADT,monitor-buchi,cex-first,54,105,419868,302516,0,906,986009893,158519,5308,5142,0,132,258622,44,3,25.000000,27
5,ADT,monitor-buchi,cex-first,56,105,419876,302516,0,914,986009893,158519,5309,5142,0,133,258622,44,8,25.000000,27
