problem,learner,aut,bbo,property,size,realsymbols,learnsymbols,eqsymbols,emsymbols,emosymbols,insymbols,realqueries,learnqueries,eqqueries,emqueries,emoqueries,inqueries,length,multiplier,refinements
5,DiscriminationTree,monitor,disprove-first,19,1,16,15,0,1,0,0,17,16,0,1,0,0,1,25.000000,1
5,DiscriminationTree,monitor,disprove-first,21,1,17,15,0,2,0,0,18,16,0,2,0,0,1,25.000000,1
5,DiscriminationTree,monitor,disprove-first,26,1,18,15,0,3,0,0,19,16,0,3,0,0,1,25.000000,1
5,DiscriminationTree,monitor,disprove-first,33,1,19,15,0,4,0,0,20,16,0,4,0,0,1,25.000000,1
5,DiscriminationTree,monitor,disprove-first,47,1,20,15,0,5,0,0,21,16,0,5,0,0,1,25.000000,1
5,DiscriminationTree,monitor,disprove-first,61,1,21,15,0,6,0,0,22,16,0,6,0,0,1,25.000000,1
5,DiscriminationTree,monitor,disprove-first,75,1,22,15,0,7,0,0,23,16,0,7,0,0,1,25.000000,1
5,DiscriminationTree,monitor,disprove-first,80,1,23,15,0,8,0,0,24,16,0,8,0,0,1,25.000000,1
5,DiscriminationTree,monitor,disprove-first,83,1,24,15,0,9,0,0,25,16,0,9,0,0,1,25.000000,1
5,DiscriminationTree,monitor,disprove-first,87,1,25,15,0,10,0,0,26,16,0,10,0,0,1,25.000000,1
5,DiscriminationTree,monitor,disprove-first,93,1,26,15,0,11,0,0,27,16,0,11,0,0,1,25.000000,1
5,DiscriminationTree,monitor,disprove-first,31,2,156,124,19,13,0,0,95,65,18,12,0,0,2,25.000000,2
5,DiscriminationTree,monitor,disprove-first,89,2,158,124,19,15,0,0,96,65,18,13,0,0,2,25.000000,2
5,DiscriminationTree,monitor,disprove-first,35,3,584,358,206,20,0,0,225,129,81,15,0,0,3,25.000000,3
5,DiscriminationTree,monitor,disprove-first,3,10,2332,2095,206,29,0,2,564,463,81,19,0,1,3,25.000000,4
5,DiscriminationTree,monitor,disprove-first,17,10,2364,2095,206,61,0,2,567,463,81,22,0,1,7,25.000000,4
5,DiscriminationTree,monitor,disprove-first,29,10,2370,2095,206,67,0,2,568,463,81,23,0,1,6,25.000000,4
5,DiscriminationTree,monitor,disprove-first,37,10,2373,2095,206,70,0,2,569,463,81,24,0,1,3,25.000000,4
5,DiscriminationTree,monitor,disprove-first,49,10,2388,2095,206,85,0,2,572,463,81,27,0,1,7,25.000000,4
5,DiscriminationTree,monitor,disprove-first,54,10,2407,2095,206,104,0,2,574,463,81,29,0,1,7,25.000000,4
5,DiscriminationTree,monitor,disprove-first,82,10,2489,2095,206,186,0,2,584,463,81,39,0,1,6,25.000000,4
5,DiscriminationTree,monitor,disprove-first,94,10,2495,2095,206,192,0,2,585,463,81,40,0,1,6,25.000000,4
5,DiscriminationTree,monitor,disprove-first,0,34,12747,12277,206,252,0,12,2074,1944,81,47,0,2,7,25.000000,5
5,DiscriminationTree,monitor,disprove-first,22,34,12827,12277,206,332,0,12,2085,1944,81,58,0,2,5,25.000000,5
5,DiscriminationTree,monitor,disprove-first,32,34,12841,12277,206,346,0,12,2088,1944,81,61,0,2,2,25.000000,5
5,DiscriminationTree,monitor,disprove-first,41,34,12870,12277,206,375,0,12,2092,1944,81,65,0,2,4,25.000000,5
5,DiscriminationTree,monitor,disprove-first,46,34,12882,12277,206,387,0,12,2094,1944,81,67,0,2,4,25.000000,5
5,DiscriminationTree,monitor,disprove-first,67,34,12933,12277,206,438,0,12,2103,1944,81,76,0,2,3,25.000000,5
5,DiscriminationTree,monitor,disprove-first,86,34,12968,12277,206,473,0,12,2109,1944,81,82,0,2,4,25.000000,5
5,DiscriminationTree,monitor,disprove-first,98,34,12994,12277,206,499,0,12,2113,1944,81,86,0,2,5,25.000000,5
5,DiscriminationTree,monitor,disprove-first,1,37,14016,13266,206,525,0,19,2304,2130,81,90,0,3,9,25.000000,6
5,DiscriminationTree,monitor,disprove-first,58,37,14158,13266,206,667,0,19,2324,2130,81,110,0,3,4,25.000000,6
5,DiscriminationTree,monitor,disprove-first,62,37,14171,13266,206,680,0,19,2326,2130,81,112,0,3,7,25.000000,6
5,DiscriminationTree,monitor,disprove-first,99,37,14245,13266,206,754,0,19,2337,2130,81,123,0,3,4,25.000000,6
5,DiscriminationTree,monitor,disprove-first,8,59,30802,29755,206,809,0,32,4246,4032,81,129,0,4,7,25.000000,7
