problem,learner,aut,bbo,property,size,realsymbols,learnsymbols,eqsymbols,emsymbols,emosymbols,insymbols,realqueries,learnqueries,eqqueries,emqueries,emoqueries,inqueries,length,multiplier,refinements
5,ExtensibleLStar,monitor,disprove-first,0,221,378066,378060,0,6,0,0,53057,53056,0,1,0,0,6,25.000000,1
5,ExtensibleLStar,monitor,disprove-first,1,221,378073,378060,0,13,0,0,53058,53056,0,2,0,0,7,25.000000,1
5,ExtensibleLStar,monitor,disprove-first,2,221,378080,378060,0,20,0,0,53059,53056,0,3,0,0,7,25.000000,1
5,ExtensibleLStar,monitor,disprove-first,3,221,378083,378060,0,23,0,0,53060,53056,0,4,0,0,3,25.000000,1
5,ExtensibleLStar,monitor,disprove-first,4,221,378090,378060,0,30,0,0,53061,53056,0,5,0,0,7,25.000000,1
5,ExtensibleLStar,monitor,disprove-first,7,221,378097,378060,0,37,0,0,53062,53056,0,6,0,0,7,25.000000,1
5,ExtensibleLStar,monitor,disprove-first,8,221,378103,378060,0,43,0,0,53063,53056,0,7,0,0,6,25.000000,1
5,ExtensibleLStar,monitor,disprove-first,12,221,378111,378060,0,51,0,0,53064,53056,0,8,0,0,8,25.000000,1
5,ExtensibleLStar,monitor,disprove-first,13,221,378118,378060,0,58,0,0,53065,53056,0,9,0,0,7,25.000000,1
5,ExtensibleLStar,monitor,disprove-first,16,221,378124,378060,0,64,0,0,53066,53056,0,10,0,0,6,25.000000,1
5,ExtensibleLStar,monitor,disprove-first,17,221,378130,378060,0,70,0,0,53067,53056,0,11,0,0,6,25.000000,1
5,ExtensibleLStar,monitor,disprove-first,18,221,378138,378060,0,78,0,0,53068,53056,0,12,0,0,8,25.000000,1
5,ExtensibleLStar,monitor,disprove-first,19,221,378139,378060,0,79,0,0,53069,53056,0,13,0,0,1,25.000000,1
5,ExtensibleLStar,monitor,disprove-first,20,221,378143,378060,0,83,0,0,53070,53056,0,14,0,0,4,25.000000,1
5,ExtensibleLStar,monitor,disprove-first,21,221,378144,378060,0,84,0,0,53071,53056,0,15,0,0,1,25.000000,1
5,ExtensibleLStar,monitor,disprove-first,22,221,378149,378060,0,89,0,0,53072,53056,0,16,0,0,5,25.000000,1
5,ExtensibleLStar,monitor,disprove-first,23,221,378155,378060,0,95,0,0,53073,53056,0,17,0,0,6,25.000000,1
5,ExtensibleLStar,monitor,disprove-first,26,221,378156,378060,0,96,0,0,53074,53056,0,18,0,0,1,25.000000,1
5,ExtensibleLStar,monitor,disprove-first,29,221,378159,378060,0,99,0,0,53075,53056,0,19,0,0,3,25.000000,1
5,ExtensibleLStar,monitor,disprove-first,30,221,378166,378060,0,106,0,0,53076,53056,0,20,0,0,7,25.000000,1
5,ExtensibleLStar,monitor,disprove-first,31,221,378168,378060,0,108,0,0,53077,53056,0,21,0,0,2,25.000000,1
5,ExtensibleLStar,monitor,disprove-first,32,221,378170,378060,0,110,0,0,53078,53056,0,22,0,0,2,25.000000,1
5,ExtensibleLStar,monitor,disprove-first,33,221,378171,378060,0,111,0,0,53079,53056,0,23,0,0,1,25.000000,1
5,ExtensibleLStar,monitor,disprove-first,34,221,378176,378060,0,116,0,0,53080,53056,0,24,0,0,5,25.000000,1
5,ExtensibleLStar,monitor,disprove-first,35,221,378179,378060,0,119,0,0,53081,53056,0,25,0,0,3,25.000000,1
5,ExtensibleLStar,monitor,disprove-first,37,221,378182,378060,0,122,0,0,53082,53056,0,26,0,0,3,25.000000,1
5,ExtensibleLStar,monitor,disprove-first,38,221,378188,378060,0,128,0,0,53083,53056,0,27,0,0,6,25.000000,1
5,ExtensibleLStar,monitor,disprove-first,39,221,378193,378060,0,133,0,0,53084,53056,0,28,0,0,5,25.000000,1
5,ExtensibleLStar,monitor,disprove-first,41,221,378197,378060,0,137,0,0,53085,53056,0,29,0,0,4,25.000000,1
5,ExtensibleLStar,monitor,disprove-first,44,221,378207,378060,0,147,0,0,53086,53056,0,30,0,0,10,25.000000,1
5,ExtensibleLStar,monitor,disprove-first,46,221,378210,378060,0,150,0,0,53087,53056,0,31,0,0,3,25.000000,1
5,ExtensibleLStar,monitor,disprove-first,47,221,378211,378060,0,151,0,0,53088,53056,0,32,0,0,1,25.000000,1
5,ExtensibleLStar,monitor,disprove-first,49,221,378214,378060,0,154,0,0,53089,53056,0,33,0,0,3,25.000000,1
5,ExtensibleLStar,monitor,disprove-first,51,221,378219,378060,0,159,0,0,53090,53056,0,34,0,0,5,25.000000,1
5,ExtensibleLStar,monitor,disprove-first,53,221,378228,378060,0,168,0,0,53091,53056,0,35,0,0,9,25.000000,1
5,ExtensibleLStar,monitor,disprove-first,54,221,378231,378060,0,171,0,0,53092,53056,0,36,0,0,3,25.000000,1
5,ExtensibleLStar,monitor,disprove-first,56,221,378239,378060,0,179,0,0,53093,53056,0,37,0,0,8,25.000000,1
5,ExtensibleLStar,monitor,disprove-first,57,221,378246,378060,0,186,0,0,53094,53056,0,38,0,0,7,25.000000,1
5,ExtensibleLStar,monitor,disprove-first,58,221,378250,378060,0,190,0,0,53095,53056,0,39,0,0,4,25.000000,1
5,ExtensibleLStar,monitor,disprove-first,60,221,378257,378060,0,197,0,0,53096,53056,0,40,0,0,7,25.000000,1
5,ExtensibleLStar,monitor,disprove-first,61,221,378258,378060,0,198,0,0,53097,53056,0,41,0,0,1,25.000000,1
5,ExtensibleLStar,monitor,disprove-first,62,221,378264,378060,0,204,0,0,53098,53056,0,42,0,0,6,25.000000,1
5,ExtensibleLStar,monitor,disprove-first,63,221,378271,378060,0,211,0,0,53099,53056,0,43,0,0,7,25.000000,1
5,ExtensibleLStar,monitor,disprove-first,65,221,378277,378060,0,217,0,0,53100,53056,0,44,0,0,6,25.000000,1
5,ExtensibleLStar,monitor,disprove-first,67,221,378280,378060,0,220,0,0,53101,53056,0,45,0,0,3,25.000000,1
5,ExtensibleLStar,monitor,disprove-first,68,221,378286,378060,0,226,0,0,53102,53056,0,46,0,0,6,25.000000,1
5,ExtensibleLStar,monitor,disprove-first,69,221,378293,378060,0,233,0,0,53103,53056,0,47,0,0,7,25.000000,1
5,ExtensibleLStar,monitor,disprove-first,72,221,378299,378060,0,239,0,0,53104,53056,0,48,0,0,6,25.000000,1
5,ExtensibleLStar,monitor,disprove-first,75,221,378300,378060,0,240,0,0,53105,53056,0,49,0,0,1,25.000000,1
5,ExtensibleLStar,monitor,disprove-first,76,221,378306,378060,0,246,0,0,53106,53056,0,50,0,0,6,25.000000,1
5,ExtensibleLStar,monitor,disprove-first,80,221,378307,378060,0,247,0,0,53107,53056,0,51,0,0,1,25.000000,1
5,ExtensibleLStar,monitor,disprove-first,81,221,378313,378060,0,253,0,0,53108,53056,0,52,0,0,6,25.000000,1
5,ExtensibleLStar,monitor,disprove-first,82,221,378317,378060,0,257,0,0,53109,53056,0,53,0,0,4,25.000000,1
5,ExtensibleLStar,monitor,disprove-first,83,221,378318,378060,0,258,0,0,53110,53056,0,54,0,0,1,25.000000,1
5,ExtensibleLStar,monitor,disprove-first,86,221,378322,378060,0,262,0,0,53111,53056,0,55,0,0,4,25.000000,1
5,ExtensibleLStar,monitor,disprove-first,87,221,378323,378060,0,263,0,0,53112,53056,0,56,0,0,1,25.000000,1
5,ExtensibleLStar,monitor,disprove-first,89,221,378325,378060,0,265,0,0,53113,53056,0,57,0,0,2,25.000000,1
5,ExtensibleLStar,monitor,disprove-first,92,221,378332,378060,0,272,0,0,53114,53056,0,58,0,0,7,25.000000,1
5,ExtensibleLStar,monitor,disprove-first,93,221,378333,378060,0,273,0,0,53115,53056,0,59,0,0,1,25.000000,1
5,ExtensibleLStar,monitor,disprove-first,94,221,378335,378060,0,275,0,0,53116,53056,0,60,0,0,2,25.000000,1
5,ExtensibleLStar,monitor,disprove-first,95,221,378342,378060,0,282,0,0,53117,53056,0,61,0,0,7,25.000000,1
5,ExtensibleLStar,monitor,disprove-first,96,221,378348,378060,0,288,0,0,53118,53056,0,62,0,0,6,25.000000,1
5,ExtensibleLStar,monitor,disprove-first,98,221,378353,378060,0,293,0,0,53119,53056,0,63,0,0,5,25.000000,1
5,ExtensibleLStar,monitor,disprove-first,99,221,378357,378060,0,297,0,0,53120,53056,0,64,0,0,4,25.000000,1
