problem,learner,aut,bbo,property,size,realsymbols,learnsymbols,eqsymbols,emsymbols,emosymbols,insymbols,realqueries,learnqueries,eqqueries,emqueries,emoqueries,inqueries,length,multiplier,refinements
5,ExtensibleLStar,monitor-buchi,none,0,234,27011307,720783,26290518,6,0,0,3282706,93775,3188930,1,0,0,6,25.000000,10
5,ExtensibleLStar,monitor-buchi,none,1,234,27011314,720783,26290518,13,0,0,3282707,93775,3188930,2,0,0,7,25.000000,10
5,ExtensibleLStar,monitor-buchi,none,2,234,27011321,720783,26290518,20,0,0,3282708,93775,3188930,3,0,0,7,25.000000,10
5,ExtensibleLStar,monitor-buchi,none,3,234,27011324,720783,26290518,23,0,0,3282709,93775,3188930,4,0,0,3,25.000000,10
5,ExtensibleLStar,monitor-buchi,none,4,234,27011331,720783,26290518,30,0,0,3282710,93775,3188930,5,0,0,7,25.000000,10
5,ExtensibleLStar,monitor-buchi,none,7,234,27011338,720783,26290518,37,0,0,3282711,93775,3188930,6,0,0,7,25.000000,10
5,ExtensibleLStar,monitor-buchi,none,8,234,27011344,720783,26290518,43,0,0,3282712,93775,3188930,7,0,0,6,25.000000,10
5,ExtensibleLStar,monitor-buchi,none,12,234,27011352,720783,26290518,51,0,0,3282713,93775,3188930,8,0,0,8,25.000000,10
5,ExtensibleLStar,monitor-buchi,none,13,234,27011359,720783,26290518,58,0,0,3282714,93775,3188930,9,0,0,7,25.000000,10
5,ExtensibleLStar,monitor-buchi,none,16,234,27011365,720783,26290518,64,68468400,0,3282715,93775,3188930,10,5850,0,6,25.000000,10
5,ExtensibleLStar,monitor-buchi,none,17,234,27011371,720783,26290518,70,68468400,0,3282716,93775,3188930,11,5850,0,6,25.000000,10
5,ExtensibleLStar,monitor-buchi,none,18,234,27011379,720783,26290518,78,68468400,0,3282717,93775,3188930,12,5850,0,8,25.000000,10
5,ExtensibleLStar,monitor-buchi,none,19,234,27011380,720783,26290518,79,68468400,0,3282718,93775,3188930,13,5850,0,1,25.000000,10
5,ExtensibleLStar,monitor-buchi,none,20,234,27011384,720783,26290518,83,68468400,0,3282719,93775,3188930,14,5850,0,4,25.000000,10
5,ExtensibleLStar,monitor-buchi,none,21,234,27011385,720783,26290518,84,68468400,0,3282720,93775,3188930,15,5850,0,1,25.000000,10
5,ExtensibleLStar,monitor-buchi,none,22,234,27011390,720783,26290518,89,68468400,0,3282721,93775,3188930,16,5850,0,5,25.000000,10
5,ExtensibleLStar,monitor-buchi,none,23,234,27011396,720783,26290518,95,68468400,0,3282722,93775,3188930,17,5850,0,6,25.000000,10
5,ExtensibleLStar,monitor-buchi,none,26,234,27011397,720783,26290518,96,136995300,0,3282723,93775,3188930,18,11700,0,1,25.000000,10
5,ExtensibleLStar,monitor-buchi,none,29,234,27011400,720783,26290518,99,136995300,0,3282724,93775,3188930,19,11700,0,3,25.000000,10
5,ExtensibleLStar,monitor-buchi,none,30,234,27011407,720783,26290518,106,136995300,0,3282725,93775,3188930,20,11700,0,7,25.000000,10
5,ExtensibleLStar,monitor-buchi,none,31,234,27011409,720783,26290518,108,136995300,0,3282726,93775,3188930,21,11700,0,2,25.000000,10
5,ExtensibleLStar,monitor-buchi,none,32,234,27011411,720783,26290518,110,136995300,0,3282727,93775,3188930,22,11700,0,2,25.000000,10
5,ExtensibleLStar,monitor-buchi,none,33,234,27011412,720783,26290518,111,136995300,0,3282728,93775,3188930,23,11700,0,1,25.000000,10
5,ExtensibleLStar,monitor-buchi,none,34,234,27011417,720783,26290518,116,136995300,0,3282729,93775,3188930,24,11700,0,5,25.000000,10
5,ExtensibleLStar,monitor-buchi,none,35,234,27011420,720783,26290518,119,136995300,0,3282730,93775,3188930,25,11700,0,3,25.000000,10
5,ExtensibleLStar,monitor-buchi,none,37,234,27011423,720783,26290518,122,136995300,0,3282731,93775,3188930,26,11700,0,3,25.000000,10
5,ExtensibleLStar,monitor-buchi,none,38,234,27011429,720783,26290518,128,136995300,0,3282732,93775,3188930,27,11700,0,6,25.000000,10
5,ExtensibleLStar,monitor-buchi,none,39,234,27011434,720783,26290518,133,136995300,0,3282733,93775,3188930,28,11700,0,5,25.000000,10
5,ExtensibleLStar,monitor-buchi,none,41,234,27011438,720783,26290518,137,136995300,0,3282734,93775,3188930,29,11700,0,4,25.000000,10
5,ExtensibleLStar,monitor-buchi,none,42,234,27011438,720783,26290518,137,151787354,0,3282734,93775,3188930,29,15544,0,7691,25.000000,10
5,ExtensibleLStar,monitor-buchi,none,44,234,27011448,720783,26290518,147,151787354,0,3282735,93775,3188930,30,15544,0,10,25.000000,10
5,ExtensibleLStar,monitor-buchi,none,46,234,27011451,720783,26290518,150,220279154,0,3282736,93775,3188930,31,21394,0,3,25.000000,10
5,ExtensibleLStar,monitor-buchi,none,47,234,27011452,720783,26290518,151,220279154,0,3282737,93775,3188930,32,21394,0,1,25.000000,10
5,ExtensibleLStar,monitor-buchi,none,49,234,27011455,720783,26290518,154,254542604,0,3282738,93775,3188930,33,27244,0,3,25.000000,10
5,ExtensibleLStar,monitor-buchi,none,51,234,27011460,720783,26290518,159,254542604,0,3282739,93775,3188930,34,27244,0,5,25.000000,10
5,ExtensibleLStar,monitor-buchi,none,53,234,27011469,720783,26290518,168,254542604,0,3282740,93775,3188930,35,27244,0,9,25.000000,10
5,ExtensibleLStar,monitor-buchi,none,54,234,27011472,720783,26290518,171,254542604,0,3282741,93775,3188930,36,27244,0,3,25.000000,10
5,ExtensibleLStar,monitor-buchi,none,56,234,27011480,720783,26290518,179,254542604,0,3282742,93775,3188930,37,27244,0,8,25.000000,10
5,ExtensibleLStar,monitor-buchi,none,57,234,27011487,720783,26290518,186,254542604,0,3282743,93775,3188930,38,27244,0,7,25.000000,10
5,ExtensibleLStar,monitor-buchi,none,58,234,27011491,720783,26290518,190,254542604,0,3282744,93775,3188930,39,27244,0,4,25.000000,10
5,ExtensibleLStar,monitor-buchi,none,60,234,27011498,720783,26290518,197,254542604,0,3282745,93775,3188930,40,27244,0,7,25.000000,10
5,ExtensibleLStar,monitor-buchi,none,61,234,27011499,720783,26290518,198,254542604,0,3282746,93775,3188930,41,27244,0,1,25.000000,10
5,ExtensibleLStar,monitor-buchi,none,62,234,27011505,720783,26290518,204,254542604,0,3282747,93775,3188930,42,27244,0,6,25.000000,10
5,ExtensibleLStar,monitor-buchi,none,63,234,27011512,720783,26290518,211,254542604,0,3282748,93775,3188930,43,27244,0,7,25.000000,10
