problem,learner,aut,bbo,property,size,realsymbols,learnsymbols,eqsymbols,emsymbols,emosymbols,insymbols,realqueries,learnqueries,eqqueries,emqueries,emoqueries,inqueries,length,multiplier,refinements
5,TTT,buchi,disprove-first,3,10,3611,3407,0,0,18317,204,705,702,0,0,5824,3,8,25.000000,4
5,TTT,buchi,disprove-first,17,31,18553,17081,0,0,11982413,1472,3061,3057,0,0,39304,4,808,25.000000,5
5,TTT,buchi,disprove-first,49,31,18553,17081,0,0,39106250,1472,3061,3057,0,0,60631,4,808,25.000000,5
5,TTT,buchi,disprove-first,54,31,18553,17081,0,0,40533412,1472,3061,3057,0,0,63358,4,808,25.000000,5
5,TTT,buchi,disprove-first,90,31,18553,17081,0,0,67348024,1472,3061,3057,0,0,82360,4,808,25.000000,5
5,TTT,buchi,disprove-first,95,31,18553,17081,0,0,69945442,1472,3061,3057,0,0,85863,4,808,25.000000,5
5,TTT,buchi,disprove-first,96,31,18553,17081,0,0,70043440,1472,3061,3057,0,0,86170,4,624,25.000000,5
5,TTT,buchi,disprove-first,4,42,35212,25829,0,0,159002378,9383,4436,4430,0,0,155889,6,1696,25.000000,7
5,TTT,buchi,disprove-first,57,42,35212,25829,0,0,218149580,9383,4436,4430,0,0,198304,6,845,25.000000,7
5,TTT,buchi,disprove-first,39,49,73849,31037,0,0,821112665,42812,5273,5260,0,0,540202,13,1260,25.000000,11
