problem,learner,aut,bbo,property,size,realsymbols,learnsymbols,eqsymbols,emsymbols,emosymbols,insymbols,realqueries,learnqueries,eqqueries,emqueries,emoqueries,inqueries,length,multiplier,refinements
5,TTT,monitor-buchi,none,0,234,35148692,254567,34894119,6,0,0,4469530,32941,4436588,1,0,0,6,25.000000,135
5,TTT,monitor-buchi,none,1,234,35148699,254567,34894119,13,0,0,4469531,32941,4436588,2,0,0,7,25.000000,135
5,TTT,monitor-buchi,none,2,234,35148706,254567,34894119,20,0,0,4469532,32941,4436588,3,0,0,7,25.000000,135
5,TTT,monitor-buchi,none,3,234,35148709,254567,34894119,23,0,0,4469533,32941,4436588,4,0,0,3,25.000000,135
5,TTT,monitor-buchi,none,4,234,35148716,254567,34894119,30,0,0,4469534,32941,4436588,5,0,0,7,25.000000,135
5,TTT,monitor-buchi,none,7,234,35148723,254567,34894119,37,0,0,4469535,32941,4436588,6,0,0,7,25.000000,135
5,TTT,monitor-buchi,none,8,234,35148729,254567,34894119,43,0,0,4469536,32941,4436588,7,0,0,6,25.000000,135
5,TTT,monitor-buchi,none,12,234,35148737,254567,34894119,51,0,0,4469537,32941,4436588,8,0,0,8,25.000000,135
5,TTT,monitor-buchi,none,13,234,35148744,254567,34894119,58,0,0,4469538,32941,4436588,9,0,0,7,25.000000,135
5,TTT,monitor-buchi,none,16,234,35148750,254567,34894119,64,68468400,0,4469539,32941,4436588,10,5850,0,6,25.000000,135
5,TTT,monitor-buchi,none,17,234,35148756,254567,34894119,70,68468400,0,4469540,32941,4436588,11,5850,0,6,25.000000,135
5,TTT,monitor-buchi,none,18,234,35148764,254567,34894119,78,68468400,0,4469541,32941,4436588,12,5850,0,8,25.000000,135
5,TTT,monitor-buchi,none,19,234,35148765,254567,34894119,79,68468400,0,4469542,32941,4436588,13,5850,0,1,25.000000,135
5,TTT,monitor-buchi,none,20,234,35148769,254567,34894119,83,68468400,0,4469543,32941,4436588,14,5850,0,4,25.000000,135
5,TTT,monitor-buchi,none,21,234,35148770,254567,34894119,84,68468400,0,4469544,32941,4436588,15,5850,0,1,25.000000,135
5,TTT,monitor-buchi,none,22,234,35148775,254567,34894119,89,68468400,0,4469545,32941,4436588,16,5850,0,5,25.000000,135
5,TTT,monitor-buchi,none,23,234,35148781,254567,34894119,95,68468400,0,4469546,32941,4436588,17,5850,0,6,25.000000,135
5,TTT,monitor-buchi,none,26,234,35148782,254567,34894119,96,136995300,0,4469547,32941,4436588,18,11700,0,1,25.000000,135
5,TTT,monitor-buchi,none,29,234,35148785,254567,34894119,99,136995300,0,4469548,32941,4436588,19,11700,0,3,25.000000,135
5,TTT,monitor-buchi,none,30,234,35148792,254567,34894119,106,136995300,0,4469549,32941,4436588,20,11700,0,7,25.000000,135
5,TTT,monitor-buchi,none,31,234,35148794,254567,34894119,108,136995300,0,4469550,32941,4436588,21,11700,0,2,25.000000,135
5,TTT,monitor-buchi,none,32,234,35148796,254567,34894119,110,136995300,0,4469551,32941,4436588,22,11700,0,2,25.000000,135
5,TTT,monitor-buchi,none,33,234,35148797,254567,34894119,111,136995300,0,4469552,32941,4436588,23,11700,0,1,25.000000,135
5,TTT,monitor-buchi,none,34,234,35148802,254567,34894119,116,136995300,0,4469553,32941,4436588,24,11700,0,5,25.000000,135
5,TTT,monitor-buchi,none,35,234,35148805,254567,34894119,119,136995300,0,4469554,32941,4436588,25,11700,0,3,25.000000,135
5,TTT,monitor-buchi,none,37,234,35148808,254567,34894119,122,136995300,0,4469555,32941,4436588,26,11700,0,3,25.000000,135
5,TTT,monitor-buchi,none,38,234,35148814,254567,34894119,128,136995300,0,4469556,32941,4436588,27,11700,0,6,25.000000,135
5,TTT,monitor-buchi,none,39,234,35148819,254567,34894119,133,136995300,0,4469557,32941,4436588,28,11700,0,5,25.000000,135
5,TTT,monitor-buchi,none,41,234,35148823,254567,34894119,137,136995300,0,4469558,32941,4436588,29,11700,0,4,25.000000,135
