problem,learner,aut,bbo,property,size,realsymbols,learnsymbols,eqsymbols,emsymbols,emosymbols,insymbols,realqueries,learnqueries,eqqueries,emqueries,emoqueries,inqueries,length,multiplier,refinements
6,ADT,monitor-buchi,none,0,230,36087804,109398,35978406,0,13,0,4974769,9918,4964851,0,2,0,7,30.000000,103
6,ADT,monitor-buchi,none,1,230,36087808,109398,35978406,4,13,0,4974770,9918,4964851,1,2,0,4,30.000000,103
6,ADT,monitor-buchi,none,2,230,36087808,109398,35978406,4,26,0,4974770,9918,4964851,1,4,0,7,30.000000,103
6,ADT,monitor-buchi,none,3,230,36087809,109398,35978406,5,26,0,4974771,9918,4964851,2,4,0,1,30.000000,103
6,ADT,monitor-buchi,none,4,230,36087813,109398,35978406,9,26,0,4974772,9918,4964851,3,4,0,4,30.000000,103
6,ADT,monitor-buchi,none,5,230,36087813,109398,35978406,9,2595769,0,4974772,9918,4964851,3,1022,0,5091,30.000000,103
6,ADT,monitor-buchi,none,6,230,36087815,109398,35978406,11,2595769,0,4974773,9918,4964851,4,1022,0,2,30.000000,103
6,ADT,monitor-buchi,none,8,230,36087818,109398,35978406,14,2595769,0,4974774,9918,4964851,5,1022,0,3,30.000000,103
6,ADT,monitor-buchi,none,10,230,36087821,109398,35978406,17,2595769,0,4974775,9918,4964851,6,1022,0,3,30.000000,103
6,ADT,monitor-buchi,none,11,230,36087824,109398,35978406,20,2595769,0,4974776,9918,4964851,7,1022,0,3,30.000000,103
6,ADT,monitor-buchi,none,13,230,36087829,109398,35978406,25,2595769,0,4974777,9918,4964851,8,1022,0,5,30.000000,103
6,ADT,monitor-buchi,none,14,230,36087829,109398,35978406,25,75676837,0,4974777,9918,4964851,8,7064,0,24176,30.000000,103
6,ADT,monitor-buchi,none,15,230,36087830,109398,35978406,26,75676837,0,4974778,9918,4964851,9,7064,0,1,30.000000,103
6,ADT,monitor-buchi,none,16,230,36087837,109398,35978406,33,75676837,0,4974779,9918,4964851,10,7064,0,7,30.000000,103
6,ADT,monitor-buchi,none,17,230,36087838,109398,35978406,34,75676837,0,4974780,9918,4964851,11,7064,0,1,30.000000,103
6,ADT,monitor-buchi,none,18,230,36087839,109398,35978406,35,75676837,0,4974781,9918,4964851,12,7064,0,1,30.000000,103
6,ADT,monitor-buchi,none,21,230,36087846,109398,35978406,42,75676837,0,4974782,9918,4964851,13,7064,0,7,30.000000,103
6,ADT,monitor-buchi,none,22,230,36087851,109398,35978406,47,75676837,0,4974783,9918,4964851,14,7064,0,5,30.000000,103
6,ADT,monitor-buchi,none,24,230,36087852,109398,35978406,48,75676837,0,4974784,9918,4964851,15,7064,0,1,30.000000,103
6,ADT,monitor-buchi,none,25,230,36087855,109398,35978406,51,75676837,0,4974785,9918,4964851,16,7064,0,3,30.000000,103
6,ADT,monitor-buchi,none,26,230,36087859,109398,35978406,55,75676837,0,4974786,9918,4964851,17,7064,0,4,30.000000,103
6,ADT,monitor-buchi,none,27,230,36087864,109398,35978406,60,75676837,0,4974787,9918,4964851,18,7064,0,5,30.000000,103
6,ADT,monitor-buchi,none,28,230,36087871,109398,35978406,67,75676837,0,4974788,9918,4964851,19,7064,0,7,30.000000,103
6,ADT,monitor-buchi,none,29,230,36087873,109398,35978406,69,75676837,0,4974789,9918,4964851,20,7064,0,2,30.000000,103
6,ADT,monitor-buchi,none,30,230,36087879,109398,35978406,75,75676837,0,4974790,9918,4964851,21,7064,0,6,30.000000,103
6,ADT,monitor-buchi,none,31,230,36087886,109398,35978406,82,75676837,0,4974791,9918,4964851,22,7064,0,7,30.000000,103
6,ADT,monitor-buchi,none,32,230,36087889,109398,35978406,85,75676837,0,4974792,9918,4964851,23,7064,0,3,30.000000,103
6,ADT,monitor-buchi,none,34,230,36087892,109398,35978406,88,75676837,0,4974793,9918,4964851,24,7064,0,3,30.000000,103
6,ADT,monitor-buchi,none,36,230,36087896,109398,35978406,92,75676837,0,4974794,9918,4964851,25,7064,0,4,30.000000,103
6,ADT,monitor-buchi,none,38,230,36087901,109398,35978406,97,75676837,0,4974795,9918,4964851,26,7064,0,5,30.000000,103
6,ADT,monitor-buchi,none,48,230,36087909,109398,35978406,105,75676837,0,4974796,9918,4964851,27,7064,0,8,30.000000,103
6,ADT,monitor-buchi,none,49,230,36087914,109398,35978406,110,75676837,0,4974797,9918,4964851,28,7064,0,5,30.000000,103
6,ADT,monitor-buchi,none,50,230,36087918,109398,35978406,114,75676837,0,4974798,9918,4964851,29,7064,0,4,30.000000,103
6,ADT,monitor-buchi,none,51,230,36087925,109398,35978406,121,75676837,0,4974799,9918,4964851,30,7064,0,7,30.000000,103
6,ADT,monitor-buchi,none,52,230,36087930,109398,35978406,126,75676837,0,4974800,9918,4964851,31,7064,0,5,30.000000,103
6,ADT,monitor-buchi,none,53,230,36087938,109398,35978406,134,75676837,0,4974801,9918,4964851,32,7064,0,8,30.000000,103
6,ADT,monitor-buchi,none,54,230,36087944,109398,35978406,140,75676837,0,4974802,9918,4964851,33,7064,0,6,30.000000,103
6,ADT,monitor-buchi,none,55,230,36087949,109398,35978406,145,75676837,0,4974803,9918,4964851,34,7064,0,5,30.000000,103
6,ADT,monitor-buchi,none,57,230,36087950,109398,35978406,146,75676837,0,4974804,9918,4964851,35,7064,0,1,30.000000,103
6,ADT,monitor-buchi,none,59,230,36087956,109398,35978406,152,75676837,0,4974805,9918,4964851,36,7064,0,6,30.000000,103
6,ADT,monitor-buchi,none,60,230,36087962,109398,35978406,158,75676837,0,4974806,9918,4964851,37,7064,0,6,30.000000,103
6,ADT,monitor-buchi,none,61,230,36087967,109398,35978406,163,75676837,0,4974807,9918,4964851,38,7064,0,5,30.000000,103
6,ADT,monitor-buchi,none,62,230,36087968,109398,35978406,164,75676837,0,4974808,9918,4964851,39,7064,0,1,30.000000,103
6,ADT,monitor-buchi,none,63,230,36087975,109398,35978406,171,75676837,0,4974809,9918,4964851,40,7064,0,7,30.000000,103
6,ADT,monitor-buchi,none,66,230,36087979,109398,35978406,175,75676837,0,4974810,9918,4964851,41,7064,0,4,30.000000,103
6,ADT,monitor-buchi,none,67,230,36087979,109398,35978406,175,88397833,0,4974810,9918,4964851,41,9581,0,10084,30.000000,103
6,ADT,monitor-buchi,none,68,230,36087980,109398,35978406,176,88397833,0,4974811,9918,4964851,42,9581,0,1,30.000000,103
6,ADT,monitor-buchi,none,70,230,36087984,109398,35978406,180,88397833,0,4974812,9918,4964851,43,9581,0,4,30.000000,103
6,ADT,monitor-buchi,none,72,230,36087984,109398,35978406,180,88407173,0,4974812,9918,4964851,43,9675,0,192,30.000000,103
6,ADT,monitor-buchi,none,74,230,36087985,109398,35978406,181,88407173,0,4974813,9918,4964851,44,9675,0,1,30.000000,103
6,ADT,monitor-buchi,none,78,230,36087990,109398,35978406,186,88407173,0,4974814,9918,4964851,45,9675,0,5,30.000000,103
6,ADT,monitor-buchi,none,81,230,36087990,109398,35978406,186,88407192,0,4974814,9918,4964851,45,9678,0,7,30.000000,103
6,ADT,monitor-buchi,none,82,230,36087995,109398,35978406,191,88407192,0,4974815,9918,4964851,46,9678,0,5,30.000000,103
6,ADT,monitor-buchi,none,83,230,36088000,109398,35978406,196,88407192,0,4974816,9918,4964851,47,9678,0,5,30.000000,103
6,ADT,monitor-buchi,none,84,230,36088004,109398,35978406,200,88407192,0,4974817,9918,4964851,48,9678,0,4,30.000000,103
6,ADT,monitor-buchi,none,85,230,36088008,109398,35978406,204,88407192,0,4974818,9918,4964851,49,9678,0,4,30.000000,103
6,ADT,monitor-buchi,none,87,230,36088008,109398,35978406,204,88408960,0,4974818,9918,4964851,49,9706,0,115,30.000000,103
6,ADT,monitor-buchi,none,88,230,36088010,109398,35978406,206,88408960,0,4974819,9918,4964851,50,9706,0,2,30.000000,103
6,ADT,monitor-buchi,none,90,230,36088013,109398,35978406,209,88408960,0,4974820,9918,4964851,51,9706,0,3,30.000000,103
6,ADT,monitor-buchi,none,92,230,36088014,109398,35978406,210,88408960,0,4974821,9918,4964851,52,9706,0,1,30.000000,103
6,ADT,monitor-buchi,none,94,230,36088014,109398,35978406,210,88418300,0,4974821,9918,4964851,52,9800,0,192,30.000000,103
