problem,learner,aut,bbo,property,size,realsymbols,learnsymbols,eqsymbols,emsymbols,emosymbols,insymbols,realqueries,learnqueries,eqqueries,emqueries,emoqueries,inqueries,length,multiplier,refinements
6,DHC,buchi,cex-first,0,217,314115,314115,0,0,13,0,48841,48841,0,0,2,0,7,30.000000,1
6,DHC,buchi,cex-first,1,218,43418409,43405380,0,0,28872044,13029,101193,101192,0,0,42825,1,15069,30.000000,2
6,DHC,buchi,cex-first,2,218,43418409,43405380,0,0,28872057,13029,101193,101192,0,0,42827,1,7,30.000000,2
6,DHC,buchi,cex-first,3,218,43418409,43405380,0,0,29036593,13029,101193,101192,0,0,43083,1,1276,30.000000,2
6,DHC,buchi,cex-first,4,218,43418409,43405380,0,0,29038233,13029,101193,101192,0,0,43120,1,80,30.000000,2
6,DHC,buchi,cex-first,5,218,43418409,43405380,0,0,31633976,13029,101193,101192,0,0,44138,1,5091,30.000000,2
6,DHC,buchi,cex-first,6,218,43418409,43405380,0,0,35682567,13029,101193,101192,0,0,45409,1,6356,30.000000,2
6,DHC,buchi,cex-first,8,218,43418409,43405380,0,0,39731158,13029,101193,101192,0,0,46680,1,6356,30.000000,2
6,DHC,buchi,cex-first,10,218,43418409,43405380,0,0,76314372,13029,101193,101192,0,0,50954,1,17105,30.000000,2
6,DHC,buchi,cex-first,11,218,43418409,43405380,0,0,76327530,13029,101193,101192,0,0,51066,1,228,30.000000,2
6,DHC,buchi,cex-first,13,218,43418409,43405380,0,0,149426724,13029,101193,101192,0,0,57108,1,24179,30.000000,2
6,DHC,buchi,cex-first,14,218,43418409,43405380,0,0,222507792,13029,101193,101192,0,0,63150,1,24176,30.000000,2
6,DHC,buchi,cex-first,15,218,43418409,43405380,0,0,222672328,13029,101193,101192,0,0,63406,1,1276,30.000000,2
6,DHC,buchi,cex-first,16,218,43418409,43405380,0,0,223537568,13029,101193,101192,0,0,63991,1,2936,30.000000,2
6,DHC,buchi,cex-first,17,218,43418409,43405380,0,0,223702104,13029,101193,101192,0,0,64247,1,1276,30.000000,2
6,DHC,buchi,cex-first,18,218,43418409,43405380,0,0,223866896,13029,101193,101192,0,0,64503,1,1277,30.000000,2
6,DHC,buchi,cex-first,21,218,43418409,43405380,0,0,223915464,13029,101193,101192,0,0,64716,1,440,30.000000,2
6,DHC,buchi,cex-first,22,218,43418409,43405380,0,0,223915498,13029,101193,101192,0,0,64719,1,12,30.000000,2
6,DHC,buchi,cex-first,24,218,43418409,43405380,0,0,224080034,13029,101193,101192,0,0,64975,1,1276,30.000000,2
6,DHC,buchi,cex-first,25,218,43418409,43405380,0,0,224080053,13029,101193,101192,0,0,64978,1,7,30.000000,2
6,DHC,buchi,cex-first,26,218,43418409,43405380,0,0,225890305,13029,101193,101192,0,0,65826,1,4249,30.000000,2
6,DHC,buchi,cex-first,27,218,43418409,43405380,0,0,225890338,13029,101193,101192,0,0,65828,1,17,30.000000,2
6,DHC,buchi,cex-first,28,218,43418409,43405380,0,0,228488117,13029,101193,101192,0,0,66846,1,5093,30.000000,2
6,DHC,buchi,cex-first,29,218,43418409,43405380,0,0,228652392,13029,101193,101192,0,0,67101,1,1275,30.000000,2
6,DHC,buchi,cex-first,30,218,43418409,43405380,0,0,229076197,13029,101193,101192,0,0,67511,1,2056,30.000000,2
6,DHC,buchi,cex-first,31,218,43418409,43405380,0,0,229076270,13029,101193,101192,0,0,67514,1,25,30.000000,2
6,DHC,buchi,cex-first,32,218,43418409,43405380,0,0,229076313,13029,101193,101192,0,0,67517,1,15,30.000000,2
6,DHC,buchi,cex-first,36,225,198649594,198603853,0,0,279652973,79500,158602,158600,0,0,165721,3,19874,30.000000,3
6,DHC,buchi,cex-first,38,225,198649594,198603853,0,0,279818013,79500,158602,158600,0,0,165976,3,1278,30.000000,3
6,DHC,buchi,cex-first,48,225,198649594,198603853,0,0,279996418,79500,158602,158600,0,0,166241,3,1333,30.000000,3
6,DHC,buchi,cex-first,49,225,198649594,198603853,0,0,280161203,79500,158602,158600,0,0,166496,3,1277,30.000000,3
6,DHC,buchi,cex-first,50,225,198649594,198603853,0,0,293273233,79500,158602,158600,0,0,169053,3,10238,30.000000,3
6,DHC,buchi,cex-first,51,225,198649594,198603853,0,0,296323945,79500,158602,158600,0,0,170156,3,5519,30.000000,3
6,DHC,buchi,cex-first,52,225,198649594,198603853,0,0,327139739,79500,158602,158600,0,0,174078,3,15699,30.000000,3
6,DHC,buchi,cex-first,53,225,198649594,198603853,0,0,327139762,79500,158602,158600,0,0,174080,3,12,30.000000,3
6,DHC,buchi,cex-first,54,225,198649594,198603853,0,0,327139796,79500,158602,158600,0,0,174083,3,12,30.000000,3
6,DHC,buchi,cex-first,55,225,198649594,198603853,0,0,329235029,79500,158602,158600,0,0,174996,3,4571,30.000000,3
6,DHC,buchi,cex-first,57,225,198649594,198603853,0,0,329399565,79500,158602,158600,0,0,175252,3,1276,30.000000,3
6,DHC,buchi,cex-first,59,225,198649594,198603853,0,0,330436501,79500,158602,158600,0,0,175893,3,3216,30.000000,3
6,DHC,buchi,cex-first,60,225,198649594,198603853,0,0,331531301,79500,158602,158600,0,0,176553,3,3306,30.000000,3
6,DHC,buchi,cex-first,61,225,198649594,198603853,0,0,376622223,79500,158602,158600,0,0,181298,3,18990,30.000000,3
6,DHC,buchi,cex-first,62,225,198649594,198603853,0,0,376786759,79500,158602,158600,0,0,181554,3,1276,30.000000,3
6,DHC,buchi,cex-first,63,225,198649594,198603853,0,0,409192411,79500,158602,158600,0,0,185574,3,16096,30.000000,3
6,DHC,buchi,cex-first,66,225,198649594,198603853,0,0,409356941,79500,158602,158600,0,0,185829,3,1276,30.000000,3
6,DHC,buchi,cex-first,67,225,198649594,198603853,0,0,422077937,79500,158602,158600,0,0,188346,3,10084,30.000000,3
6,DHC,buchi,cex-first,68,225,198649594,198603853,0,0,422242473,79500,158602,158600,0,0,188602,3,1276,30.000000,3
6,DHC,buchi,cex-first,70,225,198649594,198603853,0,0,459211704,79500,158602,158600,0,0,192899,3,17195,30.000000,3
6,DHC,buchi,cex-first,72,225,198649594,198603853,0,0,459221044,79500,158602,158600,0,0,192993,3,192,30.000000,3
6,DHC,buchi,cex-first,74,225,198649594,198603853,0,0,459385580,79500,158602,158600,0,0,193249,3,1276,30.000000,3
6,DHC,buchi,cex-first,78,225,198649594,198603853,0,0,459385614,79500,158602,158600,0,0,193252,3,12,30.000000,3
6,DHC,buchi,cex-first,81,225,198649594,198603853,0,0,459385633,79500,158602,158600,0,0,193255,3,7,30.000000,3
6,DHC,buchi,cex-first,82,225,198649594,198603853,0,0,459550163,79500,158602,158600,0,0,193510,3,1276,30.000000,3
6,DHC,buchi,cex-first,83,225,198649594,198603853,0,0,459550209,79500,158602,158600,0,0,193513,3,16,30.000000,3
6,DHC,buchi,cex-first,84,225,198649594,198603853,0,0,462563289,79500,158602,158600,0,0,194608,3,5484,30.000000,3
6,DHC,buchi,cex-first,85,225,198649594,198603853,0,0,462563308,79500,158602,158600,0,0,194611,3,7,30.000000,3
6,DHC,buchi,cex-first,87,225,198649594,198603853,0,0,462565076,79500,158602,158600,0,0,194639,3,115,30.000000,3
6,DHC,buchi,cex-first,88,225,198649594,198603853,0,0,462565089,79500,158602,158600,0,0,194641,3,7,30.000000,3
6,DHC,buchi,cex-first,90,225,198649594,198603853,0,0,471177564,79500,158602,158600,0,0,196712,3,8297,30.000000,3
6,DHC,buchi,cex-first,92,225,198649594,198603853,0,0,471342100,79500,158602,158600,0,0,196968,3,1276,30.000000,3
6,DHC,buchi,cex-first,94,225,198649594,198603853,0,0,471351440,79500,158602,158600,0,0,197062,3,192,30.000000,3
6,DHC,buchi,cex-first,97,225,198649594,198603853,0,0,471808860,79500,158602,158600,0,0,197487,3,2135,30.000000,3
6,DHC,buchi,cex-first,99,225,198649594,198603853,0,0,471810074,79500,158602,158600,0,0,197510,3,94,30.000000,3
