problem,learner,aut,bbo,property,size,realsymbols,learnsymbols,eqsymbols,emsymbols,emosymbols,insymbols,realqueries,learnqueries,eqqueries,emqueries,emoqueries,inqueries,length,multiplier,refinements
6,DiscriminationTree,monitor-buchi,disprove-first,3,1,16,15,0,1,0,0,17,16,0,1,0,0,1,30.000000,1
6,DiscriminationTree,monitor-buchi,disprove-first,15,1,17,15,0,2,0,0,18,16,0,2,0,0,1,30.000000,1
6,DiscriminationTree,monitor-buchi,disprove-first,17,1,18,15,0,3,0,0,19,16,0,3,0,0,1,30.000000,1
6,DiscriminationTree,monitor-buchi,disprove-first,18,1,19,15,0,4,0,0,20,16,0,4,0,0,1,30.000000,1
6,DiscriminationTree,monitor-buchi,disprove-first,24,1,20,15,0,5,0,0,21,16,0,5,0,0,1,30.000000,1
6,DiscriminationTree,monitor-buchi,disprove-first,57,1,21,15,0,6,0,0,22,16,0,6,0,0,1,30.000000,1
6,DiscriminationTree,monitor-buchi,disprove-first,62,1,22,15,0,7,0,0,23,16,0,7,0,0,1,30.000000,1
6,DiscriminationTree,monitor-buchi,disprove-first,68,1,23,15,0,8,0,0,24,16,0,8,0,0,1,30.000000,1
6,DiscriminationTree,monitor-buchi,disprove-first,74,1,24,15,0,9,0,0,25,16,0,9,0,0,1,30.000000,1
6,DiscriminationTree,monitor-buchi,disprove-first,92,1,25,15,0,10,0,0,26,16,0,10,0,0,1,30.000000,1
6,DiscriminationTree,monitor-buchi,disprove-first,29,3,253,229,0,22,1500,2,112,95,0,16,600,1,2,30.000000,2
6,DiscriminationTree,monitor-buchi,disprove-first,88,3,255,229,0,24,1500,2,113,95,0,17,600,1,2,30.000000,2
6,DiscriminationTree,monitor-buchi,disprove-first,99,3,257,229,0,26,1500,2,114,95,0,18,600,1,2,30.000000,2
6,DiscriminationTree,monitor-buchi,disprove-first,4,10,1844,1720,0,30,10650,94,418,397,0,19,2340,2,4,30.000000,3
6,DiscriminationTree,monitor-buchi,disprove-first,6,10,1846,1720,0,32,12750,94,419,397,0,20,2940,2,2,30.000000,3
6,DiscriminationTree,monitor-buchi,disprove-first,8,10,1849,1720,0,35,12750,94,420,397,0,21,2940,2,3,30.000000,3
6,DiscriminationTree,monitor-buchi,disprove-first,10,10,1852,1720,0,38,12750,94,421,397,0,22,2940,2,3,30.000000,3
6,DiscriminationTree,monitor-buchi,disprove-first,11,10,1855,1720,0,41,12750,94,422,397,0,23,2940,2,3,30.000000,3
6,DiscriminationTree,monitor-buchi,disprove-first,32,10,1871,1720,0,57,31030,94,426,397,0,27,5338,2,3,30.000000,3
6,DiscriminationTree,monitor-buchi,disprove-first,50,10,1878,1720,0,64,35530,94,428,397,0,29,5938,2,4,30.000000,3
6,DiscriminationTree,monitor-buchi,disprove-first,90,10,1913,1720,0,99,70910,94,437,397,0,38,13135,2,3,30.000000,3
6,DiscriminationTree,monitor-buchi,disprove-first,52,16,4788,4248,0,140,163490,400,817,769,0,45,24775,3,5,30.000000,4
6,DiscriminationTree,monitor-buchi,disprove-first,66,16,4801,4248,0,153,175010,400,820,769,0,48,26695,3,4,30.000000,4
6,DiscriminationTree,monitor-buchi,disprove-first,84,16,4816,4248,0,168,199970,400,823,769,0,51,30535,3,4,30.000000,4
6,DiscriminationTree,monitor-buchi,disprove-first,85,16,4820,4248,0,172,199970,400,824,769,0,52,30535,3,4,30.000000,4
6,DiscriminationTree,monitor-buchi,disprove-first,1,22,8799,7735,0,178,238473,886,1233,1176,0,53,36653,4,6,30.000000,5
6,DiscriminationTree,monitor-buchi,disprove-first,28,22,8836,7735,0,215,378340,886,1239,1176,0,59,47211,4,8,30.000000,5
6,DiscriminationTree,monitor-buchi,disprove-first,36,22,8858,7735,0,237,420580,886,1242,1176,0,62,49851,4,6,30.000000,5
6,DiscriminationTree,monitor-buchi,disprove-first,59,22,8907,7735,0,286,553789,886,1250,1176,0,70,59087,4,6,30.000000,5
6,DiscriminationTree,monitor-buchi,disprove-first,60,22,8915,7735,0,294,553789,886,1251,1176,0,71,59087,4,8,30.000000,5
6,DiscriminationTree,monitor-buchi,disprove-first,63,22,8931,7735,0,310,572269,886,1253,1176,0,73,60407,4,7,30.000000,5
6,DiscriminationTree,monitor-buchi,disprove-first,70,22,8937,7735,0,316,593389,886,1254,1176,0,74,61727,4,6,30.000000,5
6,DiscriminationTree,monitor-buchi,disprove-first,72,22,8937,7735,0,316,602729,886,1254,1176,0,74,61821,4,192,30.000000,5
6,DiscriminationTree,monitor-buchi,disprove-first,94,22,8947,7735,0,326,703579,886,1256,1176,0,76,67187,4,192,30.000000,5
6,DiscriminationTree,monitor-buchi,disprove-first,25,38,19889,17313,0,364,1182927,2212,2529,2442,0,82,90705,5,4,30.000000,6
