problem,learner,aut,bbo,property,size,realsymbols,learnsymbols,eqsymbols,emsymbols,emosymbols,insymbols,realqueries,learnqueries,eqqueries,emqueries,emoqueries,inqueries,length,multiplier,refinements
6,ExtensibleLStar,monitor,cex-first,1,217,331804,331800,0,4,0,0,52097,52096,0,1,0,0,4,30.000000,1
6,ExtensibleLStar,monitor,cex-first,3,217,331805,331800,0,5,0,0,52098,52096,0,2,0,0,1,30.000000,1
6,ExtensibleLStar,monitor,cex-first,4,217,331809,331800,0,9,0,0,52099,52096,0,3,0,0,4,30.000000,1
6,ExtensibleLStar,monitor,cex-first,6,217,331811,331800,0,11,0,0,52100,52096,0,4,0,0,2,30.000000,1
6,ExtensibleLStar,monitor,cex-first,8,217,331814,331800,0,14,0,0,52101,52096,0,5,0,0,3,30.000000,1
6,ExtensibleLStar,monitor,cex-first,10,217,331817,331800,0,17,0,0,52102,52096,0,6,0,0,3,30.000000,1
6,ExtensibleLStar,monitor,cex-first,11,217,331820,331800,0,20,0,0,52103,52096,0,7,0,0,3,30.000000,1
6,ExtensibleLStar,monitor,cex-first,13,217,331825,331800,0,25,0,0,52104,52096,0,8,0,0,5,30.000000,1
6,ExtensibleLStar,monitor,cex-first,15,217,331826,331800,0,26,0,0,52105,52096,0,9,0,0,1,30.000000,1
6,ExtensibleLStar,monitor,cex-first,16,217,331833,331800,0,33,0,0,52106,52096,0,10,0,0,7,30.000000,1
6,ExtensibleLStar,monitor,cex-first,17,217,331834,331800,0,34,0,0,52107,52096,0,11,0,0,1,30.000000,1
6,ExtensibleLStar,monitor,cex-first,18,217,331835,331800,0,35,0,0,52108,52096,0,12,0,0,1,30.000000,1
6,ExtensibleLStar,monitor,cex-first,21,217,331842,331800,0,42,0,0,52109,52096,0,13,0,0,7,30.000000,1
6,ExtensibleLStar,monitor,cex-first,22,217,331847,331800,0,47,0,0,52110,52096,0,14,0,0,5,30.000000,1
6,ExtensibleLStar,monitor,cex-first,24,217,331848,331800,0,48,0,0,52111,52096,0,15,0,0,1,30.000000,1
6,ExtensibleLStar,monitor,cex-first,25,217,331851,331800,0,51,0,0,52112,52096,0,16,0,0,3,30.000000,1
6,ExtensibleLStar,monitor,cex-first,26,217,331855,331800,0,55,0,0,52113,52096,0,17,0,0,4,30.000000,1
6,ExtensibleLStar,monitor,cex-first,27,217,331860,331800,0,60,0,0,52114,52096,0,18,0,0,5,30.000000,1
6,ExtensibleLStar,monitor,cex-first,28,217,331867,331800,0,67,0,0,52115,52096,0,19,0,0,7,30.000000,1
6,ExtensibleLStar,monitor,cex-first,29,217,331869,331800,0,69,0,0,52116,52096,0,20,0,0,2,30.000000,1
6,ExtensibleLStar,monitor,cex-first,30,217,331875,331800,0,75,0,0,52117,52096,0,21,0,0,6,30.000000,1
6,ExtensibleLStar,monitor,cex-first,31,217,331882,331800,0,82,0,0,52118,52096,0,22,0,0,7,30.000000,1
6,ExtensibleLStar,monitor,cex-first,32,217,331885,331800,0,85,0,0,52119,52096,0,23,0,0,3,30.000000,1
6,ExtensibleLStar,monitor,cex-first,34,217,331888,331800,0,88,0,0,52120,52096,0,24,0,0,3,30.000000,1
6,ExtensibleLStar,monitor,cex-first,36,217,331892,331800,0,92,0,0,52121,52096,0,25,0,0,4,30.000000,1
6,ExtensibleLStar,monitor,cex-first,38,217,331897,331800,0,97,0,0,52122,52096,0,26,0,0,5,30.000000,1
6,ExtensibleLStar,monitor,cex-first,48,217,331905,331800,0,105,0,0,52123,52096,0,27,0,0,8,30.000000,1
6,ExtensibleLStar,monitor,cex-first,49,217,331910,331800,0,110,0,0,52124,52096,0,28,0,0,5,30.000000,1
6,ExtensibleLStar,monitor,cex-first,50,217,331914,331800,0,114,0,0,52125,52096,0,29,0,0,4,30.000000,1
6,ExtensibleLStar,monitor,cex-first,51,217,331921,331800,0,121,0,0,52126,52096,0,30,0,0,7,30.000000,1
6,ExtensibleLStar,monitor,cex-first,52,217,331926,331800,0,126,0,0,52127,52096,0,31,0,0,5,30.000000,1
6,ExtensibleLStar,monitor,cex-first,53,217,331934,331800,0,134,0,0,52128,52096,0,32,0,0,8,30.000000,1
6,ExtensibleLStar,monitor,cex-first,54,217,331940,331800,0,140,0,0,52129,52096,0,33,0,0,6,30.000000,1
6,ExtensibleLStar,monitor,cex-first,55,217,331945,331800,0,145,0,0,52130,52096,0,34,0,0,5,30.000000,1
