problem,learner,aut,bbo,property,size,realsymbols,learnsymbols,eqsymbols,emsymbols,emosymbols,insymbols,realqueries,learnqueries,eqqueries,emqueries,emoqueries,inqueries,length,multiplier,refinements
6,ExtensibleLStar,monitor-buchi,cex-first,0,217,331800,331800,0,0,13,0,52096,52096,0,0,2,0,7,30.000000,1
6,ExtensibleLStar,monitor-buchi,cex-first,1,217,331804,331800,0,4,13,0,52097,52096,0,1,2,0,4,30.000000,1
6,ExtensibleLStar,monitor-buchi,cex-first,2,217,331804,331800,0,4,26,0,52097,52096,0,1,4,0,7,30.000000,1
6,ExtensibleLStar,monitor-buchi,cex-first,3,217,331805,331800,0,5,26,0,52098,52096,0,2,4,0,1,30.000000,1
6,ExtensibleLStar,monitor-buchi,cex-first,4,217,331809,331800,0,9,26,0,52099,52096,0,3,4,0,4,30.000000,1
6,ExtensibleLStar,monitor-buchi,cex-first,5,217,331809,331800,0,9,2595769,0,52099,52096,0,3,1022,0,5091,30.000000,1
6,ExtensibleLStar,monitor-buchi,cex-first,6,217,331811,331800,0,11,2595769,0,52100,52096,0,4,1022,0,2,30.000000,1
6,ExtensibleLStar,monitor-buchi,cex-first,8,217,331814,331800,0,14,2595769,0,52101,52096,0,5,1022,0,3,30.000000,1
6,ExtensibleLStar,monitor-buchi,cex-first,10,217,331817,331800,0,17,2595769,0,52102,52096,0,6,1022,0,3,30.000000,1
6,ExtensibleLStar,monitor-buchi,cex-first,11,217,331820,331800,0,20,2595769,0,52103,52096,0,7,1022,0,3,30.000000,1
6,ExtensibleLStar,monitor-buchi,cex-first,13,217,331825,331800,0,25,2595769,0,52104,52096,0,8,1022,0,5,30.000000,1
