problem,learner,aut,bbo,property,size,realsymbols,learnsymbols,eqsymbols,emsymbols,emosymbols,insymbols,realqueries,learnqueries,eqqueries,emqueries,emoqueries,inqueries,length,multiplier,refinements
6,KearnsVazirani,buchi,disprove-first,6,22,7923,6368,0,0,3430349,1555,1151,1147,0,0,102051,4,183,30.000000,5
6,KearnsVazirani,buchi,disprove-first,8,22,7923,6368,0,0,3438909,1555,1151,1147,0,0,102141,4,184,30.000000,5
6,KearnsVazirani,buchi,disprove-first,11,22,7923,6368,0,0,3475787,1555,1151,1147,0,0,103571,4,228,30.000000,5
6,KearnsVazirani,buchi,disprove-first,3,26,13204,8938,0,0,5767008,4266,1521,1515,0,0,250068,6,1276,30.000000,7
6,KearnsVazirani,buchi,disprove-first,15,26,13204,8938,0,0,8242906,4266,1521,1515,0,0,257306,6,1276,30.000000,7
6,KearnsVazirani,buchi,disprove-first,17,26,13204,8938,0,0,9953012,4266,1521,1515,0,0,258342,6,1276,30.000000,7
6,KearnsVazirani,buchi,disprove-first,18,26,13204,8938,0,0,10117804,4266,1521,1515,0,0,258598,6,1277,30.000000,7
6,KearnsVazirani,buchi,disprove-first,24,26,13204,8938,0,0,10481349,4266,1521,1515,0,0,261948,6,1276,30.000000,7
6,KearnsVazirani,buchi,disprove-first,29,26,13204,8938,0,0,14011708,4266,1521,1515,0,0,266842,6,1275,30.000000,7
6,KearnsVazirani,buchi,disprove-first,38,26,13204,8938,0,0,17327151,4266,1521,1515,0,0,273336,6,1278,30.000000,7
6,KearnsVazirani,buchi,disprove-first,49,26,13204,8938,0,0,19024246,4266,1521,1515,0,0,274371,6,1277,30.000000,7
6,KearnsVazirani,buchi,disprove-first,57,26,13204,8938,0,0,23847332,4266,1521,1515,0,0,280087,6,1276,30.000000,7
6,KearnsVazirani,buchi,disprove-first,62,26,13204,8938,0,0,24098428,4266,1521,1515,0,0,285022,6,1276,30.000000,7
6,KearnsVazirani,buchi,disprove-first,66,26,13204,8938,0,0,24318257,4266,1521,1515,0,0,286835,6,1276,30.000000,7
6,KearnsVazirani,buchi,disprove-first,68,26,13204,8938,0,0,25025193,4266,1521,1515,0,0,288516,6,1276,30.000000,7
6,KearnsVazirani,buchi,disprove-first,74,26,13204,8938,0,0,25322046,4266,1521,1515,0,0,291873,6,1276,30.000000,7
6,KearnsVazirani,buchi,disprove-first,82,26,13204,8938,0,0,25529444,4266,1521,1515,0,0,295246,6,1276,30.000000,7
6,KearnsVazirani,buchi,disprove-first,92,26,13204,8938,0,0,26453946,4266,1521,1515,0,0,304729,6,1276,30.000000,7
6,KearnsVazirani,buchi,disprove-first,48,28,19175,11003,0,0,48216963,8172,1749,1742,0,0,336441,7,3388,30.000000,8
6,KearnsVazirani,buchi,disprove-first,60,28,19175,11003,0,0,52536043,8172,1749,1742,0,0,345960,7,3306,30.000000,8
6,KearnsVazirani,buchi,disprove-first,72,28,19175,11003,0,0,52702351,8172,1749,1742,0,0,352771,7,192,30.000000,8
