problem,learner,aut,bbo,property,size,realsymbols,learnsymbols,eqsymbols,emsymbols,emosymbols,insymbols,realqueries,learnqueries,eqqueries,emqueries,emoqueries,inqueries,length,multiplier,refinements
6,KearnsVazirani,monitor-buchi,none,0,230,49361042,172212,49188830,0,13,0,6814077,28227,6785850,0,2,0,7,30.000000,136
6,KearnsVazirani,monitor-buchi,none,1,230,49361046,172212,49188830,4,13,0,6814078,28227,6785850,1,2,0,4,30.000000,136
6,KearnsVazirani,monitor-buchi,none,2,230,49361046,172212,49188830,4,26,0,6814078,28227,6785850,1,4,0,7,30.000000,136
6,KearnsVazirani,monitor-buchi,none,3,230,49361047,172212,49188830,5,26,0,6814079,28227,6785850,2,4,0,1,30.000000,136
6,KearnsVazirani,monitor-buchi,none,4,230,49361051,172212,49188830,9,26,0,6814080,28227,6785850,3,4,0,4,30.000000,136
6,KearnsVazirani,monitor-buchi,none,5,230,49361051,172212,49188830,9,2595769,0,6814080,28227,6785850,3,1022,0,5091,30.000000,136
6,KearnsVazirani,monitor-buchi,none,6,230,49361053,172212,49188830,11,2595769,0,6814081,28227,6785850,4,1022,0,2,30.000000,136
6,KearnsVazirani,monitor-buchi,none,8,230,49361056,172212,49188830,14,2595769,0,6814082,28227,6785850,5,1022,0,3,30.000000,136
6,KearnsVazirani,monitor-buchi,none,10,230,49361059,172212,49188830,17,2595769,0,6814083,28227,6785850,6,1022,0,3,30.000000,136
6,KearnsVazirani,monitor-buchi,none,11,230,49361062,172212,49188830,20,2595769,0,6814084,28227,6785850,7,1022,0,3,30.000000,136
6,KearnsVazirani,monitor-buchi,none,13,230,49361067,172212,49188830,25,2595769,0,6814085,28227,6785850,8,1022,0,5,30.000000,136
6,KearnsVazirani,monitor-buchi,none,14,230,49361067,172212,49188830,25,75676837,0,6814085,28227,6785850,8,7064,0,24176,30.000000,136
6,KearnsVazirani,monitor-buchi,none,15,230,49361068,172212,49188830,26,75676837,0,6814086,28227,6785850,9,7064,0,1,30.000000,136
6,KearnsVazirani,monitor-buchi,none,16,230,49361075,172212,49188830,33,75676837,0,6814087,28227,6785850,10,7064,0,7,30.000000,136
6,KearnsVazirani,monitor-buchi,none,17,230,49361076,172212,49188830,34,75676837,0,6814088,28227,6785850,11,7064,0,1,30.000000,136
6,KearnsVazirani,monitor-buchi,none,18,230,49361077,172212,49188830,35,75676837,0,6814089,28227,6785850,12,7064,0,1,30.000000,136
6,KearnsVazirani,monitor-buchi,none,21,230,49361084,172212,49188830,42,75676837,0,6814090,28227,6785850,13,7064,0,7,30.000000,136
6,KearnsVazirani,monitor-buchi,none,22,230,49361089,172212,49188830,47,75676837,0,6814091,28227,6785850,14,7064,0,5,30.000000,136
6,KearnsVazirani,monitor-buchi,none,24,230,49361090,172212,49188830,48,75676837,0,6814092,28227,6785850,15,7064,0,1,30.000000,136
6,KearnsVazirani,monitor-buchi,none,25,230,49361093,172212,49188830,51,75676837,0,6814093,28227,6785850,16,7064,0,3,30.000000,136
6,KearnsVazirani,monitor-buchi,none,26,230,49361097,172212,49188830,55,75676837,0,6814094,28227,6785850,17,7064,0,4,30.000000,136
6,KearnsVazirani,monitor-buchi,none,27,230,49361102,172212,49188830,60,75676837,0,6814095,28227,6785850,18,7064,0,5,30.000000,136
6,KearnsVazirani,monitor-buchi,none,28,230,49361109,172212,49188830,67,75676837,0,6814096,28227,6785850,19,7064,0,7,30.000000,136
6,KearnsVazirani,monitor-buchi,none,29,230,49361111,172212,49188830,69,75676837,0,6814097,28227,6785850,20,7064,0,2,30.000000,136
6,KearnsVazirani,monitor-buchi,none,30,230,49361117,172212,49188830,75,75676837,0,6814098,28227,6785850,21,7064,0,6,30.000000,136
6,KearnsVazirani,monitor-buchi,none,31,230,49361124,172212,49188830,82,75676837,0,6814099,28227,6785850,22,7064,0,7,30.000000,136
6,KearnsVazirani,monitor-buchi,none,32,230,49361127,172212,49188830,85,75676837,0,6814100,28227,6785850,23,7064,0,3,30.000000,136
6,KearnsVazirani,monitor-buchi,none,34,230,49361130,172212,49188830,88,75676837,0,6814101,28227,6785850,24,7064,0,3,30.000000,136
6,KearnsVazirani,monitor-buchi,none,36,230,49361134,172212,49188830,92,75676837,0,6814102,28227,6785850,25,7064,0,4,30.000000,136
6,KearnsVazirani,monitor-buchi,none,38,230,49361139,172212,49188830,97,75676837,0,6814103,28227,6785850,26,7064,0,5,30.000000,136
6,KearnsVazirani,monitor-buchi,none,48,230,49361147,172212,49188830,105,75676837,0,6814104,28227,6785850,27,7064,0,8,30.000000,136
6,KearnsVazirani,monitor-buchi,none,49,230,49361152,172212,49188830,110,75676837,0,6814105,28227,6785850,28,7064,0,5,30.000000,136
6,KearnsVazirani,monitor-buchi,none,50,230,49361156,172212,49188830,114,75676837,0,6814106,28227,6785850,29,7064,0,4,30.000000,136
