problem,learner,aut,bbo,property,size,realsymbols,learnsymbols,eqsymbols,emsymbols,emosymbols,insymbols,realqueries,learnqueries,eqqueries,emqueries,emoqueries,inqueries,length,multiplier,refinements
6,MalerPnueli,monitor,none,1,230,16045951,1969681,14076266,4,0,0,2087050,217413,1869636,1,0,0,4,30.000000,12
6,MalerPnueli,monitor,none,3,230,16045952,1969681,14076266,5,0,0,2087051,217413,1869636,2,0,0,1,30.000000,12
6,MalerPnueli,monitor,none,4,230,16045956,1969681,14076266,9,0,0,2087052,217413,1869636,3,0,0,4,30.000000,12
6,MalerPnueli,monitor,none,6,230,16045958,1969681,14076266,11,0,0,2087053,217413,1869636,4,0,0,2,30.000000,12
6,MalerPnueli,monitor,none,8,230,16045961,1969681,14076266,14,0,0,2087054,217413,1869636,5,0,0,3,30.000000,12
6,MalerPnueli,monitor,none,10,230,16045964,1969681,14076266,17,0,0,2087055,217413,1869636,6,0,0,3,30.000000,12
6,MalerPnueli,monitor,none,11,230,16045967,1969681,14076266,20,0,0,2087056,217413,1869636,7,0,0,3,30.000000,12
6,MalerPnueli,monitor,none,13,230,16045972,1969681,14076266,25,0,0,2087057,217413,1869636,8,0,0,5,30.000000,12
6,MalerPnueli,monitor,none,15,230,16045973,1969681,14076266,26,0,0,2087058,217413,1869636,9,0,0,1,30.000000,12
6,MalerPnueli,monitor,none,16,230,16045980,1969681,14076266,33,0,0,2087059,217413,1869636,10,0,0,7,30.000000,12
6,MalerPnueli,monitor,none,17,230,16045981,1969681,14076266,34,0,0,2087060,217413,1869636,11,0,0,1,30.000000,12
6,MalerPnueli,monitor,none,18,230,16045982,1969681,14076266,35,0,0,2087061,217413,1869636,12,0,0,1,30.000000,12
6,MalerPnueli,monitor,none,21,230,16045989,1969681,14076266,42,0,0,2087062,217413,1869636,13,0,0,7,30.000000,12
6,MalerPnueli,monitor,none,22,230,16045994,1969681,14076266,47,0,0,2087063,217413,1869636,14,0,0,5,30.000000,12
6,MalerPnueli,monitor,none,24,230,16045995,1969681,14076266,48,0,0,2087064,217413,1869636,15,0,0,1,30.000000,12
6,MalerPnueli,monitor,none,25,230,16045998,1969681,14076266,51,0,0,2087065,217413,1869636,16,0,0,3,30.000000,12
6,MalerPnueli,monitor,none,26,230,16046002,1969681,14076266,55,0,0,2087066,217413,1869636,17,0,0,4,30.000000,12
6,MalerPnueli,monitor,none,27,230,16046007,1969681,14076266,60,0,0,2087067,217413,1869636,18,0,0,5,30.000000,12
6,MalerPnueli,monitor,none,28,230,16046014,1969681,14076266,67,0,0,2087068,217413,1869636,19,0,0,7,30.000000,12
6,MalerPnueli,monitor,none,29,230,16046016,1969681,14076266,69,0,0,2087069,217413,1869636,20,0,0,2,30.000000,12
6,MalerPnueli,monitor,none,30,230,16046022,1969681,14076266,75,0,0,2087070,217413,1869636,21,0,0,6,30.000000,12
6,MalerPnueli,monitor,none,31,230,16046029,1969681,14076266,82,0,0,2087071,217413,1869636,22,0,0,7,30.000000,12
6,MalerPnueli,monitor,none,32,230,16046032,1969681,14076266,85,0,0,2087072,217413,1869636,23,0,0,3,30.000000,12
6,MalerPnueli,monitor,none,34,230,16046035,1969681,14076266,88,0,0,2087073,217413,1869636,24,0,0,3,30.000000,12
6,MalerPnueli,monitor,none,36,230,16046039,1969681,14076266,92,0,0,2087074,217413,1869636,25,0,0,4,30.000000,12
6,MalerPnueli,monitor,none,38,230,16046044,1969681,14076266,97,0,0,2087075,217413,1869636,26,0,0,5,30.000000,12
6,MalerPnueli,monitor,none,48,230,16046052,1969681,14076266,105,0,0,2087076,217413,1869636,27,0,0,8,30.000000,12
6,MalerPnueli,monitor,none,49,230,16046057,1969681,14076266,110,0,0,2087077,217413,1869636,28,0,0,5,30.000000,12
6,MalerPnueli,monitor,none,50,230,16046061,1969681,14076266,114,0,0,2087078,217413,1869636,29,0,0,4,30.000000,12
