problem,learner,aut,bbo,property,size,realsymbols,learnsymbols,eqsymbols,emsymbols,emosymbols,insymbols,realqueries,learnqueries,eqqueries,emqueries,emoqueries,inqueries,length,multiplier,refinements
6,MalerPnueli,monitor-buchi,none,0,230,16045947,1969681,14076266,0,13,0,2087049,217413,1869636,0,2,0,7,30.000000,12
6,MalerPnueli,monitor-buchi,none,1,230,16045951,1969681,14076266,4,13,0,2087050,217413,1869636,1,2,0,4,30.000000,12
6,MalerPnueli,monitor-buchi,none,2,230,16045951,1969681,14076266,4,26,0,2087050,217413,1869636,1,4,0,7,30.000000,12
6,MalerPnueli,monitor-buchi,none,3,230,16045952,1969681,14076266,5,26,0,2087051,217413,1869636,2,4,0,1,30.000000,12
6,MalerPnueli,monitor-buchi,none,4,230,16045956,1969681,14076266,9,26,0,2087052,217413,1869636,3,4,0,4,30.000000,12
6,MalerPnueli,monitor-buchi,none,5,230,16045956,1969681,14076266,9,2595769,0,2087052,217413,1869636,3,1022,0,5091,30.000000,12
6,MalerPnueli,monitor-buchi,none,6,230,16045958,1969681,14076266,11,2595769,0,2087053,217413,1869636,4,1022,0,2,30.000000,12
6,MalerPnueli,monitor-buchi,none,8,230,16045961,1969681,14076266,14,2595769,0,2087054,217413,1869636,5,1022,0,3,30.000000,12
6,MalerPnueli,monitor-buchi,none,10,230,16045964,1969681,14076266,17,2595769,0,2087055,217413,1869636,6,1022,0,3,30.000000,12
6,MalerPnueli,monitor-buchi,none,11,230,16045967,1969681,14076266,20,2595769,0,2087056,217413,1869636,7,1022,0,3,30.000000,12
6,MalerPnueli,monitor-buchi,none,13,230,16045972,1969681,14076266,25,2595769,0,2087057,217413,1869636,8,1022,0,5,30.000000,12
6,MalerPnueli,monitor-buchi,none,14,230,16045972,1969681,14076266,25,75676837,0,2087057,217413,1869636,8,7064,0,24176,30.000000,12
6,MalerPnueli,monitor-buchi,none,15,230,16045973,1969681,14076266,26,75676837,0,2087058,217413,1869636,9,7064,0,1,30.000000,12
6,MalerPnueli,monitor-buchi,none,16,230,16045980,1969681,14076266,33,75676837,0,2087059,217413,1869636,10,7064,0,7,30.000000,12
6,MalerPnueli,monitor-buchi,none,17,230,16045981,1969681,14076266,34,75676837,0,2087060,217413,1869636,11,7064,0,1,30.000000,12
6,MalerPnueli,monitor-buchi,none,18,230,16045982,1969681,14076266,35,75676837,0,2087061,217413,1869636,12,7064,0,1,30.000000,12
6,MalerPnueli,monitor-buchi,none,21,230,16045989,1969681,14076266,42,75676837,0,2087062,217413,1869636,13,7064,0,7,30.000000,12
6,MalerPnueli,monitor-buchi,none,22,230,16045994,1969681,14076266,47,75676837,0,2087063,217413,1869636,14,7064,0,5,30.000000,12
6,MalerPnueli,monitor-buchi,none,24,230,16045995,1969681,14076266,48,75676837,0,2087064,217413,1869636,15,7064,0,1,30.000000,12
6,MalerPnueli,monitor-buchi,none,25,230,16045998,1969681,14076266,51,75676837,0,2087065,217413,1869636,16,7064,0,3,30.000000,12
6,MalerPnueli,monitor-buchi,none,26,230,16046002,1969681,14076266,55,75676837,0,2087066,217413,1869636,17,7064,0,4,30.000000,12
6,MalerPnueli,monitor-buchi,none,27,230,16046007,1969681,14076266,60,75676837,0,2087067,217413,1869636,18,7064,0,5,30.000000,12
6,MalerPnueli,monitor-buchi,none,28,230,16046014,1969681,14076266,67,75676837,0,2087068,217413,1869636,19,7064,0,7,30.000000,12
6,MalerPnueli,monitor-buchi,none,29,230,16046016,1969681,14076266,69,75676837,0,2087069,217413,1869636,20,7064,0,2,30.000000,12
6,MalerPnueli,monitor-buchi,none,30,230,16046022,1969681,14076266,75,75676837,0,2087070,217413,1869636,21,7064,0,6,30.000000,12
6,MalerPnueli,monitor-buchi,none,31,230,16046029,1969681,14076266,82,75676837,0,2087071,217413,1869636,22,7064,0,7,30.000000,12
6,MalerPnueli,monitor-buchi,none,32,230,16046032,1969681,14076266,85,75676837,0,2087072,217413,1869636,23,7064,0,3,30.000000,12
6,MalerPnueli,monitor-buchi,none,34,230,16046035,1969681,14076266,88,75676837,0,2087073,217413,1869636,24,7064,0,3,30.000000,12
6,MalerPnueli,monitor-buchi,none,36,230,16046039,1969681,14076266,92,75676837,0,2087074,217413,1869636,25,7064,0,4,30.000000,12
6,MalerPnueli,monitor-buchi,none,38,230,16046044,1969681,14076266,97,75676837,0,2087075,217413,1869636,26,7064,0,5,30.000000,12
6,MalerPnueli,monitor-buchi,none,48,230,16046052,1969681,14076266,105,75676837,0,2087076,217413,1869636,27,7064,0,8,30.000000,12
6,MalerPnueli,monitor-buchi,none,49,230,16046057,1969681,14076266,110,75676837,0,2087077,217413,1869636,28,7064,0,5,30.000000,12
6,MalerPnueli,monitor-buchi,none,50,230,16046061,1969681,14076266,114,75676837,0,2087078,217413,1869636,29,7064,0,4,30.000000,12
6,MalerPnueli,monitor-buchi,none,51,230,16046068,1969681,14076266,121,75676837,0,2087079,217413,1869636,30,7064,0,7,30.000000,12
6,MalerPnueli,monitor-buchi,none,52,230,16046073,1969681,14076266,126,75676837,0,2087080,217413,1869636,31,7064,0,5,30.000000,12
6,MalerPnueli,monitor-buchi,none,53,230,16046081,1969681,14076266,134,75676837,0,2087081,217413,1869636,32,7064,0,8,30.000000,12
6,MalerPnueli,monitor-buchi,none,54,230,16046087,1969681,14076266,140,75676837,0,2087082,217413,1869636,33,7064,0,6,30.000000,12
6,MalerPnueli,monitor-buchi,none,55,230,16046092,1969681,14076266,145,75676837,0,2087083,217413,1869636,34,7064,0,5,30.000000,12
6,MalerPnueli,monitor-buchi,none,57,230,16046093,1969681,14076266,146,75676837,0,2087084,217413,1869636,35,7064,0,1,30.000000,12
6,MalerPnueli,monitor-buchi,none,59,230,16046099,1969681,14076266,152,75676837,0,2087085,217413,1869636,36,7064,0,6,30.000000,12
6,MalerPnueli,monitor-buchi,none,60,230,16046105,1969681,14076266,158,75676837,0,2087086,217413,1869636,37,7064,0,6,30.000000,12
6,MalerPnueli,monitor-buchi,none,61,230,16046110,1969681,14076266,163,75676837,0,2087087,217413,1869636,38,7064,0,5,30.000000,12
6,MalerPnueli,monitor-buchi,none,62,230,16046111,1969681,14076266,164,75676837,0,2087088,217413,1869636,39,7064,0,1,30.000000,12
6,MalerPnueli,monitor-buchi,none,63,230,16046118,1969681,14076266,171,75676837,0,2087089,217413,1869636,40,7064,0,7,30.000000,12
6,MalerPnueli,monitor-buchi,none,66,230,16046122,1969681,14076266,175,75676837,0,2087090,217413,1869636,41,7064,0,4,30.000000,12
6,MalerPnueli,monitor-buchi,none,67,230,16046122,1969681,14076266,175,88397833,0,2087090,217413,1869636,41,9581,0,10084,30.000000,12
6,MalerPnueli,monitor-buchi,none,68,230,16046123,1969681,14076266,176,88397833,0,2087091,217413,1869636,42,9581,0,1,30.000000,12
6,MalerPnueli,monitor-buchi,none,70,230,16046127,1969681,14076266,180,88397833,0,2087092,217413,1869636,43,9581,0,4,30.000000,12
6,MalerPnueli,monitor-buchi,none,72,230,16046127,1969681,14076266,180,88407173,0,2087092,217413,1869636,43,9675,0,192,30.000000,12
6,MalerPnueli,monitor-buchi,none,74,230,16046128,1969681,14076266,181,88407173,0,2087093,217413,1869636,44,9675,0,1,30.000000,12
6,MalerPnueli,monitor-buchi,none,78,230,16046133,1969681,14076266,186,88407173,0,2087094,217413,1869636,45,9675,0,5,30.000000,12
6,MalerPnueli,monitor-buchi,none,81,230,16046133,1969681,14076266,186,88407192,0,2087094,217413,1869636,45,9678,0,7,30.000000,12
6,MalerPnueli,monitor-buchi,none,82,230,16046138,1969681,14076266,191,88407192,0,2087095,217413,1869636,46,9678,0,5,30.000000,12
