problem,learner,aut,bbo,property,size,realsymbols,learnsymbols,eqsymbols,emsymbols,emosymbols,insymbols,realqueries,learnqueries,eqqueries,emqueries,emoqueries,inqueries,length,multiplier,refinements
6,RivestSchapire,buchi,disprove-first,8,23,8454,7932,0,0,1479665,522,1415,1412,0,0,49930,3,184,30.000000,4
6,RivestSchapire,buchi,disprove-first,0,177,9514005,9493089,0,0,20483654,20916,24007,23999,0,0,1250442,8,7,30.000000,9
6,RivestSchapire,buchi,disprove-first,2,177,9514005,9493089,0,0,20584557,20916,24007,23999,0,0,1261064,8,7,30.000000,9
6,RivestSchapire,buchi,disprove-first,3,177,9514005,9493089,0,0,20749093,20916,24007,23999,0,0,1261320,8,1276,30.000000,9
6,RivestSchapire,buchi,disprove-first,4,177,9514005,9493089,0,0,20750733,20916,24007,23999,0,0,1261357,8,80,30.000000,9
6,RivestSchapire,buchi,disprove-first,5,177,9514005,9493089,0,0,23346476,20916,24007,23999,0,0,1262375,8,5091,30.000000,9
6,RivestSchapire,buchi,disprove-first,6,177,9514005,9493089,0,0,27395067,20916,24007,23999,0,0,1263646,8,6356,30.000000,9
6,RivestSchapire,buchi,disprove-first,11,177,9514005,9493089,0,0,27615315,20916,24007,23999,0,0,1274378,8,228,30.000000,9
6,RivestSchapire,buchi,disprove-first,15,177,9514005,9493089,0,0,28263030,20916,24007,23999,0,0,1295873,8,1276,30.000000,9
6,RivestSchapire,buchi,disprove-first,16,177,9514005,9493089,0,0,29128270,20916,24007,23999,0,0,1296458,8,2936,30.000000,9
6,RivestSchapire,buchi,disprove-first,17,177,9514005,9493089,0,0,29292806,20916,24007,23999,0,0,1296714,8,1276,30.000000,9
6,RivestSchapire,buchi,disprove-first,18,177,9514005,9493089,0,0,29457598,20916,24007,23999,0,0,1296970,8,1277,30.000000,9
6,RivestSchapire,buchi,disprove-first,21,177,9514005,9493089,0,0,29506166,20916,24007,23999,0,0,1297183,8,440,30.000000,9
6,RivestSchapire,buchi,disprove-first,22,177,9514005,9493089,0,0,29506200,20916,24007,23999,0,0,1297186,8,12,30.000000,9
6,RivestSchapire,buchi,disprove-first,24,177,9514005,9493089,0,0,29670736,20916,24007,23999,0,0,1297442,8,1276,30.000000,9
6,RivestSchapire,buchi,disprove-first,25,177,9514005,9493089,0,0,29670755,20916,24007,23999,0,0,1297445,8,7,30.000000,9
6,RivestSchapire,buchi,disprove-first,26,177,9514005,9493089,0,0,31481007,20916,24007,23999,0,0,1298293,8,4249,30.000000,9
6,RivestSchapire,buchi,disprove-first,27,177,9514005,9493089,0,0,31481040,20916,24007,23999,0,0,1298295,8,17,30.000000,9
6,RivestSchapire,buchi,disprove-first,28,177,9514005,9493089,0,0,34078819,20916,24007,23999,0,0,1299313,8,5093,30.000000,9
6,RivestSchapire,buchi,disprove-first,29,177,9514005,9493089,0,0,34243094,20916,24007,23999,0,0,1299568,8,1275,30.000000,9
6,RivestSchapire,buchi,disprove-first,30,177,9514005,9493089,0,0,34666899,20916,24007,23999,0,0,1299978,8,2056,30.000000,9
6,RivestSchapire,buchi,disprove-first,38,177,9514005,9493089,0,0,35729280,20916,24007,23999,0,0,1342711,8,1278,30.000000,9
6,RivestSchapire,buchi,disprove-first,48,177,9514005,9493089,0,0,35907685,20916,24007,23999,0,0,1342976,8,1333,30.000000,9
6,RivestSchapire,buchi,disprove-first,49,177,9514005,9493089,0,0,36072470,20916,24007,23999,0,0,1343231,8,1277,30.000000,9
6,RivestSchapire,buchi,disprove-first,51,177,9514005,9493089,0,0,39319652,20916,24007,23999,0,0,1354954,8,5519,30.000000,9
6,RivestSchapire,buchi,disprove-first,53,177,9514005,9493089,0,0,39909027,20916,24007,23999,0,0,1365575,8,12,30.000000,9
6,RivestSchapire,buchi,disprove-first,54,177,9514005,9493089,0,0,39909061,20916,24007,23999,0,0,1365578,8,12,30.000000,9
6,RivestSchapire,buchi,disprove-first,55,177,9514005,9493089,0,0,42004294,20916,24007,23999,0,0,1366491,8,4571,30.000000,9
6,RivestSchapire,buchi,disprove-first,57,177,9514005,9493089,0,0,42168830,20916,24007,23999,0,0,1366747,8,1276,30.000000,9
