problem,learner,aut,bbo,property,size,realsymbols,learnsymbols,eqsymbols,emsymbols,emosymbols,insymbols,realqueries,learnqueries,eqqueries,emqueries,emoqueries,inqueries,length,multiplier,refinements
6,TTT,buchi,none,0,230,44273473,214518,44058955,0,13,0,6138558,33540,6105018,0,2,0,7,30.000000,138
6,TTT,buchi,none,1,230,44273473,214518,44058955,0,28403363,0,6138558,33540,6105018,0,3768,0,15069,30.000000,138
6,TTT,buchi,none,2,230,44273473,214518,44058955,0,28403376,0,6138558,33540,6105018,0,3770,0,7,30.000000,138
6,TTT,buchi,none,3,230,44273473,214518,44058955,0,28567912,0,6138558,33540,6105018,0,4026,0,1276,30.000000,138
6,TTT,buchi,none,4,230,44273473,214518,44058955,0,28569552,0,6138558,33540,6105018,0,4063,0,80,30.000000,138
6,TTT,buchi,none,5,230,44273473,214518,44058955,0,31165295,0,6138558,33540,6105018,0,5081,0,5091,30.000000,138
6,TTT,buchi,none,6,230,44273473,214518,44058955,0,35213886,0,6138558,33540,6105018,0,6352,0,6356,30.000000,138
6,TTT,buchi,none,8,230,44273473,214518,44058955,0,39262477,0,6138558,33540,6105018,0,7623,0,6356,30.000000,138
6,TTT,buchi,none,10,230,44273473,214518,44058955,0,75845691,0,6138558,33540,6105018,0,11897,0,17105,30.000000,138
6,TTT,buchi,none,11,230,44273473,214518,44058955,0,75858849,0,6138558,33540,6105018,0,12009,0,228,30.000000,138
6,TTT,buchi,none,13,230,44273473,214518,44058955,0,148958043,0,6138558,33540,6105018,0,18051,0,24179,30.000000,138
6,TTT,buchi,none,14,230,44273473,214518,44058955,0,222039111,0,6138558,33540,6105018,0,24093,0,24176,30.000000,138
6,TTT,buchi,none,15,230,44273473,214518,44058955,0,222203647,0,6138558,33540,6105018,0,24349,0,1276,30.000000,138
6,TTT,buchi,none,16,230,44273473,214518,44058955,0,223068887,0,6138558,33540,6105018,0,24934,0,2936,30.000000,138
6,TTT,buchi,none,17,230,44273473,214518,44058955,0,223233423,0,6138558,33540,6105018,0,25190,0,1276,30.000000,138
6,TTT,buchi,none,18,230,44273473,214518,44058955,0,223398215,0,6138558,33540,6105018,0,25446,0,1277,30.000000,138
6,TTT,buchi,none,21,230,44273473,214518,44058955,0,223446783,0,6138558,33540,6105018,0,25659,0,440,30.000000,138
6,TTT,buchi,none,22,230,44273473,214518,44058955,0,223446817,0,6138558,33540,6105018,0,25662,0,12,30.000000,138
6,TTT,buchi,none,24,230,44273473,214518,44058955,0,223611353,0,6138558,33540,6105018,0,25918,0,1276,30.000000,138
6,TTT,buchi,none,25,230,44273473,214518,44058955,0,223611372,0,6138558,33540,6105018,0,25921,0,7,30.000000,138
6,TTT,buchi,none,26,230,44273473,214518,44058955,0,225421624,0,6138558,33540,6105018,0,26769,0,4249,30.000000,138
6,TTT,buchi,none,27,230,44273473,214518,44058955,0,225421657,0,6138558,33540,6105018,0,26771,0,17,30.000000,138
6,TTT,buchi,none,28,230,44273473,214518,44058955,0,228019436,0,6138558,33540,6105018,0,27789,0,5093,30.000000,138
6,TTT,buchi,none,29,230,44273473,214518,44058955,0,228183711,0,6138558,33540,6105018,0,28044,0,1275,30.000000,138
6,TTT,buchi,none,30,230,44273473,214518,44058955,0,228607516,0,6138558,33540,6105018,0,28454,0,2056,30.000000,138
6,TTT,buchi,none,31,230,44273473,214518,44058955,0,228607589,0,6138558,33540,6105018,0,28457,0,25,30.000000,138
6,TTT,buchi,none,32,230,44273473,214518,44058955,0,228607632,0,6138558,33540,6105018,0,28460,0,15,30.000000,138
6,TTT,buchi,none,34,230,44273473,214518,44058955,0,228807016,0,6138558,33540,6105018,0,28905,0,892,30.000000,138
6,TTT,buchi,none,36,230,44273473,214518,44058955,0,278193696,0,6138558,33540,6105018,0,33869,0,19874,30.000000,138
6,TTT,buchi,none,38,230,44273473,214518,44058955,0,278358736,0,6138558,33540,6105018,0,34124,0,1278,30.000000,138
6,TTT,buchi,none,48,230,44273473,214518,44058955,0,278537141,0,6138558,33540,6105018,0,34389,0,1333,30.000000,138
6,TTT,buchi,none,49,230,44273473,214518,44058955,0,278701926,0,6138558,33540,6105018,0,34644,0,1277,30.000000,138
6,TTT,buchi,none,50,230,44273473,214518,44058955,0,291813956,0,6138558,33540,6105018,0,37201,0,10238,30.000000,138
6,TTT,buchi,none,51,230,44273473,214518,44058955,0,294864668,0,6138558,33540,6105018,0,38304,0,5519,30.000000,138
