problem,learner,aut,bbo,property,size,realsymbols,learnsymbols,eqsymbols,emsymbols,emosymbols,insymbols,realqueries,learnqueries,eqqueries,emqueries,emoqueries,inqueries,length,multiplier,refinements
6,TTT,monitor,cex-first,3,1,16,15,0,1,0,0,17,16,0,1,0,0,1,30.000000,1
6,TTT,monitor,cex-first,15,1,17,15,0,2,0,0,18,16,0,2,0,0,1,30.000000,1
6,TTT,monitor,cex-first,17,1,18,15,0,3,0,0,19,16,0,3,0,0,1,30.000000,1
6,TTT,monitor,cex-first,18,1,19,15,0,4,0,0,20,16,0,4,0,0,1,30.000000,1
6,TTT,monitor,cex-first,24,1,20,15,0,5,0,0,21,16,0,5,0,0,1,30.000000,1
6,TTT,monitor,cex-first,57,1,21,15,0,6,0,0,22,16,0,6,0,0,1,30.000000,1
6,TTT,monitor,cex-first,62,1,22,15,0,7,0,0,23,16,0,7,0,0,1,30.000000,1
6,TTT,monitor,cex-first,68,1,23,15,0,8,0,0,24,16,0,8,0,0,1,30.000000,1
6,TTT,monitor,cex-first,74,1,24,15,0,9,0,0,25,16,0,9,0,0,1,30.000000,1
6,TTT,monitor,cex-first,92,1,25,15,0,10,0,0,26,16,0,10,0,0,1,30.000000,1
6,TTT,monitor,cex-first,1,23,8331,8232,0,78,0,21,1762,1731,0,26,0,5,5,30.000000,6
6,TTT,monitor,cex-first,4,23,8336,8232,0,83,0,21,1763,1731,0,27,0,5,5,30.000000,6
6,TTT,monitor,cex-first,6,23,8338,8232,0,85,0,21,1764,1731,0,28,0,5,2,30.000000,6
6,TTT,monitor,cex-first,8,23,8341,8232,0,88,0,21,1765,1731,0,29,0,5,3,30.000000,6
6,TTT,monitor,cex-first,10,23,8344,8232,0,91,0,21,1766,1731,0,30,0,5,3,30.000000,6
6,TTT,monitor,cex-first,11,23,8347,8232,0,94,0,21,1767,1731,0,31,0,5,3,30.000000,6
6,TTT,monitor,cex-first,13,37,16797,16612,0,148,0,37,3238,3193,0,38,0,7,6,30.000000,8
6,TTT,monitor,cex-first,16,51,27512,27235,0,219,0,58,4968,4910,0,48,0,10,8,30.000000,11
6,TTT,monitor,cex-first,21,54,29491,29118,0,293,0,80,5346,5275,0,58,0,13,8,30.000000,14
6,TTT,monitor,cex-first,22,54,29496,29118,0,298,0,80,5347,5275,0,59,0,13,5,30.000000,14
6,TTT,monitor,cex-first,25,54,29499,29118,0,301,0,80,5348,5275,0,60,0,13,3,30.000000,14
6,TTT,monitor,cex-first,26,54,29503,29118,0,305,0,80,5349,5275,0,61,0,13,4,30.000000,14
6,TTT,monitor,cex-first,27,60,34102,33667,0,344,0,91,6073,5990,0,68,0,15,6,30.000000,16
6,TTT,monitor,cex-first,28,60,34109,33667,0,351,0,91,6074,5990,0,69,0,15,7,30.000000,16
6,TTT,monitor,cex-first,29,60,34111,33667,0,353,0,91,6075,5990,0,70,0,15,2,30.000000,16
6,TTT,monitor,cex-first,30,60,34118,33667,0,360,0,91,6076,5990,0,71,0,15,7,30.000000,16
6,TTT,monitor,cex-first,31,65,39510,38986,0,417,0,107,6990,6895,0,78,0,17,9,30.000000,18
6,TTT,monitor,cex-first,32,65,39513,38986,0,420,0,107,6991,6895,0,79,0,17,3,30.000000,18
6,TTT,monitor,cex-first,34,65,39516,38986,0,423,0,107,6992,6895,0,80,0,17,3,30.000000,18
6,TTT,monitor,cex-first,36,65,39520,38986,0,427,0,107,6993,6895,0,81,0,17,4,30.000000,18
6,TTT,monitor,cex-first,38,65,39525,38986,0,432,0,107,6994,6895,0,82,0,17,5,30.000000,18
6,TTT,monitor,cex-first,48,71,45116,44500,0,492,0,124,7892,7784,0,89,0,19,9,30.000000,20
6,TTT,monitor,cex-first,49,71,45121,44500,0,497,0,124,7893,7784,0,90,0,19,5,30.000000,20
6,TTT,monitor,cex-first,50,71,45127,44500,0,503,0,124,7894,7784,0,91,0,19,6,30.000000,20
6,TTT,monitor,cex-first,51,80,52261,51495,0,609,0,157,9012,8881,0,107,0,24,7,30.000000,25
6,TTT,monitor,cex-first,52,80,52266,51495,0,614,0,157,9013,8881,0,108,0,24,5,30.000000,25
