problem,learner,aut,bbo,property,size,realsymbols,learnsymbols,eqsymbols,emsymbols,emosymbols,insymbols,realqueries,learnqueries,eqqueries,emqueries,emoqueries,inqueries,length,multiplier,refinements
6,TTT,monitor-buchi,cex-first,3,1,16,15,0,1,0,0,17,16,0,1,0,0,1,30.000000,1
6,TTT,monitor-buchi,cex-first,15,1,17,15,0,2,0,0,18,16,0,2,0,0,1,30.000000,1
6,TTT,monitor-buchi,cex-first,17,1,18,15,0,3,0,0,19,16,0,3,0,0,1,30.000000,1
6,TTT,monitor-buchi,cex-first,18,1,19,15,0,4,0,0,20,16,0,4,0,0,1,30.000000,1
6,TTT,monitor-buchi,cex-first,24,1,20,15,0,5,0,0,21,16,0,5,0,0,1,30.000000,1
6,TTT,monitor-buchi,cex-first,57,1,21,15,0,6,0,0,22,16,0,6,0,0,1,30.000000,1
6,TTT,monitor-buchi,cex-first,62,1,22,15,0,7,0,0,23,16,0,7,0,0,1,30.000000,1
6,TTT,monitor-buchi,cex-first,68,1,23,15,0,8,0,0,24,16,0,8,0,0,1,30.000000,1
6,TTT,monitor-buchi,cex-first,74,1,24,15,0,9,0,0,25,16,0,9,0,0,1,30.000000,1
6,TTT,monitor-buchi,cex-first,92,1,25,15,0,10,0,0,26,16,0,10,0,0,1,30.000000,1
6,TTT,monitor-buchi,cex-first,0,37,17032,15433,0,18,103751,1581,2999,2980,0,14,12530,5,7,30.000000,6
6,TTT,monitor-buchi,cex-first,1,37,17036,15433,0,22,103751,1581,3000,2980,0,15,12530,5,4,30.000000,6
6,TTT,monitor-buchi,cex-first,2,37,17036,15433,0,22,103764,1581,3000,2980,0,15,12532,5,7,30.000000,6
6,TTT,monitor-buchi,cex-first,4,37,17040,15433,0,26,103764,1581,3001,2980,0,16,12532,5,4,30.000000,6
6,TTT,monitor-buchi,cex-first,5,51,37652,28503,0,26,3838433,9123,5065,5040,0,16,53971,9,5676,30.000000,10
6,TTT,monitor-buchi,cex-first,6,51,37654,28503,0,28,3838433,9123,5066,5040,0,17,53971,9,2,30.000000,10
6,TTT,monitor-buchi,cex-first,8,51,37657,28503,0,31,3838433,9123,5067,5040,0,18,53971,9,3,30.000000,10
6,TTT,monitor-buchi,cex-first,10,51,37660,28503,0,34,3838433,9123,5068,5040,0,19,53971,9,3,30.000000,10
6,TTT,monitor-buchi,cex-first,11,51,37663,28503,0,37,3838433,9123,5069,5040,0,20,53971,9,3,30.000000,10
6,TTT,monitor-buchi,cex-first,13,51,37668,28503,0,42,3838433,9123,5070,5040,0,21,53971,9,5,30.000000,10
6,TTT,monitor-buchi,cex-first,16,66,75248,40924,0,110,91973588,34214,7169,7124,0,30,93699,15,8,30.000000,13
6,TTT,monitor-buchi,cex-first,21,66,75255,40924,0,117,91973588,34214,7170,7124,0,31,93699,15,7,30.000000,13
6,TTT,monitor-buchi,cex-first,22,66,75262,40924,0,124,91973622,34214,7171,7124,0,32,93702,15,12,30.000000,13
6,TTT,monitor-buchi,cex-first,25,66,75265,40924,0,127,91973622,34214,7172,7124,0,33,93702,15,3,30.000000,13
6,TTT,monitor-buchi,cex-first,26,77,103886,51577,0,179,191270850,52130,8910,8849,0,42,117204,19,4,30.000000,15
6,TTT,monitor-buchi,cex-first,27,77,103891,51577,0,184,191270850,52130,8911,8849,0,43,117204,19,5,30.000000,15
6,TTT,monitor-buchi,cex-first,28,77,103898,51577,0,191,191270850,52130,8912,8849,0,44,117204,19,7,30.000000,15
6,TTT,monitor-buchi,cex-first,29,77,103900,51577,0,193,191270850,52130,8913,8849,0,45,117204,19,2,30.000000,15
6,TTT,monitor-buchi,cex-first,30,78,113832,52095,0,228,235398420,61509,9003,8932,0,50,131184,21,7,30.000000,16
6,TTT,monitor-buchi,cex-first,31,87,143453,61575,0,291,336906840,81587,10497,10413,0,59,160704,25,7,30.000000,18
6,TTT,monitor-buchi,cex-first,32,87,143456,61575,0,294,336906840,81587,10498,10413,0,60,160704,25,3,30.000000,18
6,TTT,monitor-buchi,cex-first,34,87,143459,61575,0,297,336906840,81587,10499,10413,0,61,160704,25,3,30.000000,18
6,TTT,monitor-buchi,cex-first,36,87,143463,61575,0,301,336906840,81587,10500,10413,0,62,160704,25,4,30.000000,18
6,TTT,monitor-buchi,cex-first,38,87,143468,61575,0,306,336906840,81587,10501,10413,0,63,160704,25,5,30.000000,18
6,TTT,monitor-buchi,cex-first,48,89,154948,62320,0,342,407236216,92286,10629,10534,0,68,175276,27,8,30.000000,19
6,TTT,monitor-buchi,cex-first,49,89,154953,62320,0,347,407236216,92286,10630,10534,0,69,175276,27,5,30.000000,19
6,TTT,monitor-buchi,cex-first,50,89,154957,62320,0,351,407236216,92286,10631,10534,0,70,175276,27,4,30.000000,19
6,TTT,monitor-buchi,cex-first,51,94,203198,66331,0,466,699543604,136401,11291,11169,0,87,236255,35,7,30.000000,23
6,TTT,monitor-buchi,cex-first,52,94,203204,66331,0,472,699543604,136401,11292,11169,0,88,236255,35,6,30.000000,23
6,TTT,monitor-buchi,cex-first,53,94,203212,66331,0,480,699543604,136401,11293,11169,0,89,236255,35,8,30.000000,23
6,TTT,monitor-buchi,cex-first,54,94,203218,66331,0,486,699543638,136401,11294,11169,0,90,236258,35,12,30.000000,23
6,TTT,monitor-buchi,cex-first,55,94,203223,66331,0,491,699543638,136401,11295,11169,0,91,236258,35,5,30.000000,23
6,TTT,monitor-buchi,cex-first,59,96,227320,67418,0,545,831511568,159357,11473,11334,0,100,270518,39,6,30.000000,25
6,TTT,monitor-buchi,cex-first,60,97,239663,68067,0,580,900640848,171016,11575,11429,0,105,288578,41,3306,30.000000,26
6,TTT,monitor-buchi,cex-first,61,97,239668,68067,0,585,900640848,171016,11576,11429,0,106,288578,41,5,30.000000,26
6,TTT,monitor-buchi,cex-first,63,97,239675,68067,0,592,900640848,171016,11577,11429,0,107,288578,41,7,30.000000,26
6,TTT,monitor-buchi,cex-first,66,97,239679,68067,0,596,900640848,171016,11578,11429,0,108,288578,41,4,30.000000,26
6,TTT,monitor-buchi,cex-first,70,98,246285,68814,0,600,989326128,194563,11690,11539,0,109,355958,44,4,30.000000,27
6,TTT,monitor-buchi,cex-first,72,98,246285,68814,0,600,989335468,194563,11690,11539,0,109,356052,44,192,30.000000,27
6,TTT,monitor-buchi,cex-first,78,98,246290,68814,0,605,989335468,194563,11691,11539,0,110,356052,44,5,30.000000,27
6,TTT,monitor-buchi,cex-first,81,98,246290,68814,0,605,989335487,194563,11691,11539,0,110,356055,44,7,30.000000,27
6,TTT,monitor-buchi,cex-first,82,98,246295,68814,0,610,989335487,194563,11692,11539,0,111,356055,44,5,30.000000,27
6,TTT,monitor-buchi,cex-first,83,98,246300,68814,0,615,989335487,194563,11693,11539,0,112,356055,44,5,30.000000,27
6,TTT,monitor-buchi,cex-first,84,98,246304,68814,0,619,989335487,194563,11694,11539,0,113,356055,44,4,30.000000,27
6,TTT,monitor-buchi,cex-first,85,98,246308,68814,0,623,989335487,194563,11695,11539,0,114,356055,44,4,30.000000,27
6,TTT,monitor-buchi,cex-first,87,98,246308,68814,0,623,989337255,194563,11695,11539,0,114,356083,44,115,30.000000,27
6,TTT,monitor-buchi,cex-first,88,98,246310,68814,0,625,989337255,194563,11696,11539,0,115,356083,44,2,30.000000,27
6,TTT,monitor-buchi,cex-first,90,98,246313,68814,0,628,989337255,194563,11697,11539,0,116,356083,44,3,30.000000,27
6,TTT,monitor-buchi,cex-first,94,98,246313,68814,0,628,989346595,194563,11697,11539,0,116,356177,44,192,30.000000,27
6,TTT,monitor-buchi,cex-first,99,98,246321,68814,0,636,1000790770,194563,11699,11539,0,118,361187,44,2,30.000000,27
