problem,learner,aut,bbo,property,size,realsymbols,learnsymbols,eqsymbols,emsymbols,emosymbols,insymbols,realqueries,learnqueries,eqqueries,emqueries,emoqueries,inqueries,length,multiplier,refinements
7,DHC,monitor,none,0,666,259508376,50606080,208902295,1,0,0,24603520,5092450,19511069,1,0,0,1,35.000000,32
7,DHC,monitor,none,1,666,259508377,50606080,208902295,2,0,0,24603521,5092450,19511069,2,0,0,1,35.000000,32
7,DHC,monitor,none,4,666,259508387,50606080,208902295,12,0,0,24603522,5092450,19511069,3,0,0,10,35.000000,32
7,DHC,monitor,none,5,666,259508391,50606080,208902295,16,0,0,24603523,5092450,19511069,4,0,0,4,35.000000,32
7,DHC,monitor,none,6,666,259508395,50606080,208902295,20,0,0,24603524,5092450,19511069,5,0,0,4,35.000000,32
7,DHC,monitor,none,9,666,259508400,50606080,208902295,25,0,0,24603525,5092450,19511069,6,0,0,5,35.000000,32
7,DHC,monitor,none,14,666,259508407,50606080,208902295,32,0,0,24603526,5092450,19511069,7,0,0,7,35.000000,32
7,DHC,monitor,none,16,666,259508413,50606080,208902295,38,0,0,24603527,5092450,19511069,8,0,0,6,35.000000,32
7,DHC,monitor,none,21,666,259508419,50606080,208902295,44,0,0,24603528,5092450,19511069,9,0,0,6,35.000000,32
7,DHC,monitor,none,22,666,259508424,50606080,208902295,49,0,0,24603529,5092450,19511069,10,0,0,5,35.000000,32
7,DHC,monitor,none,23,666,259508430,50606080,208902295,55,0,0,24603530,5092450,19511069,11,0,0,6,35.000000,32
7,DHC,monitor,none,27,666,259508437,50606080,208902295,62,0,0,24603531,5092450,19511069,12,0,0,7,35.000000,32
7,DHC,monitor,none,28,666,259508445,50606080,208902295,70,0,0,24603532,5092450,19511069,13,0,0,8,35.000000,32
7,DHC,monitor,none,35,666,259508452,50606080,208902295,77,0,0,24603533,5092450,19511069,14,0,0,7,35.000000,32
7,DHC,monitor,none,37,666,259508456,50606080,208902295,81,0,0,24603534,5092450,19511069,15,0,0,4,35.000000,32
7,DHC,monitor,none,39,666,259508457,50606080,208902295,82,0,0,24603535,5092450,19511069,16,0,0,1,35.000000,32
7,DHC,monitor,none,40,666,259508462,50606080,208902295,87,0,0,24603536,5092450,19511069,17,0,0,5,35.000000,32
7,DHC,monitor,none,41,666,259508467,50606080,208902295,92,0,0,24603537,5092450,19511069,18,0,0,5,35.000000,32
7,DHC,monitor,none,43,666,259508472,50606080,208902295,97,0,0,24603538,5092450,19511069,19,0,0,5,35.000000,32
7,DHC,monitor,none,45,666,259508480,50606080,208902295,105,0,0,24603539,5092450,19511069,20,0,0,8,35.000000,32
7,DHC,monitor,none,47,666,259508486,50606080,208902295,111,0,0,24603540,5092450,19511069,21,0,0,6,35.000000,32
7,DHC,monitor,none,48,666,259508491,50606080,208902295,116,0,0,24603541,5092450,19511069,22,0,0,5,35.000000,32
7,DHC,monitor,none,49,666,259508495,50606080,208902295,120,0,0,24603542,5092450,19511069,23,0,0,4,35.000000,32
7,DHC,monitor,none,50,666,259508498,50606080,208902295,123,0,0,24603543,5092450,19511069,24,0,0,3,35.000000,32
7,DHC,monitor,none,51,666,259508502,50606080,208902295,127,0,0,24603544,5092450,19511069,25,0,0,4,35.000000,32
7,DHC,monitor,none,52,666,259508507,50606080,208902295,132,0,0,24603545,5092450,19511069,26,0,0,5,35.000000,32
7,DHC,monitor,none,55,666,259508517,50606080,208902295,142,0,0,24603546,5092450,19511069,27,0,0,10,35.000000,32
7,DHC,monitor,none,56,666,259508521,50606080,208902295,146,0,0,24603547,5092450,19511069,28,0,0,4,35.000000,32
7,DHC,monitor,none,60,666,259508528,50606080,208902295,153,0,0,24603548,5092450,19511069,29,0,0,7,35.000000,32
7,DHC,monitor,none,61,666,259508535,50606080,208902295,160,0,0,24603549,5092450,19511069,30,0,0,7,35.000000,32
7,DHC,monitor,none,63,666,259508536,50606080,208902295,161,0,0,24603550,5092450,19511069,31,0,0,1,35.000000,32
7,DHC,monitor,none,65,666,259508543,50606080,208902295,168,0,0,24603551,5092450,19511069,32,0,0,7,35.000000,32
7,DHC,monitor,none,67,666,259508545,50606080,208902295,170,0,0,24603552,5092450,19511069,33,0,0,2,35.000000,32
7,DHC,monitor,none,68,666,259508546,50606080,208902295,171,0,0,24603553,5092450,19511069,34,0,0,1,35.000000,32
7,DHC,monitor,none,69,666,259508550,50606080,208902295,175,0,0,24603554,5092450,19511069,35,0,0,4,35.000000,32
7,DHC,monitor,none,79,666,259508555,50606080,208902295,180,0,0,24603555,5092450,19511069,36,0,0,5,35.000000,32
7,DHC,monitor,none,82,666,259508559,50606080,208902295,184,0,0,24603556,5092450,19511069,37,0,0,4,35.000000,32
7,DHC,monitor,none,86,666,259508565,50606080,208902295,190,0,0,24603557,5092450,19511069,38,0,0,6,35.000000,32
7,DHC,monitor,none,90,666,259508572,50606080,208902295,197,0,0,24603558,5092450,19511069,39,0,0,7,35.000000,32
7,DHC,monitor,none,92,666,259508573,50606080,208902295,198,0,0,24603559,5092450,19511069,40,0,0,1,35.000000,32
7,DHC,monitor,none,93,666,259508576,50606080,208902295,201,0,0,24603560,5092450,19511069,41,0,0,3,35.000000,32
7,DHC,monitor,none,98,666,259508581,50606080,208902295,206,0,0,24603561,5092450,19511069,42,0,0,5,35.000000,32
7,DHC,monitor,none,99,666,259508585,50606080,208902295,210,0,0,24603562,5092450,19511069,43,0,0,4,35.000000,32
