problem,learner,aut,bbo,property,size,realsymbols,learnsymbols,eqsymbols,emsymbols,emosymbols,insymbols,realqueries,learnqueries,eqqueries,emqueries,emoqueries,inqueries,length,multiplier,refinements
7,DiscriminationTree,monitor,cex-first,0,1,11,10,0,1,0,0,12,11,0,1,0,0,1,35.000000,1
7,DiscriminationTree,monitor,cex-first,1,1,12,10,0,2,0,0,13,11,0,2,0,0,1,35.000000,1
7,DiscriminationTree,monitor,cex-first,39,1,13,10,0,3,0,0,14,11,0,3,0,0,1,35.000000,1
7,DiscriminationTree,monitor,cex-first,63,1,14,10,0,4,0,0,15,11,0,4,0,0,1,35.000000,1
7,DiscriminationTree,monitor,cex-first,68,1,15,10,0,5,0,0,16,11,0,5,0,0,1,35.000000,1
7,DiscriminationTree,monitor,cex-first,92,1,16,10,0,6,0,0,17,11,0,6,0,0,1,35.000000,1
7,DiscriminationTree,monitor,cex-first,67,2,104,84,12,8,0,0,64,45,12,7,0,0,2,35.000000,2
7,DiscriminationTree,monitor,cex-first,5,75,25227,24835,324,54,0,14,2935,2811,108,14,0,2,4,35.000000,5
7,DiscriminationTree,monitor,cex-first,6,75,25231,24835,324,58,0,14,2936,2811,108,15,0,2,4,35.000000,5
7,DiscriminationTree,monitor,cex-first,9,75,25238,24835,324,65,0,14,2937,2811,108,16,0,2,7,35.000000,5
7,DiscriminationTree,monitor,cex-first,4,175,73147,72469,324,274,0,80,7579,7424,108,38,0,9,11,35.000000,12
7,DiscriminationTree,monitor,cex-first,14,175,73154,72469,324,281,0,80,7580,7424,108,39,0,9,7,35.000000,12
7,DiscriminationTree,monitor,cex-first,16,175,73160,72469,324,287,0,80,7581,7424,108,40,0,9,6,35.000000,12
7,DiscriminationTree,monitor,cex-first,21,183,78124,77403,324,311,0,86,8089,7927,108,44,0,10,6,35.000000,13
7,DiscriminationTree,monitor,cex-first,22,183,78129,77403,324,316,0,86,8090,7927,108,45,0,10,5,35.000000,13
7,DiscriminationTree,monitor,cex-first,23,184,78499,77743,324,340,0,92,8143,7975,108,49,0,11,6,35.000000,14
7,DiscriminationTree,monitor,cex-first,27,184,78506,77743,324,347,0,92,8144,7975,108,50,0,11,7,35.000000,14
7,DiscriminationTree,monitor,cex-first,28,184,78515,77743,324,356,0,92,8145,7975,108,51,0,11,9,35.000000,14
7,DiscriminationTree,monitor,cex-first,35,184,78522,77743,324,363,0,92,8146,7975,108,52,0,11,7,35.000000,14
7,DiscriminationTree,monitor,cex-first,37,184,78526,77743,324,367,0,92,8147,7975,108,53,0,11,4,35.000000,14
7,DiscriminationTree,monitor,cex-first,40,184,78531,77743,324,372,0,92,8148,7975,108,54,0,11,5,35.000000,14
7,DiscriminationTree,monitor,cex-first,41,184,78536,77743,324,377,0,92,8149,7975,108,55,0,11,5,35.000000,14
7,DiscriminationTree,monitor,cex-first,43,184,78541,77743,324,382,0,92,8150,7975,108,56,0,11,5,35.000000,14
7,DiscriminationTree,monitor,cex-first,45,186,79367,78529,324,414,0,100,8239,8059,108,60,0,12,8,35.000000,15
7,DiscriminationTree,monitor,cex-first,47,186,79373,78529,324,420,0,100,8240,8059,108,61,0,12,6,35.000000,15
7,DiscriminationTree,monitor,cex-first,48,186,79378,78529,324,425,0,100,8241,8059,108,62,0,12,5,35.000000,15
7,DiscriminationTree,monitor,cex-first,49,186,79382,78529,324,429,0,100,8242,8059,108,63,0,12,4,35.000000,15
7,DiscriminationTree,monitor,cex-first,50,186,79385,78529,324,432,0,100,8243,8059,108,64,0,12,3,35.000000,15
7,DiscriminationTree,monitor,cex-first,51,186,79389,78529,324,436,0,100,8244,8059,108,65,0,12,4,35.000000,15
7,DiscriminationTree,monitor,cex-first,52,186,79394,78529,324,441,0,100,8245,8059,108,66,0,12,5,35.000000,15
7,DiscriminationTree,monitor,cex-first,55,249,115729,114562,324,670,0,173,11420,11205,108,88,0,19,10,35.000000,22
7,DiscriminationTree,monitor,cex-first,56,249,115733,114562,324,674,0,173,11421,11205,108,89,0,19,4,35.000000,22
7,DiscriminationTree,monitor,cex-first,60,249,115740,114562,324,681,0,173,11422,11205,108,90,0,19,7,35.000000,22
7,DiscriminationTree,monitor,cex-first,61,249,115747,114562,324,688,0,173,11423,11205,108,91,0,19,7,35.000000,22
7,DiscriminationTree,monitor,cex-first,65,249,115754,114562,324,695,0,173,11424,11205,108,92,0,19,7,35.000000,22
7,DiscriminationTree,monitor,cex-first,69,249,115758,114562,324,699,0,173,11425,11205,108,93,0,19,4,35.000000,22
7,DiscriminationTree,monitor,cex-first,79,249,115763,114562,324,704,0,173,11426,11205,108,94,0,19,5,35.000000,22
7,DiscriminationTree,monitor,cex-first,82,249,115767,114562,324,708,0,173,11427,11205,108,95,0,19,4,35.000000,22
7,DiscriminationTree,monitor,cex-first,86,249,115773,114562,324,714,0,173,11428,11205,108,96,0,19,6,35.000000,22
7,DiscriminationTree,monitor,cex-first,90,249,115780,114562,324,721,0,173,11429,11205,108,97,0,19,7,35.000000,22
7,DiscriminationTree,monitor,cex-first,93,249,115783,114562,324,724,0,173,11430,11205,108,98,0,19,3,35.000000,22
7,DiscriminationTree,monitor,cex-first,98,249,115788,114562,324,729,0,173,11431,11205,108,99,0,19,5,35.000000,22
7,DiscriminationTree,monitor,cex-first,99,249,115792,114562,324,733,0,173,11432,11205,108,100,0,19,4,35.000000,22
