problem,learner,aut,bbo,property,size,realsymbols,learnsymbols,eqsymbols,emsymbols,emosymbols,insymbols,realqueries,learnqueries,eqqueries,emqueries,emoqueries,inqueries,length,multiplier,refinements
7,RivestSchapire,monitor-buchi,none,0,666,63532072,2614321,60917750,1,0,0,5929131,226578,5702552,1,0,0,1,35.000000,34
7,RivestSchapire,monitor-buchi,none,1,666,63532073,2614321,60917750,2,0,0,5929132,226578,5702552,2,0,0,1,35.000000,34
7,RivestSchapire,monitor-buchi,none,4,666,63532083,2614321,60917750,12,0,0,5929133,226578,5702552,3,0,0,10,35.000000,34
7,RivestSchapire,monitor-buchi,none,5,666,63532087,2614321,60917750,16,0,0,5929134,226578,5702552,4,0,0,4,35.000000,34
7,RivestSchapire,monitor-buchi,none,6,666,63532091,2614321,60917750,20,0,0,5929135,226578,5702552,5,0,0,4,35.000000,34
7,RivestSchapire,monitor-buchi,none,9,666,63532096,2614321,60917750,25,0,0,5929136,226578,5702552,6,0,0,5,35.000000,34
7,RivestSchapire,monitor-buchi,none,10,666,63532096,2614321,60917750,25,92,0,5929136,226578,5702552,6,3,0,32,35.000000,34
7,RivestSchapire,monitor-buchi,none,13,666,63532096,2614321,60917750,25,157,0,5929136,226578,5702552,6,6,0,25,35.000000,34
7,RivestSchapire,monitor-buchi,none,14,666,63532103,2614321,60917750,32,157,0,5929137,226578,5702552,7,6,0,7,35.000000,34
7,RivestSchapire,monitor-buchi,none,16,666,63532109,2614321,60917750,38,157,0,5929138,226578,5702552,8,6,0,6,35.000000,34
7,RivestSchapire,monitor-buchi,none,18,666,63532109,2614321,60917750,38,252,0,5929138,226578,5702552,8,9,0,33,35.000000,34
7,RivestSchapire,monitor-buchi,none,21,666,63532115,2614321,60917750,44,252,0,5929139,226578,5702552,9,9,0,6,35.000000,34
7,RivestSchapire,monitor-buchi,none,22,666,63532120,2614321,60917750,49,252,0,5929140,226578,5702552,10,9,0,5,35.000000,34
7,RivestSchapire,monitor-buchi,none,23,666,63532126,2614321,60917750,55,252,0,5929141,226578,5702552,11,9,0,6,35.000000,34
7,RivestSchapire,monitor-buchi,none,26,666,63532126,2614321,60917750,55,301,0,5929141,226578,5702552,11,11,0,25,35.000000,34
7,RivestSchapire,monitor-buchi,none,27,666,63532133,2614321,60917750,62,301,0,5929142,226578,5702552,12,11,0,7,35.000000,34
7,RivestSchapire,monitor-buchi,none,28,666,63532141,2614321,60917750,70,301,0,5929143,226578,5702552,13,11,0,8,35.000000,34
7,RivestSchapire,monitor-buchi,none,29,666,63532141,2614321,60917750,70,378,0,5929143,226578,5702552,13,14,0,27,35.000000,34
7,RivestSchapire,monitor-buchi,none,30,666,63532141,2614321,60917750,70,461,0,5929143,226578,5702552,13,17,0,29,35.000000,34
7,RivestSchapire,monitor-buchi,none,35,666,63532148,2614321,60917750,77,461,0,5929144,226578,5702552,14,17,0,7,35.000000,34
7,RivestSchapire,monitor-buchi,none,37,666,63532152,2614321,60917750,81,461,0,5929145,226578,5702552,15,17,0,4,35.000000,34
7,RivestSchapire,monitor-buchi,none,39,666,63532153,2614321,60917750,82,461,0,5929146,226578,5702552,16,17,0,1,35.000000,34
7,RivestSchapire,monitor-buchi,none,40,666,63532158,2614321,60917750,87,461,0,5929147,226578,5702552,17,17,0,5,35.000000,34
7,RivestSchapire,monitor-buchi,none,41,666,63532163,2614321,60917750,92,461,0,5929148,226578,5702552,18,17,0,5,35.000000,34
7,RivestSchapire,monitor-buchi,none,42,666,63532163,2614321,60917750,92,521,0,5929148,226578,5702552,18,19,0,31,35.000000,34
7,RivestSchapire,monitor-buchi,none,43,666,63532168,2614321,60917750,97,521,0,5929149,226578,5702552,19,19,0,5,35.000000,34
7,RivestSchapire,monitor-buchi,none,45,666,63532176,2614321,60917750,105,521,0,5929150,226578,5702552,20,19,0,8,35.000000,34
7,RivestSchapire,monitor-buchi,none,47,666,63532182,2614321,60917750,111,521,0,5929151,226578,5702552,21,19,0,6,35.000000,34
7,RivestSchapire,monitor-buchi,none,48,666,63532187,2614321,60917750,116,521,0,5929152,226578,5702552,22,19,0,5,35.000000,34
7,RivestSchapire,monitor-buchi,none,49,666,63532191,2614321,60917750,120,521,0,5929153,226578,5702552,23,19,0,4,35.000000,34
7,RivestSchapire,monitor-buchi,none,50,666,63532194,2614321,60917750,123,521,0,5929154,226578,5702552,24,19,0,3,35.000000,34
7,RivestSchapire,monitor-buchi,none,51,666,63532198,2614321,60917750,127,521,0,5929155,226578,5702552,25,19,0,4,35.000000,34
7,RivestSchapire,monitor-buchi,none,52,666,63532203,2614321,60917750,132,521,0,5929156,226578,5702552,26,19,0,5,35.000000,34
7,RivestSchapire,monitor-buchi,none,55,666,63532213,2614321,60917750,142,521,0,5929157,226578,5702552,27,19,0,10,35.000000,34
7,RivestSchapire,monitor-buchi,none,56,666,63532217,2614321,60917750,146,521,0,5929158,226578,5702552,28,19,0,4,35.000000,34
7,RivestSchapire,monitor-buchi,none,57,666,63532217,2614321,60917750,146,558,0,5929158,226578,5702552,28,21,0,19,35.000000,34
7,RivestSchapire,monitor-buchi,none,58,666,63532217,2614321,60917750,146,587,0,5929158,226578,5702552,28,23,0,15,35.000000,34
7,RivestSchapire,monitor-buchi,none,60,666,63532224,2614321,60917750,153,587,0,5929159,226578,5702552,29,23,0,7,35.000000,34
7,RivestSchapire,monitor-buchi,none,61,666,63532231,2614321,60917750,160,587,0,5929160,226578,5702552,30,23,0,7,35.000000,34
7,RivestSchapire,monitor-buchi,none,63,666,63532232,2614321,60917750,161,587,0,5929161,226578,5702552,31,23,0,1,35.000000,34
7,RivestSchapire,monitor-buchi,none,64,666,63532232,2614321,60917750,161,674,0,5929161,226578,5702552,31,25,0,44,35.000000,34
7,RivestSchapire,monitor-buchi,none,65,666,63532239,2614321,60917750,168,674,0,5929162,226578,5702552,32,25,0,7,35.000000,34
7,RivestSchapire,monitor-buchi,none,67,666,63532241,2614321,60917750,170,674,0,5929163,226578,5702552,33,25,0,2,35.000000,34
7,RivestSchapire,monitor-buchi,none,68,666,63532242,2614321,60917750,171,674,0,5929164,226578,5702552,34,25,0,1,35.000000,34
7,RivestSchapire,monitor-buchi,none,69,666,63532246,2614321,60917750,175,674,0,5929165,226578,5702552,35,25,0,4,35.000000,34
7,RivestSchapire,monitor-buchi,none,70,666,63532246,2614321,60917750,175,719,0,5929165,226578,5702552,35,28,0,17,35.000000,34
7,RivestSchapire,monitor-buchi,none,74,666,63532246,2614321,60917750,175,768,0,5929165,226578,5702552,35,30,0,25,35.000000,34
7,RivestSchapire,monitor-buchi,none,79,666,63532251,2614321,60917750,180,768,0,5929166,226578,5702552,36,30,0,5,35.000000,34
7,RivestSchapire,monitor-buchi,none,82,666,63532255,2614321,60917750,184,768,0,5929167,226578,5702552,37,30,0,4,35.000000,34
7,RivestSchapire,monitor-buchi,none,86,666,63532261,2614321,60917750,190,768,0,5929168,226578,5702552,38,30,0,6,35.000000,34
7,RivestSchapire,monitor-buchi,none,90,666,63532268,2614321,60917750,197,768,0,5929169,226578,5702552,39,30,0,7,35.000000,34
7,RivestSchapire,monitor-buchi,none,92,666,63532269,2614321,60917750,198,768,0,5929170,226578,5702552,40,30,0,1,35.000000,34
7,RivestSchapire,monitor-buchi,none,93,666,63532272,2614321,60917750,201,768,0,5929171,226578,5702552,41,30,0,3,35.000000,34
7,RivestSchapire,monitor-buchi,none,94,666,63532272,2614321,60917750,201,843,0,5929171,226578,5702552,41,32,0,38,35.000000,34
7,RivestSchapire,monitor-buchi,none,95,666,63532272,2614321,60917750,201,935,0,5929171,226578,5702552,41,35,0,32,35.000000,34
7,RivestSchapire,monitor-buchi,none,98,666,63532277,2614321,60917750,206,935,0,5929172,226578,5702552,42,35,0,5,35.000000,34
7,RivestSchapire,monitor-buchi,none,99,666,63532281,2614321,60917750,210,935,0,5929173,226578,5702552,43,35,0,4,35.000000,34
