problem,learner,aut,bbo,property,size,realsymbols,learnsymbols,eqsymbols,emsymbols,emosymbols,insymbols,realqueries,learnqueries,eqqueries,emqueries,emoqueries,inqueries,length,multiplier,refinements
7,TTT,buchi,cex-first,0,62,56719,32232,0,0,757245,24487,4020,4010,0,0,61499,10,14,35.000000,11
7,TTT,buchi,cex-first,1,62,56719,32232,0,0,757272,24487,4020,4010,0,0,61501,10,14,35.000000,11
7,TTT,buchi,cex-first,4,91,91477,54578,0,0,2277254,36899,6312,6299,0,0,107070,13,30,35.000000,14
7,TTT,buchi,cex-first,5,91,91477,54578,0,0,2277281,36899,6312,6299,0,0,107072,13,14,35.000000,14
7,TTT,buchi,cex-first,6,93,99035,55751,0,0,2583118,43284,6438,6424,0,0,126184,14,39,35.000000,15
7,TTT,buchi,cex-first,9,93,99035,55751,0,0,2583145,43284,6438,6424,0,0,126186,14,14,35.000000,15
7,TTT,buchi,cex-first,10,93,99035,55751,0,0,2583178,43284,6438,6424,0,0,126188,14,17,35.000000,15
7,TTT,buchi,cex-first,13,93,99035,55751,0,0,2583257,43284,6438,6424,0,0,126191,14,39,35.000000,15
7,TTT,buchi,cex-first,14,98,112994,59881,0,0,3183482,53113,6886,6870,0,0,165463,16,23,35.000000,17
7,TTT,buchi,cex-first,16,98,112994,59881,0,0,3183532,53113,6886,6870,0,0,165465,16,29,35.000000,17
7,TTT,buchi,cex-first,18,98,112994,59881,0,0,3183657,53113,6886,6870,0,0,165468,16,43,35.000000,17
7,TTT,buchi,cex-first,21,113,142345,71560,0,0,3929626,70785,8182,8163,0,0,229730,19,25,35.000000,20
7,TTT,buchi,cex-first,22,113,142345,71560,0,0,3929693,70785,8182,8163,0,0,229732,19,34,35.000000,20
7,TTT,buchi,cex-first,23,113,142345,71560,0,0,3929726,70785,8182,8163,0,0,229734,19,17,35.000000,20
7,TTT,buchi,cex-first,26,113,142345,71560,0,0,3929763,70785,8182,8163,0,0,229736,19,19,35.000000,20
7,TTT,buchi,cex-first,27,144,199324,96270,0,0,9592312,103054,10476,10452,0,0,363718,24,55,35.000000,25
7,TTT,buchi,cex-first,28,144,199324,96270,0,0,9592389,103054,10476,10452,0,0,363720,24,39,35.000000,25
7,TTT,buchi,cex-first,29,144,199324,96270,0,0,9592454,103054,10476,10452,0,0,363723,24,23,35.000000,25
