problem,learner,aut,bbo,property,size,realsymbols,learnsymbols,eqsymbols,emsymbols,emosymbols,insymbols,realqueries,learnqueries,eqqueries,emqueries,emoqueries,inqueries,length,multiplier,refinements
7,TTT,monitor,none,0,666,172139483,673277,171466205,1,0,0,16775226,64450,16710775,1,0,0,1,35.000000,325
7,TTT,monitor,none,1,666,172139484,673277,171466205,2,0,0,16775227,64450,16710775,2,0,0,1,35.000000,325
7,TTT,monitor,none,4,666,172139494,673277,171466205,12,0,0,16775228,64450,16710775,3,0,0,10,35.000000,325
7,TTT,monitor,none,5,666,172139498,673277,171466205,16,0,0,16775229,64450,16710775,4,0,0,4,35.000000,325
7,TTT,monitor,none,6,666,172139502,673277,171466205,20,0,0,16775230,64450,16710775,5,0,0,4,35.000000,325
7,TTT,monitor,none,9,666,172139507,673277,171466205,25,0,0,16775231,64450,16710775,6,0,0,5,35.000000,325
7,TTT,monitor,none,14,666,172139514,673277,171466205,32,0,0,16775232,64450,16710775,7,0,0,7,35.000000,325
7,TTT,monitor,none,16,666,172139520,673277,171466205,38,0,0,16775233,64450,16710775,8,0,0,6,35.000000,325
7,TTT,monitor,none,21,666,172139526,673277,171466205,44,0,0,16775234,64450,16710775,9,0,0,6,35.000000,325
7,TTT,monitor,none,22,666,172139531,673277,171466205,49,0,0,16775235,64450,16710775,10,0,0,5,35.000000,325
7,TTT,monitor,none,23,666,172139537,673277,171466205,55,0,0,16775236,64450,16710775,11,0,0,6,35.000000,325
7,TTT,monitor,none,27,666,172139544,673277,171466205,62,0,0,16775237,64450,16710775,12,0,0,7,35.000000,325
7,TTT,monitor,none,28,666,172139552,673277,171466205,70,0,0,16775238,64450,16710775,13,0,0,8,35.000000,325
7,TTT,monitor,none,35,666,172139559,673277,171466205,77,0,0,16775239,64450,16710775,14,0,0,7,35.000000,325
7,TTT,monitor,none,37,666,172139563,673277,171466205,81,0,0,16775240,64450,16710775,15,0,0,4,35.000000,325
7,TTT,monitor,none,39,666,172139564,673277,171466205,82,0,0,16775241,64450,16710775,16,0,0,1,35.000000,325
7,TTT,monitor,none,40,666,172139569,673277,171466205,87,0,0,16775242,64450,16710775,17,0,0,5,35.000000,325
7,TTT,monitor,none,41,666,172139574,673277,171466205,92,0,0,16775243,64450,16710775,18,0,0,5,35.000000,325
7,TTT,monitor,none,43,666,172139579,673277,171466205,97,0,0,16775244,64450,16710775,19,0,0,5,35.000000,325
7,TTT,monitor,none,45,666,172139587,673277,171466205,105,0,0,16775245,64450,16710775,20,0,0,8,35.000000,325
7,TTT,monitor,none,47,666,172139593,673277,171466205,111,0,0,16775246,64450,16710775,21,0,0,6,35.000000,325
7,TTT,monitor,none,48,666,172139598,673277,171466205,116,0,0,16775247,64450,16710775,22,0,0,5,35.000000,325
7,TTT,monitor,none,49,666,172139602,673277,171466205,120,0,0,16775248,64450,16710775,23,0,0,4,35.000000,325
7,TTT,monitor,none,50,666,172139605,673277,171466205,123,0,0,16775249,64450,16710775,24,0,0,3,35.000000,325
7,TTT,monitor,none,51,666,172139609,673277,171466205,127,0,0,16775250,64450,16710775,25,0,0,4,35.000000,325
7,TTT,monitor,none,52,666,172139614,673277,171466205,132,0,0,16775251,64450,16710775,26,0,0,5,35.000000,325
7,TTT,monitor,none,55,666,172139624,673277,171466205,142,0,0,16775252,64450,16710775,27,0,0,10,35.000000,325
7,TTT,monitor,none,56,666,172139628,673277,171466205,146,0,0,16775253,64450,16710775,28,0,0,4,35.000000,325
7,TTT,monitor,none,60,666,172139635,673277,171466205,153,0,0,16775254,64450,16710775,29,0,0,7,35.000000,325
7,TTT,monitor,none,61,666,172139642,673277,171466205,160,0,0,16775255,64450,16710775,30,0,0,7,35.000000,325
7,TTT,monitor,none,63,666,172139643,673277,171466205,161,0,0,16775256,64450,16710775,31,0,0,1,35.000000,325
7,TTT,monitor,none,65,666,172139650,673277,171466205,168,0,0,16775257,64450,16710775,32,0,0,7,35.000000,325
7,TTT,monitor,none,67,666,172139652,673277,171466205,170,0,0,16775258,64450,16710775,33,0,0,2,35.000000,325
7,TTT,monitor,none,68,666,172139653,673277,171466205,171,0,0,16775259,64450,16710775,34,0,0,1,35.000000,325
7,TTT,monitor,none,69,666,172139657,673277,171466205,175,0,0,16775260,64450,16710775,35,0,0,4,35.000000,325
7,TTT,monitor,none,79,666,172139662,673277,171466205,180,0,0,16775261,64450,16710775,36,0,0,5,35.000000,325
7,TTT,monitor,none,82,666,172139666,673277,171466205,184,0,0,16775262,64450,16710775,37,0,0,4,35.000000,325
7,TTT,monitor,none,86,666,172139672,673277,171466205,190,0,0,16775263,64450,16710775,38,0,0,6,35.000000,325
7,TTT,monitor,none,90,666,172139679,673277,171466205,197,0,0,16775264,64450,16710775,39,0,0,7,35.000000,325
7,TTT,monitor,none,92,666,172139680,673277,171466205,198,0,0,16775265,64450,16710775,40,0,0,1,35.000000,325
7,TTT,monitor,none,93,666,172139683,673277,171466205,201,0,0,16775266,64450,16710775,41,0,0,3,35.000000,325
7,TTT,monitor,none,98,666,172139688,673277,171466205,206,0,0,16775267,64450,16710775,42,0,0,5,35.000000,325
7,TTT,monitor,none,99,666,172139692,673277,171466205,210,0,0,16775268,64450,16710775,43,0,0,4,35.000000,325
