problem,learner,aut,bbo,property,size,realsymbols,learnsymbols,eqsymbols,emsymbols,emosymbols,insymbols,realqueries,learnqueries,eqqueries,emqueries,emoqueries,inqueries,length,multiplier,refinements
8,DiscriminationTree,monitor,none,3,646,1091037570,1081392,1089956173,5,0,0,111148134,79983,111068150,1,0,0,5,40.000000,345
8,DiscriminationTree,monitor,none,5,646,1091037576,1081392,1089956173,11,0,0,111148135,79983,111068150,2,0,0,6,40.000000,345
8,DiscriminationTree,monitor,none,7,646,1091037583,1081392,1089956173,18,0,0,111148136,79983,111068150,3,0,0,7,40.000000,345
8,DiscriminationTree,monitor,none,8,646,1091037589,1081392,1089956173,24,0,0,111148137,79983,111068150,4,0,0,6,40.000000,345
8,DiscriminationTree,monitor,none,10,646,1091037595,1081392,1089956173,30,0,0,111148138,79983,111068150,5,0,0,6,40.000000,345
8,DiscriminationTree,monitor,none,12,646,1091037599,1081392,1089956173,34,0,0,111148139,79983,111068150,6,0,0,4,40.000000,345
8,DiscriminationTree,monitor,none,13,646,1091037604,1081392,1089956173,39,0,0,111148140,79983,111068150,7,0,0,5,40.000000,345
8,DiscriminationTree,monitor,none,15,646,1091037605,1081392,1089956173,40,0,0,111148141,79983,111068150,8,0,0,1,40.000000,345
8,DiscriminationTree,monitor,none,17,646,1091037609,1081392,1089956173,44,0,0,111148142,79983,111068150,9,0,0,4,40.000000,345
8,DiscriminationTree,monitor,none,19,646,1091037615,1081392,1089956173,50,0,0,111148143,79983,111068150,10,0,0,6,40.000000,345
8,DiscriminationTree,monitor,none,20,646,1091037618,1081392,1089956173,53,0,0,111148144,79983,111068150,11,0,0,3,40.000000,345
8,DiscriminationTree,monitor,none,23,646,1091037619,1081392,1089956173,54,0,0,111148145,79983,111068150,12,0,0,1,40.000000,345
8,DiscriminationTree,monitor,none,24,646,1091037624,1081392,1089956173,59,0,0,111148146,79983,111068150,13,0,0,5,40.000000,345
8,DiscriminationTree,monitor,none,25,646,1091037633,1081392,1089956173,68,0,0,111148147,79983,111068150,14,0,0,9,40.000000,345
8,DiscriminationTree,monitor,none,26,646,1091037637,1081392,1089956173,72,0,0,111148148,79983,111068150,15,0,0,4,40.000000,345
8,DiscriminationTree,monitor,none,28,646,1091037648,1081392,1089956173,83,0,0,111148149,79983,111068150,16,0,0,11,40.000000,345
8,DiscriminationTree,monitor,none,29,646,1091037653,1081392,1089956173,88,0,0,111148150,79983,111068150,17,0,0,5,40.000000,345
8,DiscriminationTree,monitor,none,30,646,1091037660,1081392,1089956173,95,0,0,111148151,79983,111068150,18,0,0,7,40.000000,345
8,DiscriminationTree,monitor,none,31,646,1091037666,1081392,1089956173,101,0,0,111148152,79983,111068150,19,0,0,6,40.000000,345
8,DiscriminationTree,monitor,none,34,646,1091037673,1081392,1089956173,108,0,0,111148153,79983,111068150,20,0,0,7,40.000000,345
8,DiscriminationTree,monitor,none,35,646,1091037679,1081392,1089956173,114,0,0,111148154,79983,111068150,21,0,0,6,40.000000,345
8,DiscriminationTree,monitor,none,36,646,1091037686,1081392,1089956173,121,0,0,111148155,79983,111068150,22,0,0,7,40.000000,345
8,DiscriminationTree,monitor,none,38,646,1091037687,1081392,1089956173,122,0,0,111148156,79983,111068150,23,0,0,1,40.000000,345
8,DiscriminationTree,monitor,none,40,646,1091037692,1081392,1089956173,127,0,0,111148157,79983,111068150,24,0,0,5,40.000000,345
8,DiscriminationTree,monitor,none,42,646,1091037694,1081392,1089956173,129,0,0,111148158,79983,111068150,25,0,0,2,40.000000,345
8,DiscriminationTree,monitor,none,43,646,1091037698,1081392,1089956173,133,0,0,111148159,79983,111068150,26,0,0,4,40.000000,345
8,DiscriminationTree,monitor,none,44,646,1091037702,1081392,1089956173,137,0,0,111148160,79983,111068150,27,0,0,4,40.000000,345
8,DiscriminationTree,monitor,none,47,646,1091037707,1081392,1089956173,142,0,0,111148161,79983,111068150,28,0,0,5,40.000000,345
8,DiscriminationTree,monitor,none,48,646,1091037708,1081392,1089956173,143,0,0,111148162,79983,111068150,29,0,0,1,40.000000,345
8,DiscriminationTree,monitor,none,50,646,1091037712,1081392,1089956173,147,0,0,111148163,79983,111068150,30,0,0,4,40.000000,345
8,DiscriminationTree,monitor,none,51,646,1091037713,1081392,1089956173,148,0,0,111148164,79983,111068150,31,0,0,1,40.000000,345
8,DiscriminationTree,monitor,none,53,646,1091037718,1081392,1089956173,153,0,0,111148165,79983,111068150,32,0,0,5,40.000000,345
8,DiscriminationTree,monitor,none,54,646,1091037723,1081392,1089956173,158,0,0,111148166,79983,111068150,33,0,0,5,40.000000,345
8,DiscriminationTree,monitor,none,55,646,1091037733,1081392,1089956173,168,0,0,111148167,79983,111068150,34,0,0,10,40.000000,345
8,DiscriminationTree,monitor,none,56,646,1091037739,1081392,1089956173,174,0,0,111148168,79983,111068150,35,0,0,6,40.000000,345
8,DiscriminationTree,monitor,none,57,646,1091037747,1081392,1089956173,182,0,0,111148169,79983,111068150,36,0,0,8,40.000000,345
8,DiscriminationTree,monitor,none,58,646,1091037749,1081392,1089956173,184,0,0,111148170,79983,111068150,37,0,0,2,40.000000,345
8,DiscriminationTree,monitor,none,59,646,1091037751,1081392,1089956173,186,0,0,111148171,79983,111068150,38,0,0,2,40.000000,345
8,DiscriminationTree,monitor,none,61,646,1091037757,1081392,1089956173,192,0,0,111148172,79983,111068150,39,0,0,6,40.000000,345
8,DiscriminationTree,monitor,none,62,646,1091037766,1081392,1089956173,201,0,0,111148173,79983,111068150,40,0,0,9,40.000000,345
8,DiscriminationTree,monitor,none,65,646,1091037767,1081392,1089956173,202,0,0,111148174,79983,111068150,41,0,0,1,40.000000,345
8,DiscriminationTree,monitor,none,67,646,1091037769,1081392,1089956173,204,0,0,111148175,79983,111068150,42,0,0,2,40.000000,345
