problem,learner,aut,bbo,property,size,realsymbols,learnsymbols,eqsymbols,emsymbols,emosymbols,insymbols,realqueries,learnqueries,eqqueries,emqueries,emoqueries,inqueries,length,multiplier,refinements
8,ExtensibleLStar,monitor-buchi,disprove-first,3,542,1090130,1090125,0,5,0,0,130097,130096,0,1,0,0,5,40.000000,1
8,ExtensibleLStar,monitor-buchi,disprove-first,5,542,1090136,1090125,0,11,368560,0,130098,130096,0,2,43360,0,6,40.000000,1
8,ExtensibleLStar,monitor-buchi,disprove-first,7,542,1090143,1090125,0,18,368560,0,130099,130096,0,3,43360,0,7,40.000000,1
8,ExtensibleLStar,monitor-buchi,disprove-first,8,542,1090149,1090125,0,24,368560,0,130100,130096,0,4,43360,0,6,40.000000,1
8,ExtensibleLStar,monitor-buchi,disprove-first,10,542,1090155,1090125,0,30,368560,0,130101,130096,0,5,43360,0,6,40.000000,1
8,ExtensibleLStar,monitor-buchi,disprove-first,12,542,1090159,1090125,0,34,368560,0,130102,130096,0,6,43360,0,4,40.000000,1
8,ExtensibleLStar,monitor-buchi,disprove-first,13,542,1090164,1090125,0,39,368560,0,130103,130096,0,7,43360,0,5,40.000000,1
8,ExtensibleLStar,monitor-buchi,disprove-first,15,542,1090165,1090125,0,40,368560,0,130104,130096,0,8,43360,0,1,40.000000,1
8,ExtensibleLStar,monitor-buchi,disprove-first,17,542,1090169,1090125,0,44,2905120,0,130105,130096,0,9,86720,0,4,40.000000,1
8,ExtensibleLStar,monitor-buchi,disprove-first,19,542,1090175,1090125,0,50,2905120,0,130106,130096,0,10,86720,0,6,40.000000,1
8,ExtensibleLStar,monitor-buchi,disprove-first,20,542,1090178,1090125,0,53,2905120,0,130107,130096,0,11,86720,0,3,40.000000,1
8,ExtensibleLStar,monitor-buchi,disprove-first,23,542,1090179,1090125,0,54,4227600,0,130108,130096,0,12,130080,0,1,40.000000,1
8,ExtensibleLStar,monitor-buchi,disprove-first,24,542,1090184,1090125,0,59,4227600,0,130109,130096,0,13,130080,0,5,40.000000,1
8,ExtensibleLStar,monitor-buchi,disprove-first,26,542,1090197,1090125,0,72,5203200,0,130111,130096,0,15,173440,0,4,40.000000,1
8,ExtensibleLStar,monitor-buchi,disprove-first,28,542,1090208,1090125,0,83,5203200,0,130112,130096,0,16,173440,0,11,40.000000,1
8,ExtensibleLStar,monitor-buchi,disprove-first,29,542,1090213,1090125,0,88,5203200,0,130113,130096,0,17,173440,0,5,40.000000,1
8,ExtensibleLStar,monitor-buchi,disprove-first,30,542,1090220,1090125,0,95,5203200,0,130114,130096,0,18,173440,0,7,40.000000,1
8,ExtensibleLStar,monitor-buchi,disprove-first,31,542,1090226,1090125,0,101,5203200,0,130115,130096,0,19,173440,0,6,40.000000,1
8,ExtensibleLStar,monitor-buchi,disprove-first,34,542,1090233,1090125,0,108,5810224,0,130116,130096,0,20,216799,0,7,40.000000,1
8,ExtensibleLStar,monitor-buchi,disprove-first,35,542,1090239,1090125,0,114,5810224,0,130117,130096,0,21,216799,0,6,40.000000,1
8,ExtensibleLStar,monitor-buchi,disprove-first,36,542,1090246,1090125,0,121,5810224,0,130118,130096,0,22,216799,0,7,40.000000,1
8,ExtensibleLStar,monitor-buchi,disprove-first,38,542,1090247,1090125,0,122,6569024,0,130119,130096,0,23,260159,0,1,40.000000,1
8,ExtensibleLStar,monitor-buchi,disprove-first,40,542,1090252,1090125,0,127,6569024,0,130120,130096,0,24,260159,0,5,40.000000,1
8,ExtensibleLStar,monitor-buchi,disprove-first,42,542,1090254,1090125,0,129,6569024,0,130121,130096,0,25,260159,0,2,40.000000,1
8,ExtensibleLStar,monitor-buchi,disprove-first,43,542,1090258,1090125,0,133,6569024,0,130122,130096,0,26,260159,0,4,40.000000,1
8,ExtensibleLStar,monitor-buchi,disprove-first,44,542,1090262,1090125,0,137,6569024,0,130123,130096,0,27,260159,0,4,40.000000,1
8,ExtensibleLStar,monitor-buchi,disprove-first,47,542,1090267,1090125,0,142,7891504,0,130124,130096,0,28,303519,0,5,40.000000,1
8,ExtensibleLStar,monitor-buchi,disprove-first,48,542,1090268,1090125,0,143,7891504,0,130125,130096,0,29,303519,0,1,40.000000,1
8,ExtensibleLStar,monitor-buchi,disprove-first,50,542,1090272,1090125,0,147,7891504,0,130126,130096,0,30,303519,0,4,40.000000,1
8,ExtensibleLStar,monitor-buchi,disprove-first,51,542,1090273,1090125,0,148,7891504,0,130127,130096,0,31,303519,0,1,40.000000,1
8,ExtensibleLStar,monitor-buchi,disprove-first,53,542,1090278,1090125,0,153,9279024,0,130128,130096,0,32,346879,0,5,40.000000,1
8,ExtensibleLStar,monitor-buchi,disprove-first,54,542,1090283,1090125,0,158,9279024,0,130129,130096,0,33,346879,0,5,40.000000,1
8,ExtensibleLStar,monitor-buchi,disprove-first,56,542,1090298,1090125,0,173,11295264,0,130131,130096,0,35,390239,0,6,40.000000,1
8,ExtensibleLStar,monitor-buchi,disprove-first,57,542,1090306,1090125,0,181,11295264,0,130132,130096,0,36,390239,0,8,40.000000,1
8,ExtensibleLStar,monitor-buchi,disprove-first,58,542,1090308,1090125,0,183,11295264,0,130133,130096,0,37,390239,0,2,40.000000,1
8,ExtensibleLStar,monitor-buchi,disprove-first,59,542,1090310,1090125,0,185,11295264,0,130134,130096,0,38,390239,0,2,40.000000,1
8,ExtensibleLStar,monitor-buchi,disprove-first,61,542,1090316,1090125,0,191,11295264,0,130135,130096,0,39,390239,0,6,40.000000,1
8,ExtensibleLStar,monitor-buchi,disprove-first,62,542,1090325,1090125,0,200,11295264,0,130136,130096,0,40,390239,0,9,40.000000,1
8,ExtensibleLStar,monitor-buchi,disprove-first,65,542,1090326,1090125,0,201,11707184,0,130137,130096,0,41,433599,0,1,40.000000,1
8,ExtensibleLStar,monitor-buchi,disprove-first,67,542,1090328,1090125,0,203,13029664,0,130138,130096,0,42,476959,0,2,40.000000,1
8,ExtensibleLStar,monitor-buchi,disprove-first,68,542,1090333,1090125,0,208,13029664,0,130139,130096,0,43,476959,0,5,40.000000,1
8,ExtensibleLStar,monitor-buchi,disprove-first,69,542,1090335,1090125,0,210,13029664,0,130140,130096,0,44,476959,0,2,40.000000,1
8,ExtensibleLStar,monitor-buchi,disprove-first,71,542,1090342,1090125,0,217,13029664,0,130141,130096,0,45,476959,0,7,40.000000,1
8,ExtensibleLStar,monitor-buchi,disprove-first,72,542,1090350,1090125,0,225,13029664,0,130142,130096,0,46,476959,0,8,40.000000,1
8,ExtensibleLStar,monitor-buchi,disprove-first,73,542,1090358,1090125,0,233,13029664,0,130143,130096,0,47,476959,0,8,40.000000,1
8,ExtensibleLStar,monitor-buchi,disprove-first,74,542,1090366,1090125,0,241,13029664,0,130144,130096,0,48,476959,0,8,40.000000,1
8,ExtensibleLStar,monitor-buchi,disprove-first,75,542,1090367,1090125,0,242,13029664,0,130145,130096,0,49,476959,0,1,40.000000,1
8,ExtensibleLStar,monitor-buchi,disprove-first,76,542,1090371,1090125,0,246,13029664,0,130146,130096,0,50,476959,0,4,40.000000,1
8,ExtensibleLStar,monitor-buchi,disprove-first,77,542,1090374,1090125,0,249,13029664,0,130147,130096,0,51,476959,0,3,40.000000,1
8,ExtensibleLStar,monitor-buchi,disprove-first,79,542,1090377,1090125,0,252,13029664,0,130148,130096,0,52,476959,0,3,40.000000,1
8,ExtensibleLStar,monitor-buchi,disprove-first,81,542,1090380,1090125,0,255,13029664,0,130149,130096,0,53,476959,0,3,40.000000,1
8,ExtensibleLStar,monitor-buchi,disprove-first,82,542,1090381,1090125,0,256,13029664,0,130150,130096,0,54,476959,0,1,40.000000,1
8,ExtensibleLStar,monitor-buchi,disprove-first,83,542,1090388,1090125,0,263,13029664,0,130151,130096,0,55,476959,0,7,40.000000,1
8,ExtensibleLStar,monitor-buchi,disprove-first,85,542,1090389,1090125,0,264,14352144,0,130152,130096,0,56,520319,0,1,40.000000,1
8,ExtensibleLStar,monitor-buchi,disprove-first,86,542,1090395,1090125,0,270,14352144,0,130153,130096,0,57,520319,0,6,40.000000,1
8,ExtensibleLStar,monitor-buchi,disprove-first,87,542,1090402,1090125,0,277,14352144,0,130154,130096,0,58,520319,0,7,40.000000,1
8,ExtensibleLStar,monitor-buchi,disprove-first,88,542,1090412,1090125,0,287,14352144,0,130155,130096,0,59,520319,0,10,40.000000,1
8,ExtensibleLStar,monitor-buchi,disprove-first,89,542,1090419,1090125,0,294,14352144,0,130156,130096,0,60,520319,0,7,40.000000,1
8,ExtensibleLStar,monitor-buchi,disprove-first,91,542,1090427,1090125,0,302,14352144,0,130157,130096,0,61,520319,0,8,40.000000,1
8,ExtensibleLStar,monitor-buchi,disprove-first,92,542,1090434,1090125,0,309,14352144,0,130158,130096,0,62,520319,0,7,40.000000,1
8,ExtensibleLStar,monitor-buchi,disprove-first,95,542,1090435,1090125,0,310,14352144,0,130159,130096,0,63,520319,0,1,40.000000,1
8,ExtensibleLStar,monitor-buchi,disprove-first,97,542,1090443,1090125,0,318,14352144,0,130160,130096,0,64,520319,0,8,40.000000,1
8,ExtensibleLStar,monitor-buchi,disprove-first,99,542,1090444,1090125,0,319,14937504,0,130161,130096,0,65,563679,0,1,40.000000,1
